"nhs_trust22_code","date","general_acute_beds_available","general_acute_beds_occupied","general_acute_beds_occupancy_rate","adult_general_acute_beds_available","adult_general_acute_beds_occupied","adult_general_acute_beds_occupancy_rate","paediatric_general_acute_beds_available","paediatric_general_acute_beds_occupied","paediatric_general_acute_beds_occupancy_rate","adult_critical_care_beds_available","adult_critical_care_beds_occupied","adult_critical_care_occupancy_rate","paediatric_intensive_cared_beds_available","paediatric_intensive_cared_beds_occupied","paediatric_intensive_cared_occupancy_rate","neonatal_intensive_care_bed_available","neonatal_intensive_care_bed_occupied","neonatal_intensive_care_occupancy_rate"
"R0A","April 2022",2286,2031,0.889,1982,1794,0.905,304,237,0.781,125,92,0.736,43,40,0.939,63,45,0.718
"R0B","April 2022",1098,946,0.861,1041,912,0.876,57,34,0.591,22,13,0.574,0,0,NA,7,4,0.587
"R0D","April 2022",1075,1019,0.947,1049,1002,0.954,26,17,0.646,22,16,0.743,0,0,NA,20,16,0.794
"R1F","April 2022",265,244,0.919,255,236,0.925,10,8,0.767,6,5,0.856,0,0,NA,0,0,NA
"R1H","April 2022",1656,1494,0.902,1513,1374,0.908,143,120,0.838,120,109,0.914,4,2,0.504,49,41,0.836
"R1K","April 2022",930,880,0.946,904,860,0.951,26,20,0.76,62,49,0.785,0,0,NA,5,3,0.68
"RA2","April 2022",453,419,0.924,426,401,0.942,27,18,0.651,17,16,0.926,0,0,NA,4,1,0.358
"RA4","April 2022",368,351,0.953,344,341,0.991,24,10,0.407,11,10,0.873,0,0,NA,0,0,NA
"RA7","April 2022",963,920,0.956,821,804,0.98,142,116,0.818,48,41,0.847,18,12,0.687,31,24,0.773
"RA9","April 2022",372,349,0.937,350,335,0.956,22,14,0.625,10,6,0.59,NA,NA,NA,NA,NA,NA
"RAE","April 2022",588,531,0.903,549,499,0.91,39,31,0.809,12,10,0.892,0,0,NA,8,8,0.958
"RAJ","April 2022",1776,1606,0.904,1702,1559,0.916,74,47,0.633,77,70,0.903,0,0,NA,28,16,0.564
"RAL","April 2022",936,909,0.971,893,877,0.983,43,32,0.739,66,52,0.789,0,0,NA,4,1,0.333
"RAN","April 2022",152,115,0.755,126,97,0.773,26,17,0.67,8,4,0.508,4,2,0.383,0,0,NA
"RAP","April 2022",492,482,0.978,476,467,0.981,16,14,0.9,18,16,0.843,0,0,NA,6,6,1
"RAS","April 2022",331,314,0.948,308,300,0.972,23,14,0.619,12,9,0.711,NA,NA,NA,13,8,0.629
"RAX","April 2022",396,379,0.957,372,364,0.978,24,15,0.629,18,12,0.673,0,0,NA,20,12,0.617
"RBD","April 2022",336,327,0.974,322,318,0.986,14,10,0.71,8,7,0.823,0,0,NA,0,0,NA
"RBK","April 2022",553,527,0.954,512,497,0.971,41,30,0.734,13,10,0.733,NA,NA,NA,2,0,0.164
"RBL","April 2022",740,693,0.936,721,679,0.942,19,14,0.719,18,12,0.644,NA,NA,NA,7,6,0.833
"RBN","April 2022",731,713,0.976,701,691,0.987,31,22,0.719,14,10,0.745,0,0,NA,0,0,NA
"RBQ","April 2022",150,112,0.749,150,112,0.749,NA,NA,NA,30,23,0.755,NA,NA,NA,NA,NA,NA
"RBS","April 2022",210,147,0.702,0,0,NA,210,147,0.702,0,0,NA,21,11,0.519,0,0,NA
"RBT","April 2022",544,516,0.947,517,498,0.963,27,17,0.647,11,9,0.773,0,0,NA,15,8,0.504
"RBV","April 2022",156,140,0.895,156,140,0.895,NA,NA,NA,8,5,0.571,NA,NA,NA,NA,NA,NA
"RC9","April 2022",1054,997,0.946,959,923,0.962,95,74,0.78,26,18,0.697,0,0,NA,22,17,0.759
"RCB","April 2022",861,801,0.93,824,782,0.95,38,19,0.504,36,15,0.428,0,0,NA,2,2,0.95
"RCD","April 2022",314,292,0.93,298,283,0.95,16,9,0.565,8,5,0.621,0,0,NA,0,0,NA
"RCF","April 2022",361,332,0.92,344,320,0.931,17,12,0.701,7,5,0.743,0,0,NA,0,0,NA
"RCU","April 2022",144,112,0.774,0,0,NA,144,112,0.774,0,0,NA,9,5,0.616,2,1,0.633
"RCX","April 2022",536,512,0.955,511,494,0.966,25,18,0.721,13,6,0.49,NA,NA,NA,3,2,0.685
"RD1","April 2022",589,549,0.933,557,535,0.961,32,14,0.438,14,14,0.96,0,0,NA,7,6,0.843
"RD8","April 2022",488,444,0.91,447,423,0.945,41,22,0.529,10,5,0.5,0,0,NA,4,3,0.833
"RDE","April 2022",1158,1074,0.928,1117,1054,0.943,41,21,0.505,38,21,0.547,0,0,NA,10,6,0.613
"RDU","April 2022",1276,1188,0.931,1206,1138,0.944,70,50,0.716,24,23,0.933,0,0,NA,11,5,0.451
"REF","April 2022",639,602,0.943,602,584,0.97,37,19,0.501,15,10,0.635,0,0,NA,7,3,0.424
"REM","April 2022",1588,1434,0.903,1588,1434,0.903,0,0,NA,58,47,0.801,NA,NA,NA,NA,NA,NA
"REN","April 2022",89,82,0.917,89,82,0.917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"REP","April 2022",24,14,0.59,24,14,0.59,0,0,NA,2,1,0.583,0,0,NA,44,32,0.726
"RET","April 2022",145,131,0.904,145,131,0.904,0,0,NA,20,12,0.597,0,0,NA,0,0,NA
"RF4","April 2022",883,798,0.904,833,762,0.916,50,36,0.714,57,50,0.877,0,0,NA,11,10,0.903
"RFF","April 2022",432,407,0.942,424,402,0.947,8,5,0.664,24,16,0.672,0,0,NA,2,1,0.617
"RFR","April 2022",442,416,0.942,420,404,0.963,22,12,0.553,14,7,0.502,0,0,NA,14,9,0.617
"RFS","April 2022",524,494,0.943,500,476,0.952,24,18,0.752,15,11,0.74,0,0,NA,3,3,0.88
"RGM","April 2022",177,154,0.874,177,154,0.874,NA,NA,NA,29,26,0.879,NA,NA,NA,NA,NA,NA
"RGN","April 2022",888,840,0.946,845,816,0.966,43,23,0.543,22,15,0.685,NA,NA,NA,4,2,0.423
"RGP","April 2022",456,428,0.938,427,413,0.966,29,15,0.529,12,8,0.694,0,0,0,9,5,0.544
"RGR","April 2022",468,402,0.858,453,393,0.867,15,9,0.589,16,15,0.895,0,0,NA,12,7,0.556
"RGT","April 2022",982,915,0.932,906,862,0.952,76,53,0.695,65,57,0.873,9,4,0.42,50,29,0.576
"RH5","April 2022",657,624,0.95,616,604,0.981,41,20,0.489,16,13,0.792,0,0,NA,8,3,0.333
"RH8","April 2022",1149,1048,0.912,1092,1023,0.936,56,25,0.451,35,22,0.631,0,0,NA,8,5,0.651
"RHM","April 2022",1048,983,0.938,959,905,0.944,89,78,0.875,91,82,0.897,14,13,0.899,10,8,0.774
"RHQ","April 2022",1376,1243,0.903,1376,1243,0.903,NA,NA,NA,128,91,0.708,NA,NA,NA,50,30,0.601
"RHU","April 2022",1028,978,0.951,996,960,0.964,33,18,0.537,20,20,0.992,0,0,NA,14,12,0.886
"RHW","April 2022",622,552,0.887,587,538,0.915,35,14,0.404,24,21,0.903,NA,NA,NA,2,0,0.133
"RJ1","April 2022",938,818,0.871,818,730,0.893,120,87,0.726,89,69,0.777,19,15,0.802,20,17,0.865
"RJ2","April 2022",874,837,0.958,844,814,0.964,30,23,0.78,36,26,0.736,0,0,NA,5,1,0.14
"RJ6","April 2022",475,465,0.978,461,453,0.983,14,11,0.806,16,10,0.618,0,0,NA,4,1,0.172
"RJ7","April 2022",846,818,0.966,798,776,0.973,49,41,0.849,67,55,0.827,15,10,0.664,39,29,0.738
"RJC","April 2022",432,388,0.898,415,377,0.908,17,11,0.653,7,5,0.648,0,0,NA,12,7,0.556
"RJE","April 2022",1311,1152,0.879,1259,1112,0.883,52,41,0.78,58,46,0.794,6,3,0.511,12,8,0.658
"RJL","April 2022",622,569,0.915,591,554,0.937,31,16,0.503,14,12,0.871,0,0,NA,27,16,0.582
"RJN","April 2022",353,335,0.947,338,328,0.971,15,6,0.422,6,3,0.566,0,0,NA,0,0,NA
"RJR","April 2022",423,407,0.961,401,396,0.987,22,11,0.485,15,13,0.889,0,0,NA,12,10,0.807
"RJZ","April 2022",1229,1186,0.965,1160,1120,0.965,69,66,0.962,123,114,0.928,15,13,0.876,49,42,0.859
"RK5","April 2022",637,585,0.918,610,569,0.932,27,16,0.613,13,8,0.588,0,0,NA,10,6,0.613
"RK9","April 2022",1000,945,0.945,954,924,0.969,46,21,0.451,46,29,0.635,0,0,NA,15,14,0.94
"RKB","April 2022",1047,1011,0.965,988,969,0.98,59,42,0.712,44,36,0.825,0,0,NA,27,22,0.806
"RKE","April 2022",246,240,0.975,231,227,0.986,16,13,0.809,10,9,0.892,0,0,NA,6,3,0.452
"RL1","April 2022",126,105,0.837,119,103,0.865,7,2,0.356,4,3,0.608,NA,NA,NA,NA,NA,NA
"RL4","April 2022",844,774,0.918,804,743,0.924,40,32,0.788,28,18,0.65,0,0,NA,14,14,0.986
"RLQ","April 2022",309,282,0.913,289,268,0.929,20,14,0.692,8,7,0.841,0,0,NA,3,0,0.144
"RLT","April 2022",299,299,1,299,299,1,NA,NA,NA,8,6,0.779,NA,NA,NA,NA,NA,NA
"RM1","April 2022",944,860,0.911,900,842,0.936,45,18,0.407,29,19,0.649,0,0,NA,15,11,0.705
"RM3","April 2022",1504,1368,0.91,1455,1340,0.921,49,28,0.57,61,54,0.895,0,0,NA,7,4,0.495
"RMC","April 2022",610,542,0.889,532,493,0.926,78,50,0.638,18,12,0.648,0,0,NA,38,26,0.677
"RMP","April 2022",426,400,0.938,386,379,0.981,40,21,0.521,10,8,0.777,0,0,NA,1,0,0.033
"RN3","April 2022",551,532,0.966,519,512,0.987,32,20,0.617,12,9,0.747,0,0,NA,10,7,0.707
