"ltla21_code","total_residents","disability_level","n","prop"
"E06000001",92338,"Disabled under the Equality Act",21145,0.228995646429422
"E06000001",92338,"Not disabled under the Equality Act",71193,0.771004353570578
"E06000002",143924,"Disabled under the Equality Act",29520,0.205108251577221
"E06000002",143924,"Not disabled under the Equality Act",114404,0.794891748422779
"E06000003",136531,"Disabled under the Equality Act",30483,0.22326797577107
"E06000003",136531,"Not disabled under the Equality Act",106048,0.77673202422893
"E06000004",196595,"Disabled under the Equality Act",39052,0.198641877972482
"E06000004",196595,"Not disabled under the Equality Act",157543,0.801358122027519
"E06000005",107800,"Disabled under the Equality Act",21104,0.195769944341373
"E06000005",107800,"Not disabled under the Equality Act",86696,0.804230055658627
"E06000006",128479,"Disabled under the Equality Act",28382,0.220907696977716
"E06000006",128479,"Not disabled under the Equality Act",100097,0.779092303022284
"E06000007",210974,"Disabled under the Equality Act",37266,0.176637879549139
"E06000007",210974,"Not disabled under the Equality Act",173708,0.823362120450861
"E06000008",154738,"Disabled under the Equality Act",28575,0.184666985485143
"E06000008",154738,"Not disabled under the Equality Act",126163,0.815333014514857
"E06000009",141036,"Disabled under the Equality Act",35459,0.251418077653932
"E06000009",141036,"Not disabled under the Equality Act",105577,0.748581922346068
"E06000010",267011,"Disabled under the Equality Act",53395,0.19997303481879
"E06000010",267011,"Not disabled under the Equality Act",213616,0.80002696518121
"E06000011",342215,"Disabled under the Equality Act",63601,0.185851000102275
"E06000011",342215,"Not disabled under the Equality Act",278614,0.814148999897725
"E06000012",156965,"Disabled under the Equality Act",31990,0.203803395661453
"E06000012",156965,"Not disabled under the Equality Act",124975,0.796196604338547
"E06000013",169680,"Disabled under the Equality Act",33343,0.196505186232909
"E06000013",169680,"Not disabled under the Equality Act",136337,0.803494813767091
"E06000014",202821,"Disabled under the Equality Act",34592,0.170554331159002
"E06000014",202821,"Not disabled under the Equality Act",168229,0.829445668840998
"E06000015",261364,"Disabled under the Equality Act",49040,0.18763104329594
"E06000015",261364,"Not disabled under the Equality Act",212324,0.81236895670406
"E06000016",368571,"Disabled under the Equality Act",57148,0.155052893472357
"E06000016",368571,"Not disabled under the Equality Act",311423,0.844947106527643
"E06000017",41050,"Disabled under the Equality Act",6523,0.158903775883069
"E06000017",41050,"Not disabled under the Equality Act",34527,0.841096224116931
"E06000018",323632,"Disabled under the Equality Act",60218,0.186069362732981
"E06000018",323632,"Not disabled under the Equality Act",263414,0.813930637267019
"E06000019",187034,"Disabled under the Equality Act",34828,0.186212132553439
"E06000019",187034,"Not disabled under the Equality Act",152206,0.813787867446561
"E06000020",185540,"Disabled under the Equality Act",36526,0.196863210089469
"E06000020",185540,"Not disabled under the Equality Act",149014,0.803136789910531
"E06000021",258368,"Disabled under the Equality Act",54607,0.211353573197919
"E06000021",258368,"Not disabled under the Equality Act",203761,0.788646426802081
"E06000022",193409,"Disabled under the Equality Act",31778,0.164304660072696
"E06000022",193409,"Not disabled under the Equality Act",161631,0.835695339927304
"E06000023",472466,"Disabled under the Equality Act",81159,0.171777440069762
"E06000023",472466,"Not disabled under the Equality Act",391307,0.828222559930238
"E06000024",216728,"Disabled under the Equality Act",40533,0.187022442877708
"E06000024",216728,"Not disabled under the Equality Act",176195,0.812977557122292
"E06000025",290423,"Disabled under the Equality Act",47429,0.163310068417446
"E06000025",290423,"Not disabled under the Equality Act",242994,0.836689931582554
"E06000026",264695,"Disabled under the Equality Act",57395,0.216834469861539
"E06000026",264695,"Not disabled under the Equality Act",207300,0.783165530138461
"E06000027",139323,"Disabled under the Equality Act",33224,0.238467446150313
"E06000027",139323,"Not disabled under the Equality Act",106099,0.761532553849687
"E06000030",233410,"Disabled under the Equality Act",37075,0.158840666638105
"E06000030",233410,"Not disabled under the Equality Act",196335,0.841159333361895
"E06000031",215673,"Disabled under the Equality Act",35180,0.163117311856375
"E06000031",215673,"Not disabled under the Equality Act",180493,0.836882688143625
"E06000032",225261,"Disabled under the Equality Act",30932,0.137316268683882
"E06000032",225261,"Not disabled under the Equality Act",194329,0.862683731316118
"E06000033",180686,"Disabled under the Equality Act",33106,0.183223935446022
"E06000033",180686,"Not disabled under the Equality Act",147580,0.816776064553978
"E06000034",175999,"Disabled under the Equality Act",25443,0.144563321382508
"E06000034",175999,"Not disabled under the Equality Act",150556,0.855436678617492
"E06000035",279773,"Disabled under the Equality Act",48572,0.173612178444668
"E06000035",279773,"Not disabled under the Equality Act",231201,0.826387821555332
"E06000036",124607,"Disabled under the Equality Act",16703,0.134045438859775
"E06000036",124607,"Not disabled under the Equality Act",107904,0.865954561140225
"E06000037",161448,"Disabled under the Equality Act",23671,0.146616867350478
"E06000037",161448,"Not disabled under the Equality Act",137777,0.853383132649522
"E06000038",174224,"Disabled under the Equality Act",24095,0.138298971439067
"E06000038",174224,"Not disabled under the Equality Act",150129,0.861701028560933
"E06000039",158498,"Disabled under the Equality Act",17975,0.113408371083547
"E06000039",158498,"Not disabled under the Equality Act",140523,0.886591628916453
"E06000040",153496,"Disabled under the Equality Act",18906,0.123169333402825
"E06000040",153496,"Not disabled under the Equality Act",134590,0.876830666597175
"E06000041",177502,"Disabled under the Equality Act",22159,0.124838029994028
"E06000041",177502,"Not disabled under the Equality Act",155343,0.875161970005972
"E06000042",287060,"Disabled under the Equality Act",42512,0.148094475022643
"E06000042",287060,"Not disabled under the Equality Act",244548,0.851905524977357
"E06000043",277103,"Disabled under the Equality Act",51797,0.186923274017243
"E06000043",277103,"Not disabled under the Equality Act",225306,0.813076725982757
"E06000044",208003,"Disabled under the Equality Act",36648,0.176189766493752
"E06000044",208003,"Not disabled under the Equality Act",171355,0.823810233506247
"E06000045",248922,"Disabled under the Equality Act",43937,0.176509107270551
"E06000045",248922,"Not disabled under the Equality Act",204985,0.823490892729449
"E06000046",140457,"Disabled under the Equality Act",32755,0.233203044348092
"E06000046",140457,"Not disabled under the Equality Act",107702,0.766796955651908
"E06000047",522068,"Disabled under the Equality Act",119790,0.229452868208739
"E06000047",522068,"Not disabled under the Equality Act",402278,0.770547131791261
"E06000049",398772,"Disabled under the Equality Act",67819,0.170069613714102
"E06000049",398772,"Not disabled under the Equality Act",330953,0.829930386285898
"E06000050",357150,"Disabled under the Equality Act",65897,0.184507909841803
"E06000050",357150,"Not disabled under the Equality Act",291253,0.815492090158197
"E06000051",323606,"Disabled under the Equality Act",59990,0.185379751920545
"E06000051",323606,"Not disabled under the Equality Act",263616,0.814620248079455
"E06000052",570305,"Disabled under the Equality Act",120570,0.211413191187172
"E06000052",570305,"Not disabled under the Equality Act",449735,0.788586808812828
"E06000053",2053,"Disabled under the Equality Act",294,0.143205065757428
"E06000053",2053,"Not disabled under the Equality Act",1759,0.856794934242572
"E06000054",510331,"Disabled under the Equality Act",86495,0.169488038155628
"E06000054",510331,"Not disabled under the Equality Act",423836,0.830511961844372
"E06000055",185225,"Disabled under the Equality Act",28727,0.155092455122149
"E06000055",185225,"Not disabled under the Equality Act",156498,0.844907544877851
"E06000056",294252,"Disabled under the Equality Act",44032,0.149640444245069
"E06000056",294252,"Not disabled under the Equality Act",250220,0.850359555754931
"E06000057",320567,"Disabled under the Equality Act",67190,0.209597369660633
"E06000057",320567,"Not disabled under the Equality Act",253377,0.790402630339367
"E06000058",400196,"Disabled under the Equality Act",73838,0.184504592749553
"E06000058",400196,"Not disabled under the Equality Act",326358,0.815495407250447
"E06000059",379579,"Disabled under the Equality Act",75077,0.197790183334695
"E06000059",379579,"Not disabled under the Equality Act",304502,0.802209816665306
"E06000060",553078,"Disabled under the Equality Act",74601,0.134883325679199
"E06000060",553078,"Not disabled under the Equality Act",478477,0.865116674320801
"E06000061",359525,"Disabled under the Equality Act",62313,0.173320353243863
"E06000061",359525,"Not disabled under the Equality Act",297212,0.826679646756137
"E06000062",425725,"Disabled under the Equality Act",64876,0.152389453285572
"E06000062",425725,"Not disabled under the Equality Act",360849,0.847610546714428
"E07000008",145674,"Disabled under the Equality Act",21433,0.147129892774277
"E07000008",145674,"Not disabled under the Equality Act",124241,0.852870107225723
"E07000009",87762,"Disabled under the Equality Act",14166,0.161413823750598
"E07000009",87762,"Not disabled under the Equality Act",73596,0.838586176249402
"E07000010",102462,"Disabled under the Equality Act",20836,0.203353438347875
"E07000010",102462,"Not disabled under the Equality Act",81626,0.796646561652125
"E07000011",180832,"Disabled under the Equality Act",29577,0.163560652981773
"E07000011",180832,"Not disabled under the Equality Act",151255,0.836439347018227
"E07000012",162121,"Disabled under the Equality Act",23898,0.147408417169892
"E07000012",162121,"Not disabled under the Equality Act",138223,0.852591582830108
"E07000026",96154,"Disabled under the Equality Act",19205,0.199731680429311
"E07000026",96154,"Not disabled under the Equality Act",76949,0.800268319570689
"E07000027",67407,"Disabled under the Equality Act",14652,0.217366148916285
"E07000027",67407,"Not disabled under the Equality Act",52755,0.782633851083715
"E07000028",110024,"Disabled under the Equality Act",20767,0.188749727332218
"E07000028",110024,"Not disabled under the Equality Act",89257,0.811250272667782
"E07000029",67076,"Disabled under the Equality Act",14143,0.210850378674936
"E07000029",67076,"Not disabled under the Equality Act",52933,0.789149621325064
"E07000030",54735,"Disabled under the Equality Act",9226,0.168557595688316
"E07000030",54735,"Not disabled under the Equality Act",45509,0.831442404311684
"E07000031",104450,"Disabled under the Equality Act",18409,0.176247008137865
"E07000031",104450,"Not disabled under the Equality Act",86041,0.823752991862135
"E07000032",126206,"Disabled under the Equality Act",25066,0.198611793417112
"E07000032",126206,"Not disabled under the Equality Act",101140,0.801388206582888
"E07000033",80273,"Disabled under the Equality Act",18343,0.228507717414324
"E07000033",80273,"Not disabled under the Equality Act",61930,0.771492282585676
"E07000034",103569,"Disabled under the Equality Act",23838,0.230165396981722
"E07000034",103569,"Not disabled under the Equality Act",79731,0.769834603018278
"E07000035",71540,"Disabled under the Equality Act",13177,0.184190662566396
"E07000035",71540,"Not disabled under the Equality Act",58363,0.815809337433604
"E07000036",112906,"Disabled under the Equality Act",22123,0.195941756859689
"E07000036",112906,"Not disabled under the Equality Act",90783,0.804058243140311
"E07000037",90933,"Disabled under the Equality Act",16732,0.184003607051345
"E07000037",90933,"Not disabled under the Equality Act",74201,0.815996392948655
"E07000038",102001,"Disabled under the Equality Act",21748,0.213213595945138
"E07000038",102001,"Not disabled under the Equality Act",80253,0.786786404054862
"E07000039",107208,"Disabled under the Equality Act",18412,0.1717409148571
"E07000039",107208,"Not disabled under the Equality Act",88796,0.8282590851429
"E07000040",150829,"Disabled under the Equality Act",29413,0.195008917383262
"E07000040",150829,"Not disabled under the Equality Act",121416,0.804991082616738
"E07000041",130709,"Disabled under the Equality Act",23782,0.181946155199718
"E07000041",130709,"Not disabled under the Equality Act",106927,0.818053844800282
"E07000042",82852,"Disabled under the Equality Act",15326,0.184980447062231
"E07000042",82852,"Not disabled under the Equality Act",67526,0.815019552937769
"E07000043",98611,"Disabled under the Equality Act",19298,0.195698248674083
"E07000043",98611,"Not disabled under the Equality Act",79313,0.804301751325917
"E07000044",88626,"Disabled under the Equality Act",16755,0.189052873874484
"E07000044",88626,"Not disabled under the Equality Act",71871,0.810947126125516
"E07000045",134803,"Disabled under the Equality Act",27411,0.203341171932375
"E07000045",134803,"Not disabled under the Equality Act",107392,0.796658828067625
"E07000046",68114,"Disabled under the Equality Act",14449,0.212129664973427
"E07000046",68114,"Not disabled under the Equality Act",53665,0.787870335026573
"E07000047",57096,"Disabled under the Equality Act",11896,0.20835084769511
"E07000047",57096,"Not disabled under the Equality Act",45200,0.79164915230489
"E07000061",101686,"Disabled under the Equality Act",21919,0.215555730385697
"E07000061",101686,"Not disabled under the Equality Act",79767,0.784444269614303
"E07000062",90995,"Disabled under the Equality Act",20525,0.225561844057366
"E07000062",90995,"Not disabled under the Equality Act",70470,0.774438155942634
"E07000063",99905,"Disabled under the Equality Act",20342,0.203613432761123
"E07000063",99905,"Not disabled under the Equality Act",79563,0.796386567238877
"E07000064",93110,"Disabled under the Equality Act",20138,0.216281817205456
"E07000064",93110,"Not disabled under the Equality Act",72972,0.783718182794544
"E07000065",160151,"Disabled under the Equality Act",27629,0.172518435726283
"E07000065",160151,"Not disabled under the Equality Act",132522,0.827481564273717
"E07000066",187571,"Disabled under the Equality Act",31380,0.167296650335073
"E07000066",187571,"Not disabled under the Equality Act",156191,0.832703349664927
"E07000067",155268,"Disabled under the Equality Act",26288,0.16930726228199
"E07000067",155268,"Not disabled under the Equality Act",128980,0.83069273771801
"E07000068",77048,"Disabled under the Equality Act",10851,0.140834285120964
"E07000068",77048,"Not disabled under the Equality Act",66197,0.859165714879036
"E07000069",89587,"Disabled under the Equality Act",15884,0.177302510408876
"E07000069",89587,"Not disabled under the Equality Act",73703,0.822697489591124
"E07000070",181522,"Disabled under the Equality Act",26188,0.144269014224171
"E07000070",181522,"Not disabled under the Equality Act",155334,0.855730985775829
"E07000071",192715,"Disabled under the Equality Act",32624,0.169286251718859
"E07000071",192715,"Not disabled under the Equality Act",160091,0.830713748281141
"E07000072",134982,"Disabled under the Equality Act",19012,0.140848409417552
"E07000072",134982,"Not disabled under the Equality Act",115970,0.859151590582448
"E07000073",93328,"Disabled under the Equality Act",15224,0.163123607063261
"E07000073",93328,"Not disabled under the Equality Act",78104,0.836876392936739
"E07000074",66208,"Disabled under the Equality Act",11484,0.173453359110681
"E07000074",66208,"Not disabled under the Equality Act",54724,0.826546640889319
"E07000075",85664,"Disabled under the Equality Act",13697,0.159892136720209
"E07000075",85664,"Not disabled under the Equality Act",71967,0.840107863279791
"E07000076",148292,"Disabled under the Equality Act",35694,0.240700779543064
"E07000076",148292,"Not disabled under the Equality Act",112598,0.759299220456936
"E07000077",91341,"Disabled under the Equality Act",12230,0.133893870222573
"E07000077",91341,"Not disabled under the Equality Act",79111,0.866106129777427
"E07000078",118835,"Disabled under the Equality Act",18948,0.15944797408171
"E07000078",118835,"Not disabled under the Equality Act",99887,0.84055202591829
"E07000079",90832,"Disabled under the Equality Act",13983,0.153943544125418
"E07000079",90832,"Not disabled under the Equality Act",76849,0.846056455874582
"E07000080",87004,"Disabled under the Equality Act",16681,0.191726817157832
"E07000080",87004,"Not disabled under the Equality Act",70323,0.808273182842168
"E07000081",132416,"Disabled under the Equality Act",23073,0.174246314644756
"E07000081",132416,"Not disabled under the Equality Act",109343,0.825753685355244
"E07000082",121104,"Disabled under the Equality Act",20521,0.169449398863786
"E07000082",121104,"Not disabled under the Equality Act",100583,0.830550601136213
"E07000083",94885,"Disabled under the Equality Act",15172,0.159898824893292
"E07000083",94885,"Not disabled under the Equality Act",79713,0.840101175106708
"E07000084",185151,"Disabled under the Equality Act",27778,0.150028895334079
"E07000084",185151,"Not disabled under the Equality Act",157373,0.849971104665921
"E07000085",125744,"Disabled under the Equality Act",19579,0.155705242397252
"E07000085",125744,"Not disabled under the Equality Act",106165,0.844294757602748
"E07000086",136443,"Disabled under the Equality Act",21869,0.160279384065141
"E07000086",136443,"Not disabled under the Equality Act",114574,0.839720615934859
"E07000087",114513,"Disabled under the Equality Act",19252,0.168120650057199
"E07000087",114513,"Not disabled under the Equality Act",95261,0.831879349942801
"E07000088",81952,"Disabled under the Equality Act",16714,0.203948652869973
"E07000088",81952,"Not disabled under the Equality Act",65238,0.796051347130027
"E07000089",99408,"Disabled under the Equality Act",12850,0.129265250281667
"E07000089",99408,"Not disabled under the Equality Act",86558,0.870734749718333
"E07000090",124208,"Disabled under the Equality Act",24718,0.199004895014814
"E07000090",124208,"Not disabled under the Equality Act",99490,0.800995104985186
"E07000091",175785,"Disabled under the Equality Act",32591,0.185402622521831
"E07000091",175785,"Not disabled under the Equality Act",143194,0.814597377478169
"E07000092",99756,"Disabled under the Equality Act",14309,0.143439993584346
"E07000092",99756,"Not disabled under the Equality Act",85447,0.856560006415654
"E07000093",130492,"Disabled under the Equality Act",20316,0.15568770499341
"E07000093",130492,"Not disabled under the Equality Act",110176,0.84431229500659
"E07000094",127444,"Disabled under the Equality Act",19566,0.153526254668717
"E07000094",127444,"Not disabled under the Equality Act",107878,0.846473745331283
"E07000095",99007,"Disabled under the Equality Act",14255,0.143979718605755
"E07000095",99007,"Not disabled under the Equality Act",84752,0.856020281394245
"E07000096",155081,"Disabled under the Equality Act",23522,0.151675575989322
"E07000096",155081,"Not disabled under the Equality Act",131559,0.848324424010678
"E07000098",107827,"Disabled under the Equality Act",15076,0.139816558004952
"E07000098",107827,"Not disabled under the Equality Act",92751,0.860183441995048
