"ltla21_code","year","overall_score","healthy_people_domain_score","healthy_lives_domain_score","healthy_places_domain_score"
"E06000001",2015,88.3,83.9,89.9,96.7
"E06000001",2016,88.5,84.9,88.8,97.2
"E06000001",2017,86.3,82,89,94.5
"E06000001",2018,85.6,86.8,82.3,94.5
"E06000001",2019,85.4,83.1,83,97
"E06000001",2020,87.3,82.4,84.1,101.4
"E06000001",2021,87.2,83.7,81.8,102.3
"E06000002",2015,83.3,85.9,80.4,91.6
"E06000002",2016,82.5,83.4,80,92.4
"E06000002",2017,82.7,83.1,83.8,89.4
"E06000002",2018,80.9,81.6,82.3,87.9
"E06000002",2019,79.7,77.9,82.8,88.1
"E06000002",2020,79.1,78.6,75.1,93.7
"E06000002",2021,80.2,79.9,76.2,93.9
"E06000003",2015,96.6,94.4,94.8,102.3
"E06000003",2016,98,94.8,96.6,103.7
"E06000003",2017,97.9,97.2,94.9,102.6
"E06000003",2018,96.2,93.6,92.6,104.2
"E06000003",2019,95.7,89.6,96.2,103.3
"E06000003",2020,92.1,84.9,89.2,106.2
"E06000003",2021,92.5,85.6,88.3,107.4
"E06000004",2015,92.2,87.6,94.1,98.6
"E06000004",2016,94.1,90.2,96.4,98.5
"E06000004",2017,93.1,92.2,93.2,97.3
"E06000004",2018,92.1,90.3,93.6,96
"E06000004",2019,95.1,90.4,98.8,98.5
"E06000004",2020,96.1,86.2,100.4,103.5
"E06000004",2021,94.8,84.8,98.2,103.9
"E06000005",2015,96.4,92.6,97.9,100.3
"E06000005",2016,95.3,91.1,97.9,99.2
"E06000005",2017,95.1,91.9,98,97.8
"E06000005",2018,96.3,92.5,97.9,100.3
"E06000005",2019,98.2,92,102.2,101.3
"E06000005",2020,94.8,83.5,97.8,105.5
"E06000005",2021,94.7,85.2,95.2,106.3
"E06000047",2015,95.9,85.4,97,107.2
"E06000047",2016,98.2,90.9,98.5,106
"E06000047",2017,97.5,90.8,99.6,103.3
"E06000047",2018,96.7,92.3,95.1,104.2
"E06000047",2019,96.7,87.5,99.5,104.6
"E06000047",2020,95.7,82.7,99.1,107.5
"E06000047",2021,95.7,83.6,97.5,108.1
"E06000057",2015,102.2,94.8,103.1,107.6
"E06000057",2016,100.6,90.5,103.2,107.8
"E06000057",2017,101.7,95.5,104.1,104.6
"E06000057",2018,101,91.9,103.9,106.7
"E06000057",2019,102.2,88.2,111.3,105.9
"E06000057",2020,100.9,86.8,104.6,111
"E06000057",2021,100.9,88.9,101.4,112
"E08000021",2015,84.9,80.3,93.8,87.8
"E08000021",2016,86.8,83.4,96,87.3
"E08000021",2017,85.7,85.2,93.4,85.4
"E08000021",2018,86,84.6,93.7,86.3
"E08000021",2019,83.6,77,92.6,89
"E08000021",2020,87.4,81.8,92.7,93.8
"E08000021",2021,89,88.8,90.8,92.7
"E08000022",2015,101.8,90,104.4,110.1
"E08000022",2016,101.4,90.7,105.3,107.5
"E08000022",2017,100,91.6,102,106.4
"E08000022",2018,99.5,92.7,99.3,106.6
"E08000022",2019,100.9,90.2,103.6,108.5
"E08000022",2020,100.5,86.7,103.5,111.1
"E08000022",2021,98.7,82.8,102.4,111.5
"E08000023",2015,94.6,88.8,91.2,106.4
"E08000023",2016,95.7,91.6,93.4,104.2
"E08000023",2017,95.6,90.2,95.6,103.1
"E08000023",2018,94.3,88.4,93.8,103.5
"E08000023",2019,94.1,84.6,95.8,104.7
"E08000023",2020,93.3,83.9,92.2,106.9
"E08000023",2021,94.8,89.3,89.2,108.3
"E08000024",2015,92.6,86.2,93.2,101.9
"E08000024",2016,93.7,88.7,94.1,101.4
"E08000024",2017,94,90.3,94.4,100.3
"E08000024",2018,92,89.9,90,100.1
"E08000024",2019,90.2,83.5,91.7,100.1
"E08000024",2020,89.8,78.6,92.7,102.9
"E08000024",2021,91.4,81.3,94,103
"E08000037",2015,96.5,91.2,96.7,103.3
"E08000037",2016,97,93.5,98.3,100.6
"E08000037",2017,95,90.1,97.7,99.5
"E08000037",2018,95.4,90.1,97.7,100.6
"E08000037",2019,94.7,88.9,96,101.6
"E08000037",2020,92.8,82,94.1,105.7
"E08000037",2021,94,87.3,93,104.5
"E06000006",2015,93.2,88.3,90.1,104.5
"E06000006",2016,90.7,82.5,91.3,102.9
"E06000006",2017,92.1,86.8,91.2,102
"E06000006",2018,91.1,87.3,88.5,101.9
"E06000006",2019,91.8,84.3,92.2,102.9
"E06000006",2020,88.9,81.3,84.1,106.5
"E06000006",2021,91.6,83.4,87.3,108.2
"E06000007",2015,102.5,93.9,105.1,107.2
"E06000007",2016,104.1,98.4,105.2,106.6
"E06000007",2017,106.8,101.8,109.2,106.1
"E06000007",2018,103.3,102.6,102.1,103.7
"E06000007",2019,103.7,98.3,105.3,105.6
"E06000007",2020,104.4,92,107.5,111.4
"E06000007",2021,105.4,95.3,107.4,110.9
"E06000008",2015,91.9,91,87.1,101.6
"E06000008",2016,89.8,86.5,86.6,101.2
"E06000008",2017,93.6,93.2,90.6,100.1
"E06000008",2018,92.2,94.9,88.1,97.3
"E06000008",2019,91.4,91,91,96.2
"E06000008",2020,87.7,83,86.4,99.6
"E06000008",2021,86.7,81.9,85,99.7
"E06000009",2015,78.3,71.2,79.9,94.3
"E06000009",2016,79.8,73.3,80.3,95.5
"E06000009",2017,78.3,69.9,81.7,93.8
"E06000009",2018,77.5,70.8,79.8,92.6
"E06000009",2019,78.7,69.1,82.8,94.5
"E06000009",2020,78,65.2,80.1,99.2
"E06000009",2021,76.5,71.1,71.6,98.1
"E06000049",2015,110,103.9,110.1,111.2
"E06000049",2016,107.3,99.3,110.6,108.5
"E06000049",2017,109.9,106.3,111.1,107.4
"E06000049",2018,109.8,105.7,111.9,107.1
"E06000049",2019,105.6,96.9,109.8,107.3
"E06000049",2020,109.5,98.9,111,114.1
"E06000049",2021,107.6,96.3,108.8,114
"E06000050",2015,105.3,100.6,103.1,109.7
"E06000050",2016,108.4,106.2,106,109
"E06000050",2017,108,106.1,106.2,107.9
"E06000050",2018,107.8,106,105.8,107.8
"E06000050",2019,107.7,104.8,105.3,109.2
"E06000050",2020,108.9,103,105,114.5
"E06000050",2021,107.7,99.5,106.6,113.4
"E07000026",2015,107.3,102,105.7,110.6
"E07000026",2016,105.9,99.4,105.9,109.5
"E07000026",2017,106.1,98.4,107.2,109.7
"E07000026",2018,106.2,101.1,104.7,109.8
"E07000026",2019,106.4,99.2,104.8,112
"E07000026",2020,107.3,94.6,105.4,118.4
"E07000026",2021,107.7,97.1,101.4,121
"E07000027",2015,92.5,87.2,90.5,103.5
"E07000027",2016,95.2,90.6,90.4,106.9
"E07000027",2017,97,88.5,93.5,110.5
"E07000027",2018,96.8,88,95.7,108.2
"E07000027",2019,95.7,82.1,99.6,107.5
"E07000027",2020,93.2,77.8,92.8,112.3
"E07000027",2021,93.7,78.8,92.2,113.2
"E07000028",2015,98,87.3,101.7,106
"E07000028",2016,99,90.9,102.4,104.3
"E07000028",2017,96,82.9,102.5,104.4
"E07000028",2018,99.5,92.2,102.9,103.5
"E07000028",2019,95.8,82.9,101.9,104.6
"E07000028",2020,92.3,70.3,101.9,108.4
"E07000028",2021,101.8,89.9,104.5,110.1
"E07000029",2015,100.6,92.2,97.8,111.4
"E07000029",2016,103.8,96.2,99.5,113.8
"E07000029",2017,103.2,96.8,98.9,112.3
"E07000029",2018,99.3,85.2,100.6,112.5
"E07000029",2019,105.9,98.1,101.2,115.6
"E07000029",2020,101.4,83.8,100.7,119.1
"E07000029",2021,104.6,86.4,101.7,123.4
"E07000030",2015,119.1,124.7,111.8,111.5
"E07000030",2016,117.2,115.7,114.8,112.8
"E07000030",2017,123.3,127.5,116.6,114.6
"E07000030",2018,118.9,123.3,112.7,111.6
"E07000030",2019,120.9,119,118.4,115.2
"E07000030",2020,119.4,118.1,118.5,112.2
"E07000030",2021,117.4,113.6,116,114.1
"E07000031",2015,116.5,111.3,115.3,115
"E07000031",2016,118.3,115.9,116.1,114.2
"E07000031",2017,119.5,115.7,116.3,117
"E07000031",2018,117.7,110,117.9,116.6
"E07000031",2019,119.4,111.8,120.9,116.3
"E07000031",2020,119.6,111.4,119.2,118.7
"E07000031",2021,121.6,119.2,115.4,119.8
"E07000117",2015,84.7,82.5,79.3,99.6
"E07000117",2016,93.5,102.7,82,98.8
"E07000117",2017,92.9,95.5,86.8,100
"E07000117",2018,87.6,88.7,83.1,97
"E07000117",2019,86.2,86.6,83.3,95.2
"E07000117",2020,85.9,80.1,82.3,102.1
"E07000117",2021,85.4,76.5,85.5,101.2
"E07000118",2015,109.4,104.5,105,114.1
"E07000118",2016,110.4,103.5,107.5,115.2
"E07000118",2017,111.2,104.7,107.3,116.3
"E07000118",2018,113.5,108.7,111,114.2
"E07000118",2019,111,104.4,109,114.2
"E07000118",2020,111.6,104.8,106.9,117.5
"E07000118",2021,111.2,104.8,106.2,117.3
"E07000119",2015,111.4,106.2,109,113.5
"E07000119",2016,111.2,105.1,110.8,112.3
"E07000119",2017,111.4,101.1,113.3,114.3
"E07000119",2018,115,113.3,110.2,114.3
"E07000119",2019,118.1,115.6,114,116
"E07000119",2020,110.4,93.5,113.6,119.1
"E07000119",2021,111.9,103.4,107.2,119.6
"E07000120",2015,94.7,96.8,86.1,103.8
"E07000120",2016,93.9,94.1,87.2,103.3
"E07000120",2017,89.6,92.5,79.8,101.5
"E07000120",2018,95.4,105.1,84.7,98.5
"E07000120",2019,92,92,87,100.9
"E07000120",2020,92.4,95.5,82.7,102.6
"E07000120",2021,90.9,88.1,85.7,103.3
"E07000121",2015,91.1,77.3,104.1,96.1
"E07000121",2016,93,78.9,104.5,98.8
"E07000121",2017,93.2,83.7,100.4,98.9
"E07000121",2018,94.1,84,104.9,96.1
"E07000121",2019,91.4,77,102.1,99.1
"E07000121",2020,93.1,79.7,98.4,104.6
"E07000121",2021,93.5,82.4,96.6,104.5
"E07000122",2015,95.2,99.5,82.8,105.7
"E07000122",2016,96.4,101.1,87.6,102.3
"E07000122",2017,93.1,94.4,87.3,100.9
"E07000122",2018,93.7,93,91.7,99.4
"E07000122",2019,99.5,103.1,94.2,101.4
"E07000122",2020,94.1,91.8,89.8,103.5
"E07000122",2021,98.1,105.2,87.4,102.5
"E07000123",2015,90.8,88.5,96.2,92.2
"E07000123",2016,91.5,90.3,96.3,92.1
"E07000123",2017,92.8,94.9,95.3,91.6
"E07000123",2018,94.8,100.6,96.7,89.6
"E07000123",2019,94.5,95.5,95.7,95
"E07000123",2020,95.5,93.6,97.2,97.9
"E07000123",2021,89.6,81.8,92.9,99
"E07000124",2015,113.4,105,107.2,121.7
"E07000124",2016,119.5,111.1,117.5,120.5
"E07000124",2017,122.8,119.9,117,120.5
"E07000124",2018,121.8,118.9,117.7,118.3
"E07000124",2019,127.7,120.8,124,125
"E07000124",2020,122.6,115.6,115.6,125.7
"E07000124",2021,121.9,111.2,117,127.1
"E07000125",2015,101.4,103.3,92.7,107.5
"E07000125",2016,98.9,98,95.2,104
"E07000125",2017,99.2,98.9,92.3,107
"E07000125",2018,97.5,99.3,92.1,102.2
"E07000125",2019,98.4,90.3,99.8,105.9
"E07000125",2020,96.3,88.8,93.4,108.5
"E07000125",2021,95.3,86.4,94.6,107.2
"E07000126",2015,110.6,103.9,105.4,117.5
"E07000126",2016,112.6,107.3,108.2,116.3
"E07000126",2017,111.9,104.6,108.4,117
"E07000126",2018,107.3,99.6,108,110.8
"E07000126",2019,107.1,100.5,105.5,111.8
"E07000126",2020,112.1,108.6,105.6,116.2
"E07000126",2021,107.4,97.9,103.9,116.9
"E07000127",2015,99,96.4,95.7,105.4
"E07000127",2016,102.6,99.2,99.6,107.7
"E07000127",2017,102.3,98.8,100,106.9
"E07000127",2018,102.8,97,102.7,107.3
"E07000127",2019,100.7,90.7,101.6,109.5
"E07000127",2020,100.4,88.4,98.6,114
"E07000127",2021,103.9,98.6,97,114.1
"E07000128",2015,102.7,91.4,100.6,114.8
"E07000128",2016,104.9,96.5,101.2,114.8
"E07000128",2017,106.4,94.9,106.4,114.9
"E07000128",2018,107,98.6,104.5,114.5
"E07000128",2019,107.2,98.8,104.9,114.5
"E07000128",2020,107.4,97.5,104.5,116.5
"E07000128",2021,105,95.5,100.4,116.8
"E08000001",2015,95.1,92.4,95.4,100
"E08000001",2016,95,91.5,96.3,99.4
"E08000001",2017,94.8,92.9,96.3,97.7
"E08000001",2018,94.5,95,94.1,97
"E08000001",2019,94.6,92.4,95.4,98.6
"E08000001",2020,93.9,90.7,91.8,102.2
"E08000001",2021,94.5,94.8,89.3,102
"E08000002",2015,99.3,94.6,98.8,104.8
"E08000002",2016,99.7,95.8,100.7,102.6
"E08000002",2017,100.1,99,98.1,103.1
"E08000002",2018,99.5,100.1,94.9,103.7
"E08000002",2019,101.9,100.2,100.7,104
"E08000002",2020,97.8,89.5,99.4,105.6
"E08000002",2021,96.3,88.4,96.1,106.2
"E08000003",2015,77.7,83.8,80.4,79.7
"E08000003",2016,78.2,84.1,82.3,78.6
"E08000003",2017,80,86.6,84.5,78.5
"E08000003",2018,80.8,87.2,85.7,78.5
"E08000003",2019,81.3,87.7,85.3,79.7
"E08000003",2020,79.5,80.6,84.4,83.4
"E08000003",2021,81.8,86.1,84.4,83.5
"E08000004",2015,92.3,94.3,89.9,96.5
"E08000004",2016,92.8,96.4,90.8,94.5
"E08000004",2017,94.3,100.6,91.1,93.8
"E08000004",2018,91,97.4,86.1,93.8
"E08000004",2019,91.3,93.2,89.7,95.2
"E08000004",2020,92.9,94.5,88.6,99.1
"E08000004",2021,91.1,95,84.4,98
"E08000005",2015,90.2,88.6,89.4,97.4
"E08000005",2016,91.7,91.7,91.9,95.4
"E08000005",2017,92.3,94.2,90.2,96.3
"E08000005",2018,90.2,91.2,87.4,96.8
"E08000005",2019,92.6,92.8,91.9,96.7
"E08000005",2020,90.7,88.8,88.5,99.2
"E08000005",2021,91,91.8,87.7,97.9
"E08000006",2015,85.2,86.5,84.7,91.4
"E08000006",2016,85.3,87.4,85.6,89.9
"E08000006",2017,86,87.5,88.2,89.2
"E08000006",2018,85,86.9,87,88.3
"E08000006",2019,86.5,86.9,88.5,90.5
"E08000006",2020,85.5,84.7,86.4,92.4
"E08000006",2021,83.5,83.9,82.7,91.9
"E08000007",2015,103.3,96.8,103.1,108.6
"E08000007",2016,105.1,99,105.9,108
"E08000007",2017,106.3,99.8,108.1,108
"E08000007",2018,107.8,102.3,106.9,110.6
"E08000007",2019,104.7,96.5,105.9,109.5
"E08000007",2020,104.2,93.2,105.3,112.1
"E08000007",2021,105.4,99,103,111.7
"E08000008",2015,90.9,86,89.2,101.7
"E08000008",2016,91.5,85.3,93.3,100
"E08000008",2017,92.5,88.7,93.2,99.1
"E08000008",2018,93.2,93.1,91.4,98.5
"E08000008",2019,93.1,87.8,93.2,101.6
"E08000008",2020,91,83.4,90.8,103.2
"E08000008",2021,93.8,90.8,89.4,104.3
"E08000009",2015,111.1,108.6,107.9,111.6
"E08000009",2016,111.4,107.4,110.1,111.1
"E08000009",2017,111.5,106.5,112.7,109.8
"E08000009",2018,109.4,108.2,105.9,109.8
"E08000009",2019,113.2,107.2,114.2,111.9
