"icb22_code","icb22_name","year","indicator","value"
"E54000008","NHS Cheshire and Merseyside Integrated Care Board",2021,"disability",81.7
"E54000008","NHS Cheshire and Merseyside Integrated Care Board",2021,"frailty",102.1
"E54000008","NHS Cheshire and Merseyside Integrated Care Board",2021,"childrens_social_emotional_and_mental_health",89.8
"E54000008","NHS Cheshire and Merseyside Integrated Care Board",2021,"mental_health_conditions",93.2
"E54000008","NHS Cheshire and Merseyside Integrated Care Board",2021,"self_harm",91.2
"E54000008","NHS Cheshire and Merseyside Integrated Care Board",2021,"suicides",97.3
"E54000008","NHS Cheshire and Merseyside Integrated Care Board",2021,"avoidable_mortality",91.3
"E54000008","NHS Cheshire and Merseyside Integrated Care Board",2021,"infant_mortality",99
"E54000008","NHS Cheshire and Merseyside Integrated Care Board",2021,"life_expectancy",91
"E54000008","NHS Cheshire and Merseyside Integrated Care Board",2021,"mortality_from_all_causes",92
"E54000008","NHS Cheshire and Merseyside Integrated Care Board",2021,"activities_in_life_are_worthwhile",95.9
"E54000008","NHS Cheshire and Merseyside Integrated Care Board",2021,"feelings_of_anxiety",90.5
"E54000008","NHS Cheshire and Merseyside Integrated Care Board",2021,"happiness",93.9
"E54000008","NHS Cheshire and Merseyside Integrated Care Board",2021,"life_satisfaction",90.2
"E54000008","NHS Cheshire and Merseyside Integrated Care Board",2021,"cancer",101.3
"E54000008","NHS Cheshire and Merseyside Integrated Care Board",2021,"cardiovascular_conditions",96.1
"E54000008","NHS Cheshire and Merseyside Integrated Care Board",2021,"dementia",99
"E54000008","NHS Cheshire and Merseyside Integrated Care Board",2021,"diabetes",102.8
"E54000008","NHS Cheshire and Merseyside Integrated Care Board",2021,"kidney_and_liver_disease",98.8
"E54000008","NHS Cheshire and Merseyside Integrated Care Board",2021,"musculoskeletal_conditions",102.6
"E54000008","NHS Cheshire and Merseyside Integrated Care Board",2021,"respiratory_conditions",98.3
"E54000008","NHS Cheshire and Merseyside Integrated Care Board",2021,"alcohol_misuse",87.7
"E54000008","NHS Cheshire and Merseyside Integrated Care Board",2021,"drug_misuse",86.7
"E54000008","NHS Cheshire and Merseyside Integrated Care Board",2021,"healthy_eating",88.3
"E54000008","NHS Cheshire and Merseyside Integrated Care Board",2021,"physical_activity",100.1
"E54000008","NHS Cheshire and Merseyside Integrated Care Board",2021,"sedentary_behaviour",97.2
"E54000008","NHS Cheshire and Merseyside Integrated Care Board",2021,"sexually_transmitted_infections",111.1
"E54000008","NHS Cheshire and Merseyside Integrated Care Board",2021,"smoking",111.8
"E54000008","NHS Cheshire and Merseyside Integrated Care Board",2021,"early_years_development",106.4
"E54000008","NHS Cheshire and Merseyside Integrated Care Board",2021,"pupil_absences",95.6
"E54000008","NHS Cheshire and Merseyside Integrated Care Board",2021,"pupil_attainment",105.1
"E54000008","NHS Cheshire and Merseyside Integrated Care Board",2021,"teenage_pregnancy",105.8
"E54000008","NHS Cheshire and Merseyside Integrated Care Board",2021,"young_people_in_education_employment_and_apprenticeships",95.4
"E54000008","NHS Cheshire and Merseyside Integrated Care Board",2021,"high_blood_pressure",106.1
"E54000008","NHS Cheshire and Merseyside Integrated Care Board",2021,"low_birth_weight",106.2
"E54000008","NHS Cheshire and Merseyside Integrated Care Board",2021,"overweight_and_obesity_in_adults",89.4
"E54000008","NHS Cheshire and Merseyside Integrated Care Board",2021,"overweight_and_obesity_in_children",87.6
"E54000008","NHS Cheshire and Merseyside Integrated Care Board",2021,"cancer_screening_attendance",91.1
"E54000008","NHS Cheshire and Merseyside Integrated Care Board",2021,"child_vaccination_coverage",100.7
"E54000008","NHS Cheshire and Merseyside Integrated Care Board",2021,"private_outdoor_space",104.3
"E54000008","NHS Cheshire and Merseyside Integrated Care Board",2021,"distance_to_gp_services",102
"E54000008","NHS Cheshire and Merseyside Integrated Care Board",2021,"distance_to_pharmacies",102.3
"E54000008","NHS Cheshire and Merseyside Integrated Care Board",2021,"distance_to_sports_or_leisure_facilities",98.4
"E54000008","NHS Cheshire and Merseyside Integrated Care Board",2021,"internet_access",107.6
"E54000008","NHS Cheshire and Merseyside Integrated Care Board",2021,"patients_offered_acceptable_gp_practice_appointments",98.3
"E54000008","NHS Cheshire and Merseyside Integrated Care Board",2021,"low_level_crime",107.7
"E54000008","NHS Cheshire and Merseyside Integrated Care Board",2021,"personal_crime",91.1
"E54000008","NHS Cheshire and Merseyside Integrated Care Board",2021,"child_poverty",98.9
"E54000008","NHS Cheshire and Merseyside Integrated Care Board",2021,"job_related_training",95.4
"E54000008","NHS Cheshire and Merseyside Integrated Care Board",2021,"unemployment",103.9
"E54000008","NHS Cheshire and Merseyside Integrated Care Board",2021,"workplace_safety",101.4
"E54000008","NHS Cheshire and Merseyside Integrated Care Board",2021,"air_pollution",116.1
"E54000008","NHS Cheshire and Merseyside Integrated Care Board",2021,"household_overcrowding",124.8
"E54000008","NHS Cheshire and Merseyside Integrated Care Board",2021,"noise_complaints",101.8
"E54000008","NHS Cheshire and Merseyside Integrated Care Board",2021,"road_safety",101.6
"E54000008","NHS Cheshire and Merseyside Integrated Care Board",2021,"rough_sleeping",109.3
"E54000010","NHS Staffordshire and Stoke-on-Trent Integrated Care Board",2021,"disability",86.7
"E54000010","NHS Staffordshire and Stoke-on-Trent Integrated Care Board",2021,"frailty",103.1
"E54000010","NHS Staffordshire and Stoke-on-Trent Integrated Care Board",2021,"childrens_social_emotional_and_mental_health",100.8
"E54000010","NHS Staffordshire and Stoke-on-Trent Integrated Care Board",2021,"mental_health_conditions",99
"E54000010","NHS Staffordshire and Stoke-on-Trent Integrated Care Board",2021,"self_harm",101.3
"E54000010","NHS Staffordshire and Stoke-on-Trent Integrated Care Board",2021,"suicides",89.6
"E54000010","NHS Staffordshire and Stoke-on-Trent Integrated Care Board",2021,"avoidable_mortality",96.8
"E54000010","NHS Staffordshire and Stoke-on-Trent Integrated Care Board",2021,"infant_mortality",86.7
"E54000010","NHS Staffordshire and Stoke-on-Trent Integrated Care Board",2021,"life_expectancy",94.3
"E54000010","NHS Staffordshire and Stoke-on-Trent Integrated Care Board",2021,"mortality_from_all_causes",94.8
"E54000010","NHS Staffordshire and Stoke-on-Trent Integrated Care Board",2021,"activities_in_life_are_worthwhile",100.5
"E54000010","NHS Staffordshire and Stoke-on-Trent Integrated Care Board",2021,"feelings_of_anxiety",95.9
"E54000010","NHS Staffordshire and Stoke-on-Trent Integrated Care Board",2021,"happiness",104.8
"E54000010","NHS Staffordshire and Stoke-on-Trent Integrated Care Board",2021,"life_satisfaction",96.6
"E54000010","NHS Staffordshire and Stoke-on-Trent Integrated Care Board",2021,"cancer",105.4
"E54000010","NHS Staffordshire and Stoke-on-Trent Integrated Care Board",2021,"cardiovascular_conditions",102.5
"E54000010","NHS Staffordshire and Stoke-on-Trent Integrated Care Board",2021,"dementia",102
"E54000010","NHS Staffordshire and Stoke-on-Trent Integrated Care Board",2021,"diabetes",107.3
"E54000010","NHS Staffordshire and Stoke-on-Trent Integrated Care Board",2021,"kidney_and_liver_disease",100.7
"E54000010","NHS Staffordshire and Stoke-on-Trent Integrated Care Board",2021,"musculoskeletal_conditions",104.2
"E54000010","NHS Staffordshire and Stoke-on-Trent Integrated Care Board",2021,"respiratory_conditions",104.9
"E54000010","NHS Staffordshire and Stoke-on-Trent Integrated Care Board",2021,"alcohol_misuse",101.7
"E54000010","NHS Staffordshire and Stoke-on-Trent Integrated Care Board",2021,"drug_misuse",110.8
"E54000010","NHS Staffordshire and Stoke-on-Trent Integrated Care Board",2021,"healthy_eating",88
