"icb22_code","icb22_name","year","sub_domain","value"
"E54000008","NHS Cheshire and Merseyside Integrated Care Board",2021,"difficulties_in_daily_life",90.1
"E54000008","NHS Cheshire and Merseyside Integrated Care Board",2021,"mental_health",90.1
"E54000008","NHS Cheshire and Merseyside Integrated Care Board",2021,"mortality",91.9
"E54000008","NHS Cheshire and Merseyside Integrated Care Board",2021,"personal_well_being",91.4
"E54000008","NHS Cheshire and Merseyside Integrated Care Board",2021,"physical_health_conditions",99.9
"E54000008","NHS Cheshire and Merseyside Integrated Care Board",2021,"behavioural_risk_factors",96.6
"E54000008","NHS Cheshire and Merseyside Integrated Care Board",2021,"children_and_young_people",101.5
"E54000008","NHS Cheshire and Merseyside Integrated Care Board",2021,"physiological_risk_factors",90
"E54000008","NHS Cheshire and Merseyside Integrated Care Board",2021,"protective_measures",95.4
"E54000008","NHS Cheshire and Merseyside Integrated Care Board",2021,"access_to_green_space",104.3
"E54000008","NHS Cheshire and Merseyside Integrated Care Board",2021,"access_to_services",102.6
"E54000008","NHS Cheshire and Merseyside Integrated Care Board",2021,"crime",99.4
"E54000008","NHS Cheshire and Merseyside Integrated Care Board",2021,"economic_and_working_conditions",100.7
"E54000008","NHS Cheshire and Merseyside Integrated Care Board",2021,"living_conditions",113.4
"E54000010","NHS Staffordshire and Stoke-on-Trent Integrated Care Board",2021,"difficulties_in_daily_life",93.8
"E54000010","NHS Staffordshire and Stoke-on-Trent Integrated Care Board",2021,"mental_health",96.7
"E54000010","NHS Staffordshire and Stoke-on-Trent Integrated Care Board",2021,"mortality",93.5
"E54000010","NHS Staffordshire and Stoke-on-Trent Integrated Care Board",2021,"personal_well_being",99.5
"E54000010","NHS Staffordshire and Stoke-on-Trent Integrated Care Board",2021,"physical_health_conditions",105.5
"E54000010","NHS Staffordshire and Stoke-on-Trent Integrated Care Board",2021,"behavioural_risk_factors",99.9
"E54000010","NHS Staffordshire and Stoke-on-Trent Integrated Care Board",2021,"children_and_young_people",106.4
"E54000010","NHS Staffordshire and Stoke-on-Trent Integrated Care Board",2021,"physiological_risk_factors",89.2
"E54000010","NHS Staffordshire and Stoke-on-Trent Integrated Care Board",2021,"protective_measures",105
"E54000010","NHS Staffordshire and Stoke-on-Trent Integrated Care Board",2021,"access_to_green_space",108.9
