"ltla21_code","year","Difficulties in daily life","Mental health","Mortality","Personal well-being","Physical health conditions","Behavioural risk factors","Children and young people","Physiological risk factors","Protective measures","Access to green space","Access to services","Crime","Economic and working conditions","Living conditions"
"E06000001",2021,82.8,87.6,87.7,92.3,94.3,72.1,93.8,75.5,100.1,111.3,103,85.6,90.2,115.4
"E06000002",2021,79.8,83.5,74.8,92,102.1,77.7,80.2,75,90.8,112.5,102.6,81.8,84.1,104.3
"E06000003",2021,84.4,78.4,91.1,96.6,100.6,87.6,96,81,97.6,112.8,99.5,90.4,92.3,122.8
"E06000004",2021,89.6,92.9,92.7,80.8,92.5,97.9,102.8,89.2,104.5,112,95.4,94.1,95.5,112.3
"E06000005",2021,86.6,80.3,90.1,89.5,103.5,93.1,103.2,81.9,106.5,112.9,97,93,96.8,115.5
"E06000047",2021,87.5,83.3,89.4,93.9,90.4,95,101.4,87.7,107.7,111.5,96.2,94.8,93.8,123.4
"E06000057",2021,89.8,79.6,100.5,100.7,91.8,104.6,108,85.6,106.3,108.5,86.1,104.1,96,134.3
"E08000021",2021,95.8,89.9,89.5,98.8,88.2,94.8,92.6,83.8,99.1,95.1,104.6,90.3,88.9,103.2
"E08000022",2021,86.6,77.7,95.9,87,94.6,100.5,105.3,89.4,112.3,112.2,104.9,96.5,97.9,116.4
"E08000023",2021,87.9,91.2,85.5,98.2,101,87.6,99.1,68.5,110.2,116.9,105.6,98.5,90,109
"E08000024",2021,79.3,89.2,84.8,76.8,106.7,87.8,93.2,91.6,108,111.2,102.6,91.8,91.6,110.1
"E08000037",2021,77,91.8,89.3,92.7,106.3,95,102.3,76.7,103.6,105.5,103.7,95.6,94.3,111.9
"E06000006",2021,82.9,87.2,88.9,87.3,97.5,95.3,94.9,78.1,91.1,111.9,100.7,93.3,100,114
"E06000007",2021,92,97.8,96.9,92.5,104.8,104.8,113.1,102.1,103.7,108,102.1,97.6,106.7,111.9
"E06000008",2021,80.8,93.1,76.5,90.4,97.8,79.7,103.2,78.3,90.5,112.6,108.6,94.8,82.4,100.8
"E06000009",2021,78,75.5,64.8,90.2,93.8,73.7,85.5,60.7,88.7,104.9,113.1,84.9,91,101.5
"E06000049",2021,94.2,95.1,106.9,100.8,90.5,107.3,116.3,98.8,105.9,104,92.1,107.6,108.6,121.6
"E06000050",2021,101.5,96.9,103.6,95.3,100.9,111.7,107.5,100.7,101.4,105.7,95.8,99.7,106.7,124.4
"E07000026",2021,101.4,91.6,96.5,90.6,109.9,106.8,103.7,85.4,108.6,106,91,110.5,101.8,141.6
"E07000027",2021,79.9,80.2,84.9,70.1,113.2,90.5,98.1,84.5,101.6,110.8,110.3,97.2,97.7,115.9
"E07000028",2021,104.3,80.4,94.5,89.9,96.7,100.5,103.9,100.8,109.4,109.8,87.3,96.4,101.1,129.7
"E07000029",2021,87.1,83.9,90.1,104.9,88.1,107,104.2,84.6,109.7,108.1,88.2,110.5,108.9,140.8
"E07000030",2021,98.8,108.1,117.8,100.6,120.8,120.1,114.8,102.8,113.5,98.4,74.4,115.8,106.5,139
"E07000031",2021,108.2,107.5,110,114.7,124.3,118.8,121.4,104.7,104.6,93.2,89.5,121.2,111.6,132.3
"E07000117",2021,93.2,83.6,78.4,76,89.2,88,88.4,81.9,95.3,110.3,109,88.9,83.4,111.5
"E07000118",2021,105,95.3,99.7,111.9,104.5,103.6,116.6,95.2,104.4,110.7,100.2,106.8,105.9,118.3
"E07000119",2021,89.3,104.2,103.4,115.3,99.2,99.8,113.1,111.1,99,103.5,100.4,114.6,103.7,125.1
"E07000120",2021,92.6,88.8,83.3,96.3,98.6,87.3,93.2,82.7,90.9,112.8,111.5,93.6,85,105
"E07000121",2021,95.4,86.9,94.3,104.4,59.5,105.6,101.1,92.7,89.7,97,93.7,101.2,99.4,119.5
"E07000122",2021,92.4,110.9,87.8,126.3,100.2,91.3,99.1,82.3,86.8,110.3,103.3,100.9,81.6,109.9
"E07000123",2021,91.2,92.5,80.2,77.8,96.7,94.5,101.9,89.4,91.3,98.8,104.9,97.4,91.8,104.8
"E07000124",2021,116.5,106.8,109.4,101.6,103.4,112.6,126.7,103.3,112.1,101.5,89.1,123,113.9,137.9
"E07000125",2021,76.6,88.2,87.4,97.7,104,95,107.3,83.9,96.3,101.8,102.9,102.6,96.9,113.1
"E07000126",2021,102.4,101.4,105.2,79.1,104.8,101.6,112.6,94.1,104.3,108.9,105.2,96.1,108.6,122
