"icb22_code","date","do_not_meet_criteria_to_reside"
"E54000056",2022-04-01,440
"E54000056",2022-04-02,389
"E54000056",2022-04-03,354
"E54000056",2022-04-04,375
"E54000056",2022-04-05,392
"E54000056",2022-04-06,382
"E54000056",2022-04-07,382
"E54000056",2022-04-08,407
"E54000056",2022-04-09,386
"E54000056",2022-04-10,330
"E54000056",2022-04-11,365
"E54000056",2022-04-12,392
"E54000056",2022-04-13,360
"E54000056",2022-04-14,408
"E54000056",2022-04-15,431
"E54000056",2022-04-16,405
"E54000056",2022-04-17,373
"E54000056",2022-04-18,361
"E54000056",2022-04-19,348
"E54000056",2022-04-20,349
"E54000056",2022-04-21,341
"E54000056",2022-04-22,390
"E54000056",2022-04-23,348
"E54000056",2022-04-24,340
"E54000056",2022-04-25,347
"E54000056",2022-04-26,354
"E54000056",2022-04-27,338
"E54000056",2022-04-28,339
"E54000056",2022-04-29,404
"E54000056",2022-04-30,363
"E54000022",2022-04-01,625
"E54000022",2022-04-02,505
"E54000022",2022-04-03,448
"E54000022",2022-04-04,467
"E54000022",2022-04-05,527
"E54000022",2022-04-06,508
"E54000022",2022-04-07,532
"E54000022",2022-04-08,586
"E54000022",2022-04-09,395
"E54000022",2022-04-10,450
"E54000022",2022-04-11,523
"E54000022",2022-04-12,540
"E54000022",2022-04-13,552
"E54000022",2022-04-14,412
"E54000022",2022-04-15,449
"E54000022",2022-04-16,402
"E54000022",2022-04-17,462
"E54000022",2022-04-18,433
"E54000022",2022-04-19,480
"E54000022",2022-04-20,550
"E54000022",2022-04-21,392
"E54000022",2022-04-22,515
"E54000022",2022-04-23,498
"E54000022",2022-04-24,446
"E54000022",2022-04-25,512
"E54000022",2022-04-26,522
"E54000022",2022-04-27,517
"E54000022",2022-04-28,513
"E54000022",2022-04-29,586
"E54000022",2022-04-30,508
"E54000023",2022-04-01,435
"E54000023",2022-04-02,310
"E54000023",2022-04-03,294
"E54000023",2022-04-04,370
"E54000023",2022-04-05,411
"E54000023",2022-04-06,442
"E54000023",2022-04-07,308
"E54000023",2022-04-08,435
"E54000023",2022-04-09,331
"E54000023",2022-04-10,277
"E54000023",2022-04-11,277
"E54000023",2022-04-12,421
"E54000023",2022-04-13,448
"E54000023",2022-04-14,456
"E54000023",2022-04-15,382
"E54000023",2022-04-16,324
"E54000023",2022-04-17,289
"E54000023",2022-04-18,317
"E54000023",2022-04-19,374
"E54000023",2022-04-20,436
"E54000023",2022-04-21,445
"E54000023",2022-04-22,464
"E54000023",2022-04-23,375
"E54000023",2022-04-24,319
"E54000023",2022-04-25,396
"E54000023",2022-04-26,408
"E54000023",2022-04-27,463
"E54000023",2022-04-28,446
"E54000023",2022-04-29,502
"E54000023",2022-04-30,373
"E54000024",2022-04-01,371
"E54000024",2022-04-02,326
"E54000024",2022-04-03,297
"E54000024",2022-04-04,353
"E54000024",2022-04-05,398
"E54000024",2022-04-06,374
"E54000024",2022-04-07,399
"E54000024",2022-04-08,406
"E54000024",2022-04-09,360
"E54000024",2022-04-10,337
"E54000024",2022-04-11,549
"E54000024",2022-04-12,399
"E54000024",2022-04-13,411
"E54000024",2022-04-14,408
"E54000024",2022-04-15,357
"E54000024",2022-04-16,315
"E54000024",2022-04-17,313
"E54000024",2022-04-18,310
"E54000024",2022-04-19,361
"E54000024",2022-04-20,414
"E54000024",2022-04-21,430
"E54000024",2022-04-22,426
"E54000024",2022-04-23,388
"E54000024",2022-04-24,389
"E54000024",2022-04-25,422
"E54000024",2022-04-26,438
"E54000024",2022-04-27,391
"E54000024",2022-04-28,375
"E54000024",2022-04-29,380
"E54000024",2022-04-30,362
"E54000025",2022-04-01,428
"E54000025",2022-04-02,287
"E54000025",2022-04-03,269
"E54000025",2022-04-04,376
"E54000025",2022-04-05,390
