"ltla21_code","total_population","legal_partnership","n","prop"
"E06000001",74684,"Never married and never registered a civil partnership; measures: Value",28651,"0.383629693107"
"E06000001",74684,"Married or in a registered civil partnership; measures: Value",31559,"0.422567082642"
"E06000001",74684,"Married or in a registered civil partnership: Married; measures: Value",31457,"0.421201328263"
"E06000001",74684,"Married or in a registered civil partnership: Married: Opposite sex; measures: Value",31270,"0.418697445236"
"E06000001",74684,"Married or in a registered civil partnership: Married: Same sex; measures: Value",187,"0.002503883027"
"E06000001",74684,"Married or in a registered civil partnership: In a registered civil partnership; measures: Value",102,"0.001365754378"
"E06000001",74684,"Married or in a registered civil partnership: In a registered civil partnership: Opposite sex; measures: Value",36,"0.000482030957"
"E06000001",74684,"Married or in a registered civil partnership: In a registered civil partnership: Same sex; measures: Value",66,"0.000883723421"
"E06000001",74684,"Separated, but still legally married or still legally in a civil partnership; measures: Value",1902,"0.025467302233"
"E06000001",74684,"Separated, but still legally married or still legally in a civil partnership: Separated, but still married; measures: Value",1892,"0.025333404745"
"E06000001",74684,"Separated, but still legally married or still legally in a civil partnership: Separated, but still in a registered civil partnership; measures: Value",10,"0.000133897488"
"E06000001",74684,"Divorced or civil partnership dissolved; measures: Value",7167,"0.095964329709"
"E06000001",74684,"Divorced or civil partnership dissolved: Divorced; measures: Value",7148,"0.095709924482"
"E06000001",74684,"Divorced or civil partnership dissolved: Formerly in a civil partnership now legally dissolved; measures: Value",19,"0.000254405227"
"E06000001",74684,"Widowed or surviving civil partnership partner; measures: Value",5405,"0.072371592309"
"E06000001",74684,"Widowed or surviving civil partnership partner: Widowed; measures: Value",5398,"0.072277864067"
"E06000001",74684,"Widowed or surviving civil partnership partner: Surviving partner from civil partnership; measures: Value",7,"0.000093728242"
"E06000002",113938,"Never married and never registered a civil partnership; measures: Value",49116,"0.431076550405"
"E06000002",113938,"Married or in a registered civil partnership; measures: Value",44937,"0.394398708069"
"E06000002",113938,"Married or in a registered civil partnership: Married; measures: Value",44746,"0.392722357774"
"E06000002",113938,"Married or in a registered civil partnership: Married: Opposite sex; measures: Value",44501,"0.390572065509"
"E06000002",113938,"Married or in a registered civil partnership: Married: Same sex; measures: Value",245,"0.002150292264"
"E06000002",113938,"Married or in a registered civil partnership: In a registered civil partnership; measures: Value",191,"0.001676350296"
"E06000002",113938,"Married or in a registered civil partnership: In a registered civil partnership: Opposite sex; measures: Value",82,"0.000719689656"
"E06000002",113938,"Married or in a registered civil partnership: In a registered civil partnership: Same sex; measures: Value",109,"0.000956660640"
"E06000002",113938,"Separated, but still legally married or still legally in a civil partnership; measures: Value",2891,"0.025373448718"
"E06000002",113938,"Separated, but still legally married or still legally in a civil partnership: Separated, but still married; measures: Value",2869,"0.025180361249"
"E06000002",113938,"Separated, but still legally married or still legally in a civil partnership: Separated, but still in a registered civil partnership; measures: Value",22,"0.000193087469"
"E06000002",113938,"Divorced or civil partnership dissolved; measures: Value",9683,"0.084984816304"
"E06000002",113938,"Divorced or civil partnership dissolved: Divorced; measures: Value",9660,"0.084782952132"
"E06000002",113938,"Divorced or civil partnership dissolved: Formerly in a civil partnership now legally dissolved; measures: Value",23,"0.000201864172"
"E06000002",113938,"Widowed or surviving civil partnership partner; measures: Value",7311,"0.064166476505"
"E06000002",113938,"Widowed or surviving civil partnership partner: Widowed; measures: Value",7302,"0.064087486177"
"E06000002",113938,"Widowed or surviving civil partnership partner: Surviving partner from civil partnership; measures: Value",9,"0.000078990328"
"E06000003",112345,"Never married and never registered a civil partnership; measures: Value",39827,"0.354506208554"
"E06000003",112345,"Married or in a registered civil partnership; measures: Value",49428,"0.439966175620"
"E06000003",112345,"Married or in a registered civil partnership: Married; measures: Value",49240,"0.438292758912"
"E06000003",112345,"Married or in a registered civil partnership: Married: Opposite sex; measures: Value",49026,"0.436387912235"
"E06000003",112345,"Married or in a registered civil partnership: Married: Same sex; measures: Value",214,"0.001904846678"
"E06000003",112345,"Married or in a registered civil partnership: In a registered civil partnership; measures: Value",188,"0.001673416707"
"E06000003",112345,"Married or in a registered civil partnership: In a registered civil partnership: Opposite sex; measures: Value",70,"0.000623080689"
"E06000003",112345,"Married or in a registered civil partnership: In a registered civil partnership: Same sex; measures: Value",118,"0.001050336019"
"E06000003",112345,"Separated, but still legally married or still legally in a civil partnership; measures: Value",2688,"0.023926298456"
"E06000003",112345,"Separated, but still legally married or still legally in a civil partnership: Separated, but still married; measures: Value",2668,"0.023748275402"
"E06000003",112345,"Separated, but still legally married or still legally in a civil partnership: Separated, but still in a registered civil partnership; measures: Value",20,"0.000178023054"
"E06000003",112345,"Divorced or civil partnership dissolved; measures: Value",11593,"0.103191063243"
"E06000003",112345,"Divorced or civil partnership dissolved: Divorced; measures: Value",11561,"0.102906226356"
"E06000003",112345,"Divorced or civil partnership dissolved: Formerly in a civil partnership now legally dissolved; measures: Value",32,"0.000284836886"
"E06000003",112345,"Widowed or surviving civil partnership partner; measures: Value",8809,"0.078410254128"
"E06000003",112345,"Widowed or surviving civil partnership partner: Widowed; measures: Value",8804,"0.078365748364"
"E06000003",112345,"Widowed or surviving civil partnership partner: Surviving partner from civil partnership; measures: Value",5,"0.000044505763"
"E06000004",158010,"Never married and never registered a civil partnership; measures: Value",56727,"0.359008923486"
"E06000004",158010,"Married or in a registered civil partnership; measures: Value",71993,"0.455623061832"
"E06000004",158010,"Married or in a registered civil partnership: Married; measures: Value",71774,"0.454237073603"
"E06000004",158010,"Married or in a registered civil partnership: Married: Opposite sex; measures: Value",71397,"0.451851148661"
"E06000004",158010,"Married or in a registered civil partnership: Married: Same sex; measures: Value",377,"0.002385924941"
"E06000004",158010,"Married or in a registered civil partnership: In a registered civil partnership; measures: Value",219,"0.001385988229"
"E06000004",158010,"Married or in a registered civil partnership: In a registered civil partnership: Opposite sex; measures: Value",74,"0.000468324790"
"E06000004",158010,"Married or in a registered civil partnership: In a registered civil partnership: Same sex; measures: Value",145,"0.000917663439"
"E06000004",158010,"Separated, but still legally married or still legally in a civil partnership; measures: Value",3975,"0.025156635656"
"E06000004",158010,"Separated, but still legally married or still legally in a civil partnership: Separated, but still married; measures: Value",3951,"0.025004746535"
"E06000004",158010,"Separated, but still legally married or still legally in a civil partnership: Separated, but still in a registered civil partnership; measures: Value",24,"0.000151889121"
"E06000004",158010,"Divorced or civil partnership dissolved; measures: Value",14968,"0.094728181761"
"E06000004",158010,"Divorced or civil partnership dissolved: Divorced; measures: Value",14942,"0.094563635213"
"E06000004",158010,"Divorced or civil partnership dissolved: Formerly in a civil partnership now legally dissolved; measures: Value",26,"0.000164546548"
"E06000004",158010,"Widowed or surviving civil partnership partner; measures: Value",10347,"0.065483197266"
"E06000004",158010,"Widowed or surviving civil partnership partner: Widowed; measures: Value",10341,"0.065445224986"
"E06000004",158010,"Widowed or surviving civil partnership partner: Surviving partner from civil partnership; measures: Value",6,"0.000037972280"
"E06000005",88105,"Never married and never registered a civil partnership; measures: Value",31247,"0.354656375915"
"E06000005",88105,"Married or in a registered civil partnership; measures: Value",38963,"0.442233698428"
"E06000005",88105,"Married or in a registered civil partnership: Married; measures: Value",38842,"0.440860337098"
"E06000005",88105,"Married or in a registered civil partnership: Married: Opposite sex; measures: Value",38603,"0.438147664718"
"E06000005",88105,"Married or in a registered civil partnership: Married: Same sex; measures: Value",239,"0.002712672380"
"E06000005",88105,"Married or in a registered civil partnership: In a registered civil partnership; measures: Value",121,"0.001373361330"
"E06000005",88105,"Married or in a registered civil partnership: In a registered civil partnership: Opposite sex; measures: Value",30,"0.000340502809"
"E06000005",88105,"Married or in a registered civil partnership: In a registered civil partnership: Same sex; measures: Value",91,"0.001032858521"
"E06000005",88105,"Separated, but still legally married or still legally in a civil partnership; measures: Value",2409,"0.027342375575"
"E06000005",88105,"Separated, but still legally married or still legally in a civil partnership: Separated, but still married; measures: Value",2400,"0.027240224732"
"E06000005",88105,"Separated, but still legally married or still legally in a civil partnership: Separated, but still in a registered civil partnership; measures: Value",9,"0.000102150843"
"E06000005",88105,"Divorced or civil partnership dissolved; measures: Value",9473,"0.107519437035"
"E06000005",88105,"Divorced or civil partnership dissolved: Divorced; measures: Value",9447,"0.107224334601"
"E06000005",88105,"Divorced or civil partnership dissolved: Formerly in a civil partnership now legally dissolved; measures: Value",26,"0.000295102435"
"E06000005",88105,"Widowed or surviving civil partnership partner; measures: Value",6013,"0.068248113047"
"E06000005",88105,"Widowed or surviving civil partnership partner: Widowed; measures: Value",6002,"0.068123262017"
"E06000005",88105,"Widowed or surviving civil partnership partner: Surviving partner from civil partnership; measures: Value",11,"0.000124851030"
"E06000047",433959,"Never married and never registered a civil partnership; measures: Value",160142,"0.369025645280"
"E06000047",433959,"Married or in a registered civil partnership; measures: Value",188422,"0.434193091974"
"E06000047",433959,"Married or in a registered civil partnership: Married; measures: Value",187773,"0.432697558986"
"E06000047",433959,"Married or in a registered civil partnership: Married: Opposite sex; measures: Value",186775,"0.430397802557"
"E06000047",433959,"Married or in a registered civil partnership: Married: Same sex; measures: Value",998,"0.002299756429"
"E06000047",433959,"Married or in a registered civil partnership: In a registered civil partnership; measures: Value",649,"0.001495532988"
"E06000047",433959,"Married or in a registered civil partnership: In a registered civil partnership: Opposite sex; measures: Value",209,"0.000481612318"
"E06000047",433959,"Married or in a registered civil partnership: In a registered civil partnership: Same sex; measures: Value",440,"0.001013920670"
"E06000047",433959,"Separated, but still legally married or still legally in a civil partnership; measures: Value",10909,"0.025138319519"
"E06000047",433959,"Separated, but still legally married or still legally in a civil partnership: Separated, but still married; measures: Value",10846,"0.024993144514"
"E06000047",433959,"Separated, but still legally married or still legally in a civil partnership: Separated, but still in a registered civil partnership; measures: Value",63,"0.000145175005"
"E06000047",433959,"Divorced or civil partnership dissolved; measures: Value",43446,"0.100115448694"
"E06000047",433959,"Divorced or civil partnership dissolved: Divorced; measures: Value",43357,"0.099910360195"
"E06000047",433959,"Divorced or civil partnership dissolved: Formerly in a civil partnership now legally dissolved; measures: Value",89,"0.000205088499"
"E06000047",433959,"Widowed or surviving civil partnership partner; measures: Value",31040,"0.071527494533"
