"stp20_nhs_code","date","year","month","completed","incomplete","new"
"QE1",2020-04-01,2020,"Apr",14922,134220,14582
"QF7",2020-04-01,2020,"Apr",20076,121868,15117
"QGH",2020-04-01,2020,"Apr",4861,64389,8540
"QH8",2020-04-01,2020,"Apr",14793,98360,6683
"QHG",2020-04-01,2020,"Apr",5996,76845,7578
"QHL",2020-04-01,2020,"Apr",11183,145018,13186
"QHM",2020-04-01,2020,"Apr",38576,264118,27545
"QJ2",2020-04-01,2020,"Apr",7791,85230,7006
"QJG",2020-04-01,2020,"Apr",6290,85379,6022
"QJK",2020-04-01,2020,"Apr",13408,120932,16407
"QJM",2020-04-01,2020,"Apr",5129,44164,5205
"QK1",2020-04-01,2020,"Apr",7710,84044,8599
"QKK",2020-04-01,2020,"Apr",28413,212772,27995
"QKS",2020-04-01,2020,"Apr",15789,140899,13030
"QM7",2020-04-01,2020,"Apr",13844,100687,11087
"QMF",2020-04-01,2020,"Apr",13778,170095,13029
"QMJ",2020-04-01,2020,"Apr",13885,127734,12814
"QMM",2020-04-01,2020,"Apr",7315,91890,5838
"QNC",2020-04-01,2020,"Apr",7083,57836,4643
"QNQ",2020-04-01,2020,"Apr",3955,42899,2405
"QNX",2020-04-01,2020,"Apr",22048,146361,16154
"QOC",2020-04-01,2020,"Apr",4297,47964,7150
"QOP",2020-04-01,2020,"Apr",34557,334502,35016
"QOQ",2020-04-01,2020,"Apr",21285,142200,14761
"QOX",2020-04-01,2020,"Apr",7437,79038,8050
"QPM",2020-04-01,2020,"Apr",5725,49257,5089
"QR1",2020-04-01,2020,"Apr",3924,64248,5946
"QRL",2020-04-01,2020,"Apr",18428,154867,14728
"QRV",2020-04-01,2020,"Apr",35536,198978,19772
"QSL",2020-04-01,2020,"Apr",3876,40349,3298
"QT1",2020-04-01,2020,"Apr",14209,86826,14754
"QT6",2020-04-01,2020,"Apr",4873,34626,3723
"QU9",2020-04-01,2020,"Apr",13784,135893,13388
"QUA",2020-04-01,2020,"Apr",15406,128894,15879
"QUE",2020-04-01,2020,"Apr",6577,49416,5758
"QUY",2020-04-01,2020,"Apr",11182,91481,9746
"QVV",2020-04-01,2020,"Apr",6455,70339,5115
"QWE",2020-04-01,2020,"Apr",18002,128840,14560
"QWO",2020-04-01,2020,"Apr",19070,161126,14053
"QWU",2020-04-01,2020,"Apr",7623,75279,5264
"QXU",2020-04-01,2020,"Apr",15005,83316,9966
"QYG",2020-04-01,2020,"Apr",28083,235024,24268
"QE1",2020-05-01,2020,"May",14976,130454,17552
"QF7",2020-05-01,2020,"May",17407,118904,19418
"QGH",2020-05-01,2020,"May",4876,64277,7015
"QH8",2020-05-01,2020,"May",11296,114385,12712
"QHG",2020-05-01,2020,"May",7499,77557,11774
"QHL",2020-05-01,2020,"May",13860,142397,16722
"QHM",2020-05-01,2020,"May",32974,252785,35562
"QJ2",2020-05-01,2020,"May",8285,85403,9760
"QJG",2020-05-01,2020,"May",7322,84806,8976
"QJK",2020-05-01,2020,"May",15573,119483,19370
"QJM",2020-05-01,2020,"May",4646,44980,5741
"QK1",2020-05-01,2020,"May",9597,84630,10464
"QKK",2020-05-01,2020,"May",29269,204465,31552
"QKS",2020-05-01,2020,"May",15620,140661,17964
"QM7",2020-05-01,2020,"May",15183,94985,15982
"QMF",2020-05-01,2020,"May",14541,169481,17395
"QMJ",2020-05-01,2020,"May",14612,125230,14824
"QMM",2020-05-01,2020,"May",10016,92660,12703
"QNC",2020-05-01,2020,"May",6181,54671,5686
"QNQ",2020-05-01,2020,"May",4199,43383,4639
"QNX",2020-05-01,2020,"May",20728,145198,20829
"QOC",2020-05-01,2020,"May",4565,47998,5180
"QOP",2020-05-01,2020,"May",31430,340708,39971
"QOQ",2020-05-01,2020,"May",16503,144010,20744
"QOX",2020-05-01,2020,"May",7831,76923,10415
"QPM",2020-05-01,2020,"May",4636,47768,6749
"QR1",2020-05-01,2020,"May",4513,63081,7817
"QRL",2020-05-01,2020,"May",19794,152316,18512
"QRV",2020-05-01,2020,"May",31834,179904,24038
"QSL",2020-05-01,2020,"May",3628,39544,4301
"QT1",2020-05-01,2020,"May",14355,87175,15730
"QT6",2020-05-01,2020,"May",5649,35419,6785
"QU9",2020-05-01,2020,"May",13030,124755,15685
"QUA",2020-05-01,2020,"May",18321,125016,21039
"QUE",2020-05-01,2020,"May",6680,48339,6636
