"month","type_of_wait","count"
2007-08-01,"No. within 18 weeks",2395656
2007-08-01,"No. > 18 weeks",1791318
2007-08-01,"No. > 52 weeks",578682
2007-08-01,"Total waiting",4186974
2007-09-01,"No. within 18 weeks",2364349
2007-09-01,"No. > 18 weeks",1633202
2007-09-01,"No. > 52 weeks",401725
2007-09-01,"Total waiting",3997551
2007-10-01,"No. within 18 weeks",2337604
2007-10-01,"No. > 18 weeks",1602217
2007-10-01,"No. > 52 weeks",387161
2007-10-01,"Total waiting",3939821
2007-11-01,"No. within 18 weeks",2269968
2007-11-01,"No. > 18 weeks",1651994
2007-11-01,"No. > 52 weeks",415215
2007-11-01,"Total waiting",3921962
2007-12-01,"No. within 18 weeks",2173205
2007-12-01,"No. > 18 weeks",1680631
2007-12-01,"No. > 52 weeks",434180
2007-12-01,"Total waiting",3853836
2008-01-01,"No. within 18 weeks",2151167
2008-01-01,"No. > 18 weeks",1359270
2008-01-01,"No. > 52 weeks",306034
2008-01-01,"Total waiting",3510437
2008-02-01,"No. within 18 weeks",2024628
2008-02-01,"No. > 18 weeks",1091445
2008-02-01,"No. > 52 weeks",253955
2008-02-01,"Total waiting",3116073
2008-03-01,"No. within 18 weeks",2017806
2008-03-01,"No. > 18 weeks",1038904
2008-03-01,"No. > 52 weeks",240689
2008-03-01,"Total waiting",3056710
2008-04-01,"No. within 18 weeks",2041274
2008-04-01,"No. > 18 weeks",898996
2008-04-01,"No. > 52 weeks",225860
2008-04-01,"Total waiting",2940270
2008-05-01,"No. within 18 weeks",2103566
2008-05-01,"No. > 18 weeks",768383
2008-05-01,"No. > 52 weeks",187394
2008-05-01,"Total waiting",2871949
2008-06-01,"No. within 18 weeks",2126177
2008-06-01,"No. > 18 weeks",617159
2008-06-01,"No. > 52 weeks",149029
2008-06-01,"Total waiting",2743336
2008-07-01,"No. within 18 weeks",2142703
2008-07-01,"No. > 18 weeks",498941
2008-07-01,"No. > 52 weeks",118801
2008-07-01,"Total waiting",2641644
2008-08-01,"No. within 18 weeks",2155168
2008-08-01,"No. > 18 weeks",520564
2008-08-01,"No. > 52 weeks",140727
2008-08-01,"Total waiting",2675732
2008-09-01,"No. within 18 weeks",2162608
2008-09-01,"No. > 18 weeks",470983
2008-09-01,"No. > 52 weeks",144213
2008-09-01,"Total waiting",2633591
2008-10-01,"No. within 18 weeks",2104538
2008-10-01,"No. > 18 weeks",370308
2008-10-01,"No. > 52 weeks",83601
2008-10-01,"Total waiting",2474846
2008-11-01,"No. within 18 weeks",2082990
2008-11-01,"No. > 18 weeks",349768
2008-11-01,"No. > 52 weeks",93080
2008-11-01,"Total waiting",2432758
2008-12-01,"No. within 18 weeks",1998655
2008-12-01,"No. > 18 weeks",347077
2008-12-01,"No. > 52 weeks",79418
2008-12-01,"Total waiting",2345732
2009-01-01,"No. within 18 weeks",1969144
2009-01-01,"No. > 18 weeks",334161
2009-01-01,"No. > 52 weeks",82232
2009-01-01,"Total waiting",2303305
2009-02-01,"No. within 18 weeks",2013965
2009-02-01,"No. > 18 weeks",296357
2009-02-01,"No. > 52 weeks",50678
2009-02-01,"Total waiting",2310322
2009-03-01,"No. within 18 weeks",2067346
2009-03-01,"No. > 18 weeks",293107
2009-03-01,"No. > 52 weeks",47013
2009-03-01,"Total waiting",2360453
2009-04-01,"No. within 18 weeks",2167437
2009-04-01,"No. > 18 weeks",250509
2009-04-01,"No. > 52 weeks",31800
2009-04-01,"Total waiting",2417946
2009-05-01,"No. within 18 weeks",2194642
2009-05-01,"No. > 18 weeks",250259
2009-05-01,"No. > 52 weeks",31065
2009-05-01,"Total waiting",2444901
2009-06-01,"No. within 18 weeks",2246375
2009-06-01,"No. > 18 weeks",236316
2009-06-01,"No. > 52 weeks",31628
2009-06-01,"Total waiting",2482691
2009-07-01,"No. within 18 weeks",2241908
2009-07-01,"No. > 18 weeks",239658
2009-07-01,"No. > 52 weeks",32563
2009-07-01,"Total waiting",2481566
2009-08-01,"No. within 18 weeks",2218857
2009-08-01,"No. > 18 weeks",241092
2009-08-01,"No. > 52 weeks",31608
2009-08-01,"Total waiting",2459949
2009-09-01,"No. within 18 weeks",2191974
2009-09-01,"No. > 18 weeks",236718
2009-09-01,"No. > 52 weeks",31756
2009-09-01,"Total waiting",2428692
2009-10-01,"No. within 18 weeks",2147615
2009-10-01,"No. > 18 weeks",228745
2009-10-01,"No. > 52 weeks",23388
2009-10-01,"Total waiting",2376360
2009-11-01,"No. within 18 weeks",2114966
2009-11-01,"No. > 18 weeks",222609
2009-11-01,"No. > 52 weeks",21619
2009-11-01,"Total waiting",2337575
2009-12-01,"No. within 18 weeks",2128078
2009-12-01,"No. > 18 weeks",237238
2009-12-01,"No. > 52 weeks",20792
2009-12-01,"Total waiting",2365316
2010-01-01,"No. within 18 weeks",2075443
2010-01-01,"No. > 18 weeks",239617
2010-01-01,"No. > 52 weeks",20737
2010-01-01,"Total waiting",2315060
2010-02-01,"No. within 18 weeks",2109462
2010-02-01,"No. > 18 weeks",227636
2010-02-01,"No. > 52 weeks",18681
2010-02-01,"Total waiting",2337098
2010-03-01,"No. within 18 weeks",2205542
2010-03-01,"No. > 18 weeks",214983
2010-03-01,"No. > 52 weeks",18494
2010-03-01,"Total waiting",2420525
2010-04-01,"No. within 18 weeks",2290852
2010-04-01,"No. > 18 weeks",217643
2010-04-01,"No. > 52 weeks",21098
