"nhs_region20_name","date","year","month","treatment","waits_over_18_weeks","waits_over_52_weeks"
"East of England",2019-10-01,2019,"Oct","Cardiology",4472,15
"East of England",2019-10-01,2019,"Oct","Cardiothoracic Surgery",505,0
"East of England",2019-10-01,2019,"Oct","Dermatology",9124,18
"East of England",2019-10-01,2019,"Oct","Ear, Nose & Throat (ENT)",9287,19
"East of England",2019-10-01,2019,"Oct","Gastroenterology",4422,27
"East of England",2019-10-01,2019,"Oct","General Medicine",783,7
"East of England",2019-10-01,2019,"Oct","General Surgery",11239,48
"East of England",2019-10-01,2019,"Oct","Geriatric Medicine",181,0
"East of England",2019-10-01,2019,"Oct","Gynaecology",8331,19
"East of England",2019-10-01,2019,"Oct","Neurology",3172,1
"East of England",2019-10-01,2019,"Oct","Neurosurgery",183,0
"East of England",2019-10-01,2019,"Oct","Ophthalmology",13989,21
"East of England",2019-10-01,2019,"Oct","Oral Surgery",7713,30
"East of England",2019-10-01,2019,"Oct","Other",16719,27
"East of England",2019-10-01,2019,"Oct","Plastic Surgery",2033,3
"East of England",2019-10-01,2019,"Oct","Rheumatology",1789,1
"East of England",2019-10-01,2019,"Oct","Thoracic Medicine",2205,5
"East of England",2019-10-01,2019,"Oct","Total",129783,415
"East of England",2019-10-01,2019,"Oct","Trauma & Orthopaedics",23464,97
"East of England",2019-10-01,2019,"Oct","Urology",10172,77
"London",2019-10-01,2019,"Oct","Cardiology",8138,20
"London",2019-10-01,2019,"Oct","Cardiothoracic Surgery",413,1
"London",2019-10-01,2019,"Oct","Dermatology",7374,18
"London",2019-10-01,2019,"Oct","Ear, Nose & Throat (ENT)",17871,40
"London",2019-10-01,2019,"Oct","Gastroenterology",7560,52
"London",2019-10-01,2019,"Oct","General Medicine",705,3
"London",2019-10-01,2019,"Oct","General Surgery",17593,172
"London",2019-10-01,2019,"Oct","Geriatric Medicine",167,2
"London",2019-10-01,2019,"Oct","Gynaecology",14630,76
"London",2019-10-01,2019,"Oct","Neurology",6440,4
"London",2019-10-01,2019,"Oct","Neurosurgery",3219,18
"London",2019-10-01,2019,"Oct","Ophthalmology",14440,109
"London",2019-10-01,2019,"Oct","Oral Surgery",9775,34
"London",2019-10-01,2019,"Oct","Other",55953,431
"London",2019-10-01,2019,"Oct","Plastic Surgery",3090,16
"London",2019-10-01,2019,"Oct","Rheumatology",3483,7
"London",2019-10-01,2019,"Oct","Thoracic Medicine",3080,17
"London",2019-10-01,2019,"Oct","Total",208697,1401
"London",2019-10-01,2019,"Oct","Trauma & Orthopaedics",24614,363
"London",2019-10-01,2019,"Oct","Urology",10152,18
"Midlands",2019-10-01,2019,"Oct","Cardiology",8302,4
"Midlands",2019-10-01,2019,"Oct","Cardiothoracic Surgery",246,0
"Midlands",2019-10-01,2019,"Oct","Dermatology",9414,2
"Midlands",2019-10-01,2019,"Oct","Ear, Nose & Throat (ENT)",15438,5
"Midlands",2019-10-01,2019,"Oct","Gastroenterology",7186,2
"Midlands",2019-10-01,2019,"Oct","General Medicine",708,1
"Midlands",2019-10-01,2019,"Oct","General Surgery",16899,13
"Midlands",2019-10-01,2019,"Oct","Geriatric Medicine",272,0
"Midlands",2019-10-01,2019,"Oct","Gynaecology",10366,7
"Midlands",2019-10-01,2019,"Oct","Neurology",7287,0
"Midlands",2019-10-01,2019,"Oct","Neurosurgery",2450,0
"Midlands",2019-10-01,2019,"Oct","Ophthalmology",25094,13
"Midlands",2019-10-01,2019,"Oct","Oral Surgery",9944,2
"Midlands",2019-10-01,2019,"Oct","Other",32192,27
"Midlands",2019-10-01,2019,"Oct","Plastic Surgery",2068,1
"Midlands",2019-10-01,2019,"Oct","Rheumatology",3038,1
"Midlands",2019-10-01,2019,"Oct","Thoracic Medicine",4623,1
"Midlands",2019-10-01,2019,"Oct","Total",198645,404
"Midlands",2019-10-01,2019,"Oct","Trauma & Orthopaedics",29204,314
"Midlands",2019-10-01,2019,"Oct","Urology",13914,11
"North East and Yorkshire",2019-10-01,2019,"Oct","Cardiology",6476,4
"North East and Yorkshire",2019-10-01,2019,"Oct","Cardiothoracic Surgery",312,0
"North East and Yorkshire",2019-10-01,2019,"Oct","Dermatology",5221,7
"North East and Yorkshire",2019-10-01,2019,"Oct","Ear, Nose & Throat (ENT)",15837,37
"North East and Yorkshire",2019-10-01,2019,"Oct","Gastroenterology",4220,16
"North East and Yorkshire",2019-10-01,2019,"Oct","General Medicine",1196,5
"North East and Yorkshire",2019-10-01,2019,"Oct","General Surgery",13829,31
"North East and Yorkshire",2019-10-01,2019,"Oct","Geriatric Medicine",317,0
"North East and Yorkshire",2019-10-01,2019,"Oct","Gynaecology",8971,35
"North East and Yorkshire",2019-10-01,2019,"Oct","Neurology",4282,0
"North East and Yorkshire",2019-10-01,2019,"Oct","Neurosurgery",1013,11
"North East and Yorkshire",2019-10-01,2019,"Oct","Ophthalmology",22130,18
"North East and Yorkshire",2019-10-01,2019,"Oct","Oral Surgery",7404,9
"North East and Yorkshire",2019-10-01,2019,"Oct","Other",27112,39
"North East and Yorkshire",2019-10-01,2019,"Oct","Plastic Surgery",6041,30
"North East and Yorkshire",2019-10-01,2019,"Oct","Rheumatology",2952,0
"North East and Yorkshire",2019-10-01,2019,"Oct","Thoracic Medicine",2857,0
"North East and Yorkshire",2019-10-01,2019,"Oct","Total",169490,373
"North East and Yorkshire",2019-10-01,2019,"Oct","Trauma & Orthopaedics",29210,128
"North East and Yorkshire",2019-10-01,2019,"Oct","Urology",10110,3
"North West",2019-10-01,2019,"Oct","Cardiology",4982,4
"North West",2019-10-01,2019,"Oct","Cardiothoracic Surgery",833,1
"North West",2019-10-01,2019,"Oct","Dermatology",6946,3
"North West",2019-10-01,2019,"Oct","Ear, Nose & Throat (ENT)",11827,21
"North West",2019-10-01,2019,"Oct","Gastroenterology",6307,5
"North West",2019-10-01,2019,"Oct","General Medicine",2232,0
"North West",2019-10-01,2019,"Oct","General Surgery",16388,35
"North West",2019-10-01,2019,"Oct","Geriatric Medicine",189,0
"North West",2019-10-01,2019,"Oct","Gynaecology",11807,23
"North West",2019-10-01,2019,"Oct","Neurology",4732,2
"North West",2019-10-01,2019,"Oct","Neurosurgery",2741,2
"North West",2019-10-01,2019,"Oct","Ophthalmology",17695,14
"North West",2019-10-01,2019,"Oct","Oral Surgery",12693,29
"North West",2019-10-01,2019,"Oct","Other",29175,304
"North West",2019-10-01,2019,"Oct","Plastic Surgery",4377,13
"North West",2019-10-01,2019,"Oct","Rheumatology",2215,2
"North West",2019-10-01,2019,"Oct","Thoracic Medicine",2153,5
"North West",2019-10-01,2019,"Oct","Total",168529,494
"North West",2019-10-01,2019,"Oct","Trauma & Orthopaedics",21937,10
"North West",2019-10-01,2019,"Oct","Urology",9300,21
"South East",2019-10-01,2019,"Oct","Cardiology",10824,0
"South East",2019-10-01,2019,"Oct","Cardiothoracic Surgery",308,0
"South East",2019-10-01,2019,"Oct","Dermatology",11972,4
"South East",2019-10-01,2019,"Oct","Ear, Nose & Throat (ENT)",38874,62
"South East",2019-10-01,2019,"Oct","Gastroenterology",16596,54
"South East",2019-10-01,2019,"Oct","General Medicine",1140,0
"South East",2019-10-01,2019,"Oct","General Surgery",31208,284
"South East",2019-10-01,2019,"Oct","Geriatric Medicine",424,0
"South East",2019-10-01,2019,"Oct","Gynaecology",22710,38
"South East",2019-10-01,2019,"Oct","Neurology",11014,52
"South East",2019-10-01,2019,"Oct","Neurosurgery",2538,30
"South East",2019-10-01,2019,"Oct","Ophthalmology",56792,90
