"stp20_nhs_code","stp20_name","date","year","month","treatment","waits_over_18_weeks","waits_over_52_weeks"
"QE1","HEALTHIER LANCASHIRE AND SOUTH CUMBRIA",2020-04-01,2020,"Apr","Cardiology",1154,1
"QE1","HEALTHIER LANCASHIRE AND SOUTH CUMBRIA",2020-04-01,2020,"Apr","Cardiothoracic Surgery",321,3
"QE1","HEALTHIER LANCASHIRE AND SOUTH CUMBRIA",2020-04-01,2020,"Apr","Dermatology",1516,1
"QE1","HEALTHIER LANCASHIRE AND SOUTH CUMBRIA",2020-04-01,2020,"Apr","Ear, Nose & Throat (ENT)",3273,40
"QE1","HEALTHIER LANCASHIRE AND SOUTH CUMBRIA",2020-04-01,2020,"Apr","Gastroenterology",1482,4
"QE1","HEALTHIER LANCASHIRE AND SOUTH CUMBRIA",2020-04-01,2020,"Apr","General Medicine",937,6
"QE1","HEALTHIER LANCASHIRE AND SOUTH CUMBRIA",2020-04-01,2020,"Apr","General Surgery",6063,160
"QE1","HEALTHIER LANCASHIRE AND SOUTH CUMBRIA",2020-04-01,2020,"Apr","Geriatric Medicine",33,0
"QE1","HEALTHIER LANCASHIRE AND SOUTH CUMBRIA",2020-04-01,2020,"Apr","Gynaecology",1899,34
"QE1","HEALTHIER LANCASHIRE AND SOUTH CUMBRIA",2020-04-01,2020,"Apr","Neurology",2645,6
"QE1","HEALTHIER LANCASHIRE AND SOUTH CUMBRIA",2020-04-01,2020,"Apr","Neurosurgery",946,10
"QE1","HEALTHIER LANCASHIRE AND SOUTH CUMBRIA",2020-04-01,2020,"Apr","Ophthalmology",6302,14
"QE1","HEALTHIER LANCASHIRE AND SOUTH CUMBRIA",2020-04-01,2020,"Apr","Oral Surgery",5300,58
"QE1","HEALTHIER LANCASHIRE AND SOUTH CUMBRIA",2020-04-01,2020,"Apr","Other",3715,23
"QE1","HEALTHIER LANCASHIRE AND SOUTH CUMBRIA",2020-04-01,2020,"Apr","Plastic Surgery",1268,46
"QE1","HEALTHIER LANCASHIRE AND SOUTH CUMBRIA",2020-04-01,2020,"Apr","Rheumatology",175,0
"QE1","HEALTHIER LANCASHIRE AND SOUTH CUMBRIA",2020-04-01,2020,"Apr","Thoracic Medicine",263,0
"QE1","HEALTHIER LANCASHIRE AND SOUTH CUMBRIA",2020-04-01,2020,"Apr","Total",47435,555
"QE1","HEALTHIER LANCASHIRE AND SOUTH CUMBRIA",2020-04-01,2020,"Apr","Trauma & Orthopaedics",7831,130
"QE1","HEALTHIER LANCASHIRE AND SOUTH CUMBRIA",2020-04-01,2020,"Apr","Urology",2312,19
"QF7","SOUTH YORKSHIRE AND BASSETLAW STP",2020-04-01,2020,"Apr","Cardiology",1003,0
"QF7","SOUTH YORKSHIRE AND BASSETLAW STP",2020-04-01,2020,"Apr","Cardiothoracic Surgery",53,0
"QF7","SOUTH YORKSHIRE AND BASSETLAW STP",2020-04-01,2020,"Apr","Dermatology",600,0
"QF7","SOUTH YORKSHIRE AND BASSETLAW STP",2020-04-01,2020,"Apr","Ear, Nose & Throat (ENT)",1690,5
"QF7","SOUTH YORKSHIRE AND BASSETLAW STP",2020-04-01,2020,"Apr","Gastroenterology",173,0
"QF7","SOUTH YORKSHIRE AND BASSETLAW STP",2020-04-01,2020,"Apr","General Medicine",238,0
"QF7","SOUTH YORKSHIRE AND BASSETLAW STP",2020-04-01,2020,"Apr","General Surgery",1875,8
"QF7","SOUTH YORKSHIRE AND BASSETLAW STP",2020-04-01,2020,"Apr","Geriatric Medicine",52,0
"QF7","SOUTH YORKSHIRE AND BASSETLAW STP",2020-04-01,2020,"Apr","Gynaecology",1401,0
"QF7","SOUTH YORKSHIRE AND BASSETLAW STP",2020-04-01,2020,"Apr","Neurology",1193,0
"QF7","SOUTH YORKSHIRE AND BASSETLAW STP",2020-04-01,2020,"Apr","Neurosurgery",473,0
"QF7","SOUTH YORKSHIRE AND BASSETLAW STP",2020-04-01,2020,"Apr","Ophthalmology",2208,2
"QF7","SOUTH YORKSHIRE AND BASSETLAW STP",2020-04-01,2020,"Apr","Oral Surgery",2120,6
"QF7","SOUTH YORKSHIRE AND BASSETLAW STP",2020-04-01,2020,"Apr","Other",6801,13
"QF7","SOUTH YORKSHIRE AND BASSETLAW STP",2020-04-01,2020,"Apr","Plastic Surgery",300,0
"QF7","SOUTH YORKSHIRE AND BASSETLAW STP",2020-04-01,2020,"Apr","Rheumatology",376,0
"QF7","SOUTH YORKSHIRE AND BASSETLAW STP",2020-04-01,2020,"Apr","Thoracic Medicine",559,0
"QF7","SOUTH YORKSHIRE AND BASSETLAW STP",2020-04-01,2020,"Apr","Total",28188,47
"QF7","SOUTH YORKSHIRE AND BASSETLAW STP",2020-04-01,2020,"Apr","Trauma & Orthopaedics",6191,9
"QF7","SOUTH YORKSHIRE AND BASSETLAW STP",2020-04-01,2020,"Apr","Urology",882,4
"QGH","HEREFORDSHIRE AND WORCESTERSHIRE STP",2020-04-01,2020,"Apr","Cardiology",628,1
"QGH","HEREFORDSHIRE AND WORCESTERSHIRE STP",2020-04-01,2020,"Apr","Cardiothoracic Surgery",1,0
"QGH","HEREFORDSHIRE AND WORCESTERSHIRE STP",2020-04-01,2020,"Apr","Dermatology",1435,0
"QGH","HEREFORDSHIRE AND WORCESTERSHIRE STP",2020-04-01,2020,"Apr","Ear, Nose & Throat (ENT)",1478,8
"QGH","HEREFORDSHIRE AND WORCESTERSHIRE STP",2020-04-01,2020,"Apr","Gastroenterology",683,4
"QGH","HEREFORDSHIRE AND WORCESTERSHIRE STP",2020-04-01,2020,"Apr","General Medicine",36,0
"QGH","HEREFORDSHIRE AND WORCESTERSHIRE STP",2020-04-01,2020,"Apr","General Surgery",1806,7
"QGH","HEREFORDSHIRE AND WORCESTERSHIRE STP",2020-04-01,2020,"Apr","Geriatric Medicine",28,1
"QGH","HEREFORDSHIRE AND WORCESTERSHIRE STP",2020-04-01,2020,"Apr","Gynaecology",2003,2
"QGH","HEREFORDSHIRE AND WORCESTERSHIRE STP",2020-04-01,2020,"Apr","Neurology",387,1
"QGH","HEREFORDSHIRE AND WORCESTERSHIRE STP",2020-04-01,2020,"Apr","Neurosurgery",10,0
"QGH","HEREFORDSHIRE AND WORCESTERSHIRE STP",2020-04-01,2020,"Apr","Ophthalmology",3204,0
"QGH","HEREFORDSHIRE AND WORCESTERSHIRE STP",2020-04-01,2020,"Apr","Oral Surgery",1769,2
"QGH","HEREFORDSHIRE AND WORCESTERSHIRE STP",2020-04-01,2020,"Apr","Other",2477,14
"QGH","HEREFORDSHIRE AND WORCESTERSHIRE STP",2020-04-01,2020,"Apr","Plastic Surgery",144,0
"QGH","HEREFORDSHIRE AND WORCESTERSHIRE STP",2020-04-01,2020,"Apr","Rheumatology",364,0
"QGH","HEREFORDSHIRE AND WORCESTERSHIRE STP",2020-04-01,2020,"Apr","Thoracic Medicine",659,1
"QGH","HEREFORDSHIRE AND WORCESTERSHIRE STP",2020-04-01,2020,"Apr","Total",23188,64
"QGH","HEREFORDSHIRE AND WORCESTERSHIRE STP",2020-04-01,2020,"Apr","Trauma & Orthopaedics",3901,15
"QGH","HEREFORDSHIRE AND WORCESTERSHIRE STP",2020-04-01,2020,"Apr","Urology",2175,8
"QH8","MID AND SOUTH ESSEX STP",2020-04-01,2020,"Apr","Cardiology",2040,19
"QH8","MID AND SOUTH ESSEX STP",2020-04-01,2020,"Apr","Cardiothoracic Surgery",141,1
"QH8","MID AND SOUTH ESSEX STP",2020-04-01,2020,"Apr","Dermatology",3717,35
