"ltla21_code","total_residents","sexual_orientation","n","prop"
"E06000001",74686,"Straight or Heterosexual",68070,"0.911415794"
"E06000001",74686,"Gay or Lesbian",1121,"0.015009506"
"E06000001",74686,"Bisexual",784,"0.010497282"
"E06000001",74686,"All other sexual orientations",157,"0.002102134"
"E06000001",74686,"Not answered",4554,"0.060975283"
"E06000002",113938,"Straight or Heterosexual",102027,"0.895460689"
"E06000002",113938,"Gay or Lesbian",1787,"0.015683968"
"E06000002",113938,"Bisexual",1385,"0.012155734"
"E06000002",113938,"All other sexual orientations",441,"0.003870526"
"E06000002",113938,"Not answered",8298,"0.072829082"
"E06000003",112342,"Straight or Heterosexual",102561,"0.912935501"
"E06000003",112342,"Gay or Lesbian",1492,"0.013280874"
"E06000003",112342,"Bisexual",995,"0.008856883"
"E06000003",112342,"All other sexual orientations",248,"0.002207545"
"E06000003",112342,"Not answered",7046,"0.062719197"
"E06000004",158010,"Straight or Heterosexual",144661,"0.915518005"
"E06000004",158010,"Gay or Lesbian",2283,"0.014448453"
"E06000004",158010,"Bisexual",1471,"0.009309537"
"E06000004",158010,"All other sexual orientations",327,"0.002069489"
"E06000004",158010,"Not answered",9268,"0.058654516"
"E06000005",88106,"Straight or Heterosexual",80549,"0.914228316"
"E06000005",88106,"Gay or Lesbian",1333,"0.015129503"
"E06000005",88106,"Bisexual",990,"0.011236465"
"E06000005",88106,"All other sexual orientations",224,"0.002542392"
"E06000005",88106,"Not answered",5010,"0.056863324"
"E06000006",103946,"Straight or Heterosexual",95532,"0.919054124"
"E06000006",103946,"Gay or Lesbian",1555,"0.014959691"
"E06000006",103946,"Bisexual",976,"0.009389491"
"E06000006",103946,"All other sexual orientations",207,"0.001991419"
"E06000006",103946,"Not answered",5676,"0.054605276"
"E06000007",172719,"Straight or Heterosexual",158539,"0.917901331"
"E06000007",172719,"Gay or Lesbian",2254,"0.013050099"
"E06000007",172719,"Bisexual",1704,"0.009865736"
"E06000007",172719,"All other sexual orientations",390,"0.002258003"
"E06000007",172719,"Not answered",9832,"0.056924832"
"E06000008",119508,"Straight or Heterosexual",107093,"0.896115741"
"E06000008",119508,"Gay or Lesbian",1221,"0.010216889"
"E06000008",119508,"Bisexual",981,"0.008208655"
"E06000008",119508,"All other sexual orientations",321,"0.002686013"
"E06000008",119508,"Not answered",9892,"0.082772701"
"E06000009",116339,"Straight or Heterosexual",102898,"0.884466946"
