"sicbl22_code","date","name","value"
"E38000130","July 2022","Count_ReferralsReceived","560"
"E38000130","July 2022","Count_AccessingServices","455"
"E38000130","July 2022","Percentage_AccessingServices6WeeksFinishedCourseTreatment","55"
"E38000130","July 2022","Percentage_AccessingServices18WeeksFinishedCourseTreatment","99"
"E38000130","July 2022","Count_EndedReferrals","615"
"E38000130","July 2022","Count_FinishedCourseTreatment","265"
"E38000130","July 2022","Percentage_Deterioration","8"
"E38000130","July 2022","Percentage_Improvement","67"
"E38000130","July 2022","Count_Deterioration","20"
"E38000130","July 2022","Percentage_Recovery","49"
"E38000130","July 2022","Percentage_ReliableRecovery","46"
"E38000163","July 2022","Count_ReferralsReceived","380"
"E38000163","July 2022","Count_AccessingServices","260"
"E38000163","July 2022","Percentage_AccessingServices6WeeksFinishedCourseTreatment","92"
"E38000163","July 2022","Percentage_AccessingServices18WeeksFinishedCourseTreatment","100"
"E38000163","July 2022","Count_EndedReferrals","510"
"E38000163","July 2022","Count_FinishedCourseTreatment","240"
"E38000163","July 2022","Percentage_Deterioration","4"
"E38000163","July 2022","Percentage_Improvement","73"
"E38000163","July 2022","Count_Deterioration","10"
"E38000163","July 2022","Percentage_Recovery","53"
"E38000163","July 2022","Percentage_ReliableRecovery","51"
"E38000176","July 2022","Count_ReferralsReceived","715"
"E38000176","July 2022","Count_AccessingServices","580"
"E38000176","July 2022","Percentage_AccessingServices6WeeksFinishedCourseTreatment","98"
"E38000176","July 2022","Percentage_AccessingServices18WeeksFinishedCourseTreatment","99"
"E38000176","July 2022","Count_EndedReferrals","800"
"E38000176","July 2022","Count_FinishedCourseTreatment","195"
"E38000176","July 2022","Percentage_Deterioration","6"
"E38000176","July 2022","Percentage_Improvement","67"
"E38000176","July 2022","Count_Deterioration","10"
"E38000176","July 2022","Percentage_Recovery","52"
"E38000176","July 2022","Percentage_ReliableRecovery","49"
"E38000014","July 2022","Count_ReferralsReceived","380"
"E38000014","July 2022","Count_AccessingServices","230"
"E38000014","July 2022","Percentage_AccessingServices6WeeksFinishedCourseTreatment","98"
"E38000014","July 2022","Percentage_AccessingServices18WeeksFinishedCourseTreatment","100"
"E38000014","July 2022","Count_EndedReferrals","335"
"E38000014","July 2022","Count_FinishedCourseTreatment","95"
"E38000014","July 2022","Percentage_Deterioration",NA
"E38000014","July 2022","Percentage_Improvement","61"
"E38000014","July 2022","Count_Deterioration",NA
"E38000014","July 2022","Percentage_Recovery","56"
"E38000014","July 2022","Percentage_ReliableRecovery","53"
"E38000015","July 2022","Count_ReferralsReceived","375"
"E38000015","July 2022","Count_AccessingServices","335"
"E38000015","July 2022","Percentage_AccessingServices6WeeksFinishedCourseTreatment","96"
"E38000015","July 2022","Percentage_AccessingServices18WeeksFinishedCourseTreatment","99"
"E38000015","July 2022","Count_EndedReferrals","380"
"E38000015","July 2022","Count_FinishedCourseTreatment","170"
"E38000015","July 2022","Percentage_Deterioration","7"
"E38000015","July 2022","Percentage_Improvement","71"
"E38000015","July 2022","Count_Deterioration","10"
"E38000015","July 2022","Percentage_Recovery","54"
"E38000015","July 2022","Percentage_ReliableRecovery","53"
"E38000016","July 2022","Count_ReferralsReceived","1385"
"E38000016","July 2022","Count_AccessingServices","840"
"E38000016","July 2022","Percentage_AccessingServices6WeeksFinishedCourseTreatment","73"
"E38000016","July 2022","Percentage_AccessingServices18WeeksFinishedCourseTreatment","91"
"E38000016","July 2022","Count_EndedReferrals","1440"
"E38000016","July 2022","Count_FinishedCourseTreatment","460"
"E38000016","July 2022","Percentage_Deterioration","8"
"E38000016","July 2022","Percentage_Improvement","61"
"E38000016","July 2022","Count_Deterioration","35"
"E38000016","July 2022","Percentage_Recovery","53"
"E38000016","July 2022","Percentage_ReliableRecovery","48"
"E38000024","July 2022","Count_ReferralsReceived","520"
"E38000024","July 2022","Count_AccessingServices","325"
"E38000024","July 2022","Percentage_AccessingServices6WeeksFinishedCourseTreatment","49"
"E38000024","July 2022","Percentage_AccessingServices18WeeksFinishedCourseTreatment","94"
"E38000024","July 2022","Count_EndedReferrals","605"
"E38000024","July 2022","Count_FinishedCourseTreatment","195"
"E38000024","July 2022","Percentage_Deterioration","6"
"E38000024","July 2022","Percentage_Improvement","60"
"E38000024","July 2022","Count_Deterioration","10"
"E38000024","July 2022","Percentage_Recovery","46"
"E38000024","July 2022","Percentage_ReliableRecovery","43"
"E38000034","July 2022","Count_ReferralsReceived","415"
"E38000034","July 2022","Count_AccessingServices","220"
"E38000034","July 2022","Percentage_AccessingServices6WeeksFinishedCourseTreatment","58"
"E38000034","July 2022","Percentage_AccessingServices18WeeksFinishedCourseTreatment","100"
"E38000034","July 2022","Count_EndedReferrals","400"
"E38000034","July 2022","Count_FinishedCourseTreatment","125"
"E38000034","July 2022","Percentage_Deterioration","5"
"E38000034","July 2022","Percentage_Improvement","57"
"E38000034","July 2022","Count_Deterioration","5"
"E38000034","July 2022","Percentage_Recovery","48"
"E38000034","July 2022","Percentage_ReliableRecovery","44"
"E38000135","July 2022","Count_ReferralsReceived","790"
"E38000135","July 2022","Count_AccessingServices","370"
"E38000135","July 2022","Percentage_AccessingServices6WeeksFinishedCourseTreatment","45"
"E38000135","July 2022","Percentage_AccessingServices18WeeksFinishedCourseTreatment","99"
"E38000135","July 2022","Count_EndedReferrals","690"
"E38000135","July 2022","Count_FinishedCourseTreatment","155"
"E38000135","July 2022","Percentage_Deterioration","10"
"E38000135","July 2022","Percentage_Improvement","61"
"E38000135","July 2022","Count_Deterioration","15"
"E38000135","July 2022","Percentage_Recovery","44"
"E38000135","July 2022","Percentage_ReliableRecovery","40"
"E38000050","July 2022","Count_ReferralsReceived","860"
"E38000050","July 2022","Count_AccessingServices","520"
"E38000050","July 2022","Percentage_AccessingServices6WeeksFinishedCourseTreatment","92"
"E38000050","July 2022","Percentage_AccessingServices18WeeksFinishedCourseTreatment","100"
"E38000050","July 2022","Count_EndedReferrals","895"
"E38000050","July 2022","Count_FinishedCourseTreatment","295"
"E38000050","July 2022","Percentage_Deterioration","6"
"E38000050","July 2022","Percentage_Improvement","72"
"E38000050","July 2022","Count_Deterioration","15"
"E38000050","July 2022","Percentage_Recovery","59"
"E38000050","July 2022","Percentage_ReliableRecovery","57"
"E38000080","July 2022","Count_ReferralsReceived","550"
"E38000080","July 2022","Count_AccessingServices","315"
"E38000080","July 2022","Percentage_AccessingServices6WeeksFinishedCourseTreatment","78"
"E38000080","July 2022","Percentage_AccessingServices18WeeksFinishedCourseTreatment","95"
"E38000080","July 2022","Count_EndedReferrals","540"
"E38000080","July 2022","Count_FinishedCourseTreatment","185"
"E38000080","July 2022","Percentage_Deterioration","6"
"E38000080","July 2022","Percentage_Improvement","69"
"E38000080","July 2022","Count_Deterioration","10"
"E38000080","July 2022","Percentage_Recovery","51"
"E38000080","July 2022","Percentage_ReliableRecovery","50"
"E38000227","July 2022","Count_ReferralsReceived","485"
"E38000227","July 2022","Count_AccessingServices","370"
"E38000227","July 2022","Percentage_AccessingServices6WeeksFinishedCourseTreatment","75"
"E38000227","July 2022","Percentage_AccessingServices18WeeksFinishedCourseTreatment","98"
"E38000227","July 2022","Count_EndedReferrals","585"
"E38000227","July 2022","Count_FinishedCourseTreatment","130"
"E38000227","July 2022","Percentage_Deterioration","10"
"E38000227","July 2022","Percentage_Improvement","55"
"E38000227","July 2022","Count_Deterioration","15"
"E38000227","July 2022","Percentage_Recovery","40"
"E38000227","July 2022","Percentage_ReliableRecovery","36"
"E38000068","July 2022","Count_ReferralsReceived","325"
"E38000068","July 2022","Count_AccessingServices","235"
"E38000068","July 2022","Percentage_AccessingServices6WeeksFinishedCourseTreatment","99"
"E38000068","July 2022","Percentage_AccessingServices18WeeksFinishedCourseTreatment","100"
"E38000068","July 2022","Count_EndedReferrals","375"
"E38000068","July 2022","Count_FinishedCourseTreatment","140"
"E38000068","July 2022","Percentage_Deterioration",NA
"E38000068","July 2022","Percentage_Improvement","70"
"E38000068","July 2022","Count_Deterioration",NA
"E38000068","July 2022","Percentage_Recovery","51"
"E38000068","July 2022","Percentage_ReliableRecovery","47"
"E38000143","July 2022","Count_ReferralsReceived","1245"
"E38000143","July 2022","Count_AccessingServices","620"
"E38000143","July 2022","Percentage_AccessingServices6WeeksFinishedCourseTreatment","62"
"E38000143","July 2022","Percentage_AccessingServices18WeeksFinishedCourseTreatment","99"
"E38000143","July 2022","Count_EndedReferrals","1305"
"E38000143","July 2022","Count_FinishedCourseTreatment","315"
"E38000143","July 2022","Percentage_Deterioration","7"
"E38000143","July 2022","Percentage_Improvement","60"
"E38000143","July 2022","Count_Deterioration","25"
"E38000143","July 2022","Percentage_Recovery","35"
"E38000143","July 2022","Percentage_ReliableRecovery","34"
"E38000215","July 2022","Count_ReferralsReceived","605"
"E38000215","July 2022","Count_AccessingServices","350"
"E38000215","July 2022","Percentage_AccessingServices6WeeksFinishedCourseTreatment","99"
"E38000215","July 2022","Percentage_AccessingServices18WeeksFinishedCourseTreatment","100"
"E38000215","July 2022","Count_EndedReferrals","675"
"E38000215","July 2022","Count_FinishedCourseTreatment","305"
"E38000215","July 2022","Percentage_Deterioration","4"
"E38000215","July 2022","Percentage_Improvement","74"
"E38000215","July 2022","Count_Deterioration","10"
"E38000215","July 2022","Percentage_Recovery","51"
"E38000215","July 2022","Percentage_ReliableRecovery","50"
"E38000091","July 2022","Count_ReferralsReceived","390"
"E38000091","July 2022","Count_AccessingServices","280"
"E38000091","July 2022","Percentage_AccessingServices6WeeksFinishedCourseTreatment","99"
"E38000091","July 2022","Percentage_AccessingServices18WeeksFinishedCourseTreatment","100"
"E38000091","July 2022","Count_EndedReferrals","410"
"E38000091","July 2022","Count_FinishedCourseTreatment","170"
"E38000091","July 2022","Percentage_Deterioration","7"
"E38000091","July 2022","Percentage_Improvement","60"
"E38000091","July 2022","Count_Deterioration","10"
"E38000091","July 2022","Percentage_Recovery","43"
"E38000091","July 2022","Percentage_ReliableRecovery","39"
"E38000228","July 2022","Count_ReferralsReceived","765"
"E38000228","July 2022","Count_AccessingServices","435"
"E38000228","July 2022","Percentage_AccessingServices6WeeksFinishedCourseTreatment","94"
"E38000228","July 2022","Percentage_AccessingServices18WeeksFinishedCourseTreatment","99"
"E38000228","July 2022","Count_EndedReferrals","835"
"E38000228","July 2022","Count_FinishedCourseTreatment","315"
"E38000228","July 2022","Percentage_Deterioration","4"
"E38000228","July 2022","Percentage_Improvement","68"
"E38000228","July 2022","Count_Deterioration","10"
"E38000228","July 2022","Percentage_Recovery","56"
"E38000228","July 2022","Percentage_ReliableRecovery","51"
"E38000161","July 2022","Count_ReferralsReceived","310"
"E38000161","July 2022","Count_AccessingServices","240"
"E38000161","July 2022","Percentage_AccessingServices6WeeksFinishedCourseTreatment","40"
"E38000161","July 2022","Percentage_AccessingServices18WeeksFinishedCourseTreatment","84"
"E38000161","July 2022","Count_EndedReferrals","305"
"E38000161","July 2022","Count_FinishedCourseTreatment","100"
"E38000161","July 2022","Percentage_Deterioration","5"
"E38000161","July 2022","Percentage_Improvement","60"
"E38000161","July 2022","Count_Deterioration","5"
"E38000161","July 2022","Percentage_Recovery","40"
"E38000161","July 2022","Percentage_ReliableRecovery","38"
"E38000170","July 2022","Count_ReferralsReceived","220"
"E38000170","July 2022","Count_AccessingServices","175"
"E38000170","July 2022","Percentage_AccessingServices6WeeksFinishedCourseTreatment","41"
"E38000170","July 2022","Percentage_AccessingServices18WeeksFinishedCourseTreatment","88"
"E38000170","July 2022","Count_EndedReferrals","185"
"E38000170","July 2022","Count_FinishedCourseTreatment","60"
"E38000170","July 2022","Percentage_Deterioration",NA
"E38000170","July 2022","Percentage_Improvement","67"
"E38000170","July 2022","Count_Deterioration",NA
"E38000170","July 2022","Percentage_Recovery","45"
"E38000170","July 2022","Percentage_ReliableRecovery","43"
"E38000174","July 2022","Count_ReferralsReceived","865"
"E38000174","July 2022","Count_AccessingServices","475"
"E38000174","July 2022","Percentage_AccessingServices6WeeksFinishedCourseTreatment","91"
"E38000174","July 2022","Percentage_AccessingServices18WeeksFinishedCourseTreatment","100"
"E38000174","July 2022","Count_EndedReferrals","1070"
"E38000174","July 2022","Count_FinishedCourseTreatment","285"
"E38000174","July 2022","Percentage_Deterioration","5"
"E38000174","July 2022","Percentage_Improvement","74"
"E38000174","July 2022","Count_Deterioration","15"
"E38000174","July 2022","Percentage_Recovery","54"
"E38000174","July 2022","Percentage_ReliableRecovery","52"
"E38000172","July 2022","Count_ReferralsReceived","515"
"E38000172","July 2022","Count_AccessingServices","410"
"E38000172","July 2022","Percentage_AccessingServices6WeeksFinishedCourseTreatment","100"
"E38000172","July 2022","Percentage_AccessingServices18WeeksFinishedCourseTreatment","100"
"E38000172","July 2022","Count_EndedReferrals","550"
"E38000172","July 2022","Count_FinishedCourseTreatment","230"
"E38000172","July 2022","Percentage_Deterioration","5"
"E38000172","July 2022","Percentage_Improvement","67"
"E38000172","July 2022","Count_Deterioration","10"
"E38000172","July 2022","Percentage_Recovery","50"
"E38000172","July 2022","Percentage_ReliableRecovery","46"
"E38000263","July 2022","Count_ReferralsReceived","660"
"E38000263","July 2022","Count_AccessingServices","465"
"E38000263","July 2022","Percentage_AccessingServices6WeeksFinishedCourseTreatment","81"
"E38000263","July 2022","Percentage_AccessingServices18WeeksFinishedCourseTreatment","100"
"E38000263","July 2022","Count_EndedReferrals","645"
"E38000263","July 2022","Count_FinishedCourseTreatment","175"
"E38000263","July 2022","Percentage_Deterioration","4"
"E38000263","July 2022","Percentage_Improvement","64"
"E38000263","July 2022","Count_Deterioration","5"
"E38000263","July 2022","Percentage_Recovery","50"
"E38000263","July 2022","Percentage_ReliableRecovery","47"
"E38000187","July 2022","Count_ReferralsReceived","785"
"E38000187","July 2022","Count_AccessingServices","545"
"E38000187","July 2022","Percentage_AccessingServices6WeeksFinishedCourseTreatment","79"
"E38000187","July 2022","Percentage_AccessingServices18WeeksFinishedCourseTreatment","99"
"E38000187","July 2022","Count_EndedReferrals","835"
"E38000187","July 2022","Count_FinishedCourseTreatment","245"
"E38000187","July 2022","Percentage_Deterioration","7"
"E38000187","July 2022","Percentage_Improvement","66"
"E38000187","July 2022","Count_Deterioration","15"
"E38000187","July 2022","Percentage_Recovery","53"
"E38000187","July 2022","Percentage_ReliableRecovery","50"
"E38000194","July 2022","Count_ReferralsReceived","435"
"E38000194","July 2022","Count_AccessingServices","315"
"E38000194","July 2022","Percentage_AccessingServices6WeeksFinishedCourseTreatment","52"
"E38000194","July 2022","Percentage_AccessingServices18WeeksFinishedCourseTreatment","100"
"E38000194","July 2022","Count_EndedReferrals","415"
"E38000194","July 2022","Count_FinishedCourseTreatment","130"
"E38000194","July 2022","Percentage_Deterioration","11"
"E38000194","July 2022","Percentage_Improvement","62"
"E38000194","July 2022","Count_Deterioration","15"
"E38000194","July 2022","Percentage_Recovery","49"
"E38000194","July 2022","Percentage_ReliableRecovery","45"
"E38000200","July 2022","Count_ReferralsReceived","285"
"E38000200","July 2022","Count_AccessingServices","200"
"E38000200","July 2022","Percentage_AccessingServices6WeeksFinishedCourseTreatment","100"
"E38000200","July 2022","Percentage_AccessingServices18WeeksFinishedCourseTreatment","100"
"E38000200","July 2022","Count_EndedReferrals","330"
"E38000200","July 2022","Count_FinishedCourseTreatment","85"
"E38000200","July 2022","Percentage_Deterioration","6"
"E38000200","July 2022","Percentage_Improvement","64"
"E38000200","July 2022","Count_Deterioration","5"
"E38000200","July 2022","Percentage_Recovery","56"
"E38000200","July 2022","Percentage_ReliableRecovery","51"
"E38000205","July 2022","Count_ReferralsReceived","940"
"E38000205","July 2022","Count_AccessingServices","615"
"E38000205","July 2022","Percentage_AccessingServices6WeeksFinishedCourseTreatment","96"
"E38000205","July 2022","Percentage_AccessingServices18WeeksFinishedCourseTreatment","99"
"E38000205","July 2022","Count_EndedReferrals","885"
"E38000205","July 2022","Count_FinishedCourseTreatment","440"
"E38000205","July 2022","Percentage_Deterioration","5"
"E38000205","July 2022","Percentage_Improvement","63"
"E38000205","July 2022","Count_Deterioration","25"
"E38000205","July 2022","Percentage_Recovery","45"
"E38000205","July 2022","Percentage_ReliableRecovery","44"
"E38000226","July 2022","Count_ReferralsReceived","365"
"E38000226","July 2022","Count_AccessingServices","215"
"E38000226","July 2022","Percentage_AccessingServices6WeeksFinishedCourseTreatment","87"
"E38000226","July 2022","Percentage_AccessingServices18WeeksFinishedCourseTreatment","99"
"E38000226","July 2022","Count_EndedReferrals","395"
"E38000226","July 2022","Count_FinishedCourseTreatment","130"
"E38000226","July 2022","Percentage_Deterioration","8"
"E38000226","July 2022","Percentage_Improvement","61"
"E38000226","July 2022","Count_Deterioration","10"
"E38000226","July 2022","Percentage_Recovery","55"
"E38000226","July 2022","Percentage_ReliableRecovery","50"
"E38000006","July 2022","Count_ReferralsReceived","560"
"E38000006","July 2022","Count_AccessingServices","420"
"E38000006","July 2022","Percentage_AccessingServices6WeeksFinishedCourseTreatment","95"
"E38000006","July 2022","Percentage_AccessingServices18WeeksFinishedCourseTreatment","100"
"E38000006","July 2022","Count_EndedReferrals","600"
"E38000006","July 2022","Count_FinishedCourseTreatment","190"
"E38000006","July 2022","Percentage_Deterioration","7"
"E38000006","July 2022","Percentage_Improvement","61"
"E38000006","July 2022","Count_Deterioration","15"
"E38000006","July 2022","Percentage_Recovery","51"
"E38000006","July 2022","Percentage_ReliableRecovery","48"
"E38000008","July 2022","Count_ReferralsReceived","255"
"E38000008","July 2022","Count_AccessingServices","190"
"E38000008","July 2022","Percentage_AccessingServices6WeeksFinishedCourseTreatment","98"
"E38000008","July 2022","Percentage_AccessingServices18WeeksFinishedCourseTreatment","100"
"E38000008","July 2022","Count_EndedReferrals","255"
"E38000008","July 2022","Count_FinishedCourseTreatment","115"
"E38000008","July 2022","Percentage_Deterioration","6"
"E38000008","July 2022","Percentage_Improvement","69"
"E38000008","July 2022","Count_Deterioration","5"
"E38000008","July 2022","Percentage_Recovery","52"
"E38000008","July 2022","Percentage_ReliableRecovery","52"
"E38000025","July 2022","Count_ReferralsReceived","495"
"E38000025","July 2022","Count_AccessingServices","480"
"E38000025","July 2022","Percentage_AccessingServices6WeeksFinishedCourseTreatment","90"
"E38000025","July 2022","Percentage_AccessingServices18WeeksFinishedCourseTreatment","100"
"E38000025","July 2022","Count_EndedReferrals","635"
"E38000025","July 2022","Count_FinishedCourseTreatment","220"
