"nhs_trust22_code","total_attendances","attendances_over_4hours","total_emergency_admissions","emergency_admissions_over_4hours","pct_attendance_over_4hours","pct_emergency_admissions_over_4hours","date"
"RC9",17570,NA,6154,0,NA,0,"April 2021"
"RGT",12525,NA,3355,358,NA,0.11,"April 2021"
"RWH",13470,2318,3165,126,0.17,0.04,"April 2021"
"RDE",18614,1759,6473,143,0.09,0.02,"April 2021"
"RY4",808,3,0,0,0,NA,"April 2021"
"RGP",6388,1090,1896,236,0.17,0.12,"April 2021"
"RAJ",30528,3000,10621,333,0.1,0.03,"April 2021"
"RD8",11935,1001,1987,41,0.08,0.02,"April 2021"
"RM1",16611,4588,4606,587,0.28,0.13,"April 2021"
"RGN",14026,2797,5034,219,0.2,0.04,"April 2021"
"RQW",9223,2131,3102,363,0.23,0.12,"April 2021"
"RCX",6121,1097,2886,259,0.18,0.09,"April 2021"
"RWG",13202,1848,3933,376,0.14,0.1,"April 2021"
"RGR",6614,NA,2312,58,NA,0.03,"April 2021"
"RF4",22282,6472,4902,103,0.29,0.02,"April 2021"
"R1H",37432,5436,9348,1929,0.15,0.21,"April 2021"
"RYX",2678,3,0,0,0,NA,"April 2021"
"RQM",23984,NA,2774,212,NA,0.08,"April 2021"
"RJ6",17034,1721,1772,476,0.1,0.27,"April 2021"
"RVR",13068,1103,2121,527,0.08,0.25,"April 2021"
"RJ1",13862,1266,4262,82,0.09,0.02,"April 2021"
"RQX",8594,789,1578,60,0.09,0.04,"April 2021"
"RY9",3143,0,0,0,0,NA,"April 2021"
"RYJ",20513,NA,3648,664,NA,0.18,"April 2021"
"RJZ",22260,4452,4358,1328,0.2,0.3,"April 2021"
"RAX",9404,1312,3050,284,0.14,0.09,"April 2021"
"RJ2",22133,2222,5623,237,0.1,0.04,"April 2021"
"R1K",26061,1531,7853,144,0.06,0.02,"April 2021"
"RP6",4079,2,136,0,0,0,"April 2021"
"RAT",2087,7,0,0,0,NA,"April 2021"
"RAP",15410,2835,2064,826,0.18,0.4,"April 2021"
"RAL",24091,2788,5258,732,0.12,0.14,"April 2021"
"RAN",0,0,28,0,NA,0,"April 2021"
"RJ7",12351,596,3463,58,0.05,0.02,"April 2021"
"RAS",9867,1688,2024,347,0.17,0.17,"April 2021"
"RRV",8794,639,1731,333,0.07,0.19,"April 2021"
"RKE",8861,1078,1510,151,0.12,0.1,"April 2021"
"RQ3",4172,243,952,0,0.06,0,"April 2021"
"RFS",7713,344,3034,55,0.04,0.02,"April 2021"
"RYG",0,0,68,0,NA,0,"April 2021"
"RY8",6521,0,0,0,0,NA,"April 2021"
"RLT",7095,579,1554,97,0.08,0.06,"April 2021"
"RNQ",8103,NA,2385,410,NA,0.17,"April 2021"
"RY5",7307,59,2,0,0.01,0,"April 2021"
"RNS",10264,1387,3411,206,0.14,0.06,"April 2021"
"RX1",16206,NA,7605,535,NA,0.07,"April 2021"
"RXK",18620,2836,3292,303,0.15,0.09,"April 2021"
"RK5",12295,781,3458,54,0.06,0.02,"April 2021"
"R1D",2254,2,10,0,0,0,"April 2021"
"RJC",6360,712,2560,25,0.11,0.01,"April 2021"
"RNA",15500,1830,3203,1290,0.12,0.4,"April 2021"
"RL1",0,0,25,0,NA,0,"April 2021"
"RL4",18591,2533,4292,277,0.14,0.06,"April 2021"
"RXW",12070,2932,4637,747,0.24,0.16,"April 2021"
"RWD",16883,4351,4343,1201,0.26,0.28,"April 2021"
"RRK",32186,9294,14672,2020,0.29,0.14,"April 2021"
"RKB",16549,2286,5384,306,0.14,0.06,"April 2021"
"RTG",25608,6088,6257,475,0.24,0.08,"April 2021"
"RWE",19656,6152,7396,1040,0.31,0.14,"April 2021"
"RJE",21269,4934,7691,539,0.23,0.07,"April 2021"
"RBK",10410,856,3497,195,0.08,0.06,"April 2021"
"RWP",15882,3022,4486,659,0.19,0.15,"April 2021"
"RLQ",5526,1338,1733,173,0.24,0.1,"April 2021"
"RCF",6036,874,1861,0,0.14,0,"April 2021"
"RFF",8361,2039,2738,124,0.24,0.05,"April 2021"
"RAE",11534,1728,3776,675,0.15,0.18,"April 2021"
"RWY",13432,1582,3820,326,0.12,0.09,"April 2021"
"RXP",17547,2105,5712,462,0.12,0.08,"April 2021"
"RP5",15824,2682,4375,649,0.17,0.15,"April 2021"
"RR7",7390,484,1965,90,0.07,0.05,"April 2021"
"RCD",4902,670,1431,8,0.14,0.01,"April 2021"
"RWA",10410,3148,3611,592,0.3,0.16,"April 2021"
"RV9",438,2,0,0,0,NA,"April 2021"
"RR8",25520,4706,4970,1265,0.18,0.25,"April 2021"
"RXF",21713,NA,4231,1354,NA,0.32,"April 2021"
"RNN",8838,1365,2984,191,0.15,0.06,"April 2021"
"RVW",12736,NA,3609,65,NA,0.02,"April 2021"
"RJL",12580,3478,3584,600,0.28,0.17,"April 2021"
"RTF",17333,770,5719,0,0.04,0,"April 2021"
"RCU",3975,77,736,0,0.02,0,"April 2021"
"RHQ",17001,3788,5470,405,0.22,0.07,"April 2021"
"RTR",12939,1766,4062,589,0.14,0.15,"April 2021"
"R0B",19141,1763,5106,77,0.09,0.02,"April 2021"
"RXG",0,0,159,0,NA,0,"April 2021"
