"nhs_trust22_code","date","discharged_by_1700","discharged_between_1701_2359","discharged_total"
"RAJ",2022-04-01,0,0,0
"RAJ",2022-04-02,0,0,0
"RAJ",2022-04-03,19,5,24
"RAJ",2022-04-04,33,11,44
"RAJ",2022-04-05,46,12,58
"RAJ",2022-04-06,39,12,51
"RAJ",2022-04-07,45,14,59
"RAJ",2022-04-08,75,0,75
"RAJ",2022-04-09,25,0,25
"RAJ",2022-04-10,14,5,19
"RAJ",2022-04-11,31,9,40
"RAJ",2022-04-12,45,14,59
"RAJ",2022-04-13,52,17,69
"RAJ",2022-04-14,52,17,69
"RAJ",2022-04-15,0,0,0
"RAJ",2022-04-16,0,0,0
"RAJ",2022-04-17,0,0,0
"RAJ",2022-04-18,27,9,36
"RAJ",2022-04-19,27,9,36
"RAJ",2022-04-20,44,16,60
"RAJ",2022-04-21,58,17,75
"RAJ",2022-04-22,0,0,0
"RAJ",2022-04-23,0,0,0
"RAJ",2022-04-24,9,4,13
"RAJ",2022-04-25,43,14,57
"RAJ",2022-04-26,57,18,75
"RAJ",2022-04-27,53,49,102
"RAJ",2022-04-28,56,19,75
"RAJ",2022-04-29,69,22,91
"RAJ",2022-04-30,30,11,41
"RC9",2022-04-01,70,30,100
"RC9",2022-04-02,28,25,53
"RC9",2022-04-03,37,13,50
"RC9",2022-04-04,47,30,77
"RC9",2022-04-05,64,41,105
"RC9",2022-04-06,57,30,87
"RC9",2022-04-07,78,38,116
"RC9",2022-04-08,74,30,104
"RC9",2022-04-09,55,13,68
"RC9",2022-04-10,35,21,56
"RC9",2022-04-11,81,39,120
"RC9",2022-04-12,81,39,120
"RC9",2022-04-13,79,44,123
"RC9",2022-04-14,75,34,109
"RC9",2022-04-15,57,15,72
"RC9",2022-04-16,36,25,61
"RC9",2022-04-17,34,30,64
"RC9",2022-04-18,39,21,60
"RC9",2022-04-19,47,25,72
"RC9",2022-04-20,83,32,115
"RC9",2022-04-21,57,31,88
"RC9",2022-04-22,82,36,118
"RC9",2022-04-23,49,19,68
"RC9",2022-04-24,52,24,76
"RC9",2022-04-25,85,38,123
"RC9",2022-04-26,104,52,156
"RC9",2022-04-27,92,36,128
"RC9",2022-04-28,75,37,112
"RC9",2022-04-29,55,38,93
"RC9",2022-04-30,31,30,61
"RCX",2022-04-01,35,30,65
"RCX",2022-04-02,33,23,56
"RCX",2022-04-03,23,12,35
"RCX",2022-04-04,34,16,50
"RCX",2022-04-05,46,32,78
"RCX",2022-04-06,34,29,63
"RCX",2022-04-07,45,16,61
"RCX",2022-04-08,42,28,70
"RCX",2022-04-09,24,15,39
"RCX",2022-04-10,29,11,40
"RCX",2022-04-11,41,21,62
"RCX",2022-04-12,48,20,68
"RCX",2022-04-13,33,20,53
"RCX",2022-04-14,47,25,72
"RCX",2022-04-15,38,19,57
"RCX",2022-04-16,22,11,33
"RCX",2022-04-17,22,11,33
"RCX",2022-04-18,26,32,58
"RCX",2022-04-19,28,26,54
"RCX",2022-04-20,41,34,75
"RCX",2022-04-21,0,0,0
"RCX",2022-04-22,48,43,91
"RCX",2022-04-23,27,13,40
"RCX",2022-04-24,29,14,43
"RCX",2022-04-25,34,32,66
"RCX",2022-04-26,42,42,84
"RCX",2022-04-27,44,30,74
"RCX",2022-04-28,51,34,85
"RCX",2022-04-29,40,41,81
"RCX",2022-04-30,32,21,53
"RD8",2022-04-01,40,23,63
"RD8",2022-04-02,18,6,24
"RD8",2022-04-03,13,14,27
"RD8",2022-04-04,35,40,75
"RD8",2022-04-05,46,19,65
"RD8",2022-04-06,41,13,54
"RD8",2022-04-07,35,19,54
"RD8",2022-04-08,54,25,79
"RD8",2022-04-09,28,6,34
"RD8",2022-04-10,12,11,23
"RD8",2022-04-11,43,10,53
"RD8",2022-04-12,52,13,65
"RD8",2022-04-13,44,26,70
"RD8",2022-04-14,51,20,71
"RD8",2022-04-15,36,23,59
"RD8",2022-04-16,14,18,32
"RD8",2022-04-17,12,18,30
"RD8",2022-04-18,8,8,16
"RD8",2022-04-19,27,10,37
"RD8",2022-04-20,46,12,58
"RD8",2022-04-21,39,40,79
"RD8",2022-04-22,41,15,56
"RD8",2022-04-23,16,13,29
"RD8",2022-04-24,13,19,32
"RD8",2022-04-25,38,12,50
"RD8",2022-04-26,32,17,49
"RD8",2022-04-27,42,21,63
"RD8",2022-04-28,40,22,62
"RD8",2022-04-29,35,8,43
"RD8",2022-04-30,26,10,36
"RDE",2022-04-01,101,61,162
"RDE",2022-04-02,58,27,85
"RDE",2022-04-03,47,25,72
"RDE",2022-04-04,80,47,127
"RDE",2022-04-05,100,53,153
"RDE",2022-04-06,110,82,192
"RDE",2022-04-07,95,60,155
"RDE",2022-04-08,117,54,171
"RDE",2022-04-09,83,30,113
"RDE",2022-04-10,66,17,83
"RDE",2022-04-11,88,55,143
"RDE",2022-04-12,97,68,165
"RDE",2022-04-13,118,69,187
"RDE",2022-04-14,121,85,206
"RDE",2022-04-15,75,43,118
"RDE",2022-04-16,61,32,93
"RDE",2022-04-17,51,21,72
"RDE",2022-04-18,65,19,84
"RDE",2022-04-19,74,52,126
"RDE",2022-04-20,101,82,183
"RDE",2022-04-21,110,72,182
"RDE",2022-04-22,113,71,184
"RDE",2022-04-23,65,48,113
"RDE",2022-04-24,59,34,93
"RDE",2022-04-25,84,62,146
"RDE",2022-04-26,94,57,151
"RDE",2022-04-27,115,72,187
"RDE",2022-04-28,112,64,176
"RDE",2022-04-29,113,88,201
"RDE",2022-04-30,91,35,126
"RGN",2022-04-01,58,46,104
"RGN",2022-04-02,54,22,76
"RGN",2022-04-03,29,24,53
"RGN",2022-04-04,58,50,108
"RGN",2022-04-05,75,35,110
"RGN",2022-04-06,77,54,131
"RGN",2022-04-07,71,45,116
"RGN",2022-04-08,74,55,129
"RGN",2022-04-09,31,22,53
"RGN",2022-04-10,28,15,43
"RGN",2022-04-11,56,41,97
"RGN",2022-04-12,73,59,132
"RGN",2022-04-13,75,50,125
"RGN",2022-04-14,82,68,150
"RGN",2022-04-15,60,0,60
"RGN",2022-04-16,21,18,39
"RGN",2022-04-17,41,16,57
"RGN",2022-04-18,35,21,56
"RGN",2022-04-19,54,34,88
"RGN",2022-04-20,76,44,120
"RGN",2022-04-21,65,55,120
"RGN",2022-04-22,87,54,141
"RGN",2022-04-23,42,26,68
"RGN",2022-04-24,30,15,45
"RGN",2022-04-25,66,58,124
"RGN",2022-04-26,81,37,118
"RGN",2022-04-27,79,44,123
"RGN",2022-04-28,69,53,122
"RGN",2022-04-29,69,33,102
"RGN",2022-04-30,51,25,76
"RGP",2022-04-01,28,10,38
"RGP",2022-04-02,26,4,30
"RGP",2022-04-03,20,8,28
"RGP",2022-04-04,22,9,31
"RGP",2022-04-05,30,10,40
"RGP",2022-04-06,25,10,35
"RGP",2022-04-07,37,7,44
"RGP",2022-04-08,27,11,38
"RGP",2022-04-09,25,6,31
"RGP",2022-04-10,24,5,29
"RGP",2022-04-11,37,7,44
"RGP",2022-04-12,30,3,33
"RGP",2022-04-13,28,8,36
"RGP",2022-04-14,51,6,57
"RGP",2022-04-15,43,11,54
"RGP",2022-04-16,24,4,28
"RGP",2022-04-17,13,6,19
"RGP",2022-04-18,25,3,28
"RGP",2022-04-19,32,9,41
"RGP",2022-04-20,33,6,39
"RGP",2022-04-21,46,3,49
"RGP",2022-04-22,46,9,55
"RGP",2022-04-23,37,8,45
"RGP",2022-04-24,18,3,21
"RGP",2022-04-25,22,8,30
"RGP",2022-04-26,37,5,42
"RGP",2022-04-27,35,6,41
"RGP",2022-04-28,46,8,54
"RGP",2022-04-29,41,6,47
"RGP",2022-04-30,44,5,49
"RGR",2022-04-01,52,26,78
"RGR",2022-04-02,11,11,22
"RGR",2022-04-03,23,4,27
"RGR",2022-04-04,34,22,56
"RGR",2022-04-05,38,27,65
"RGR",2022-04-06,46,23,69
"RGR",2022-04-07,34,22,56
"RGR",2022-04-08,50,34,84
