"nhs_trust22_code","date","name","value"
"R0B","May 2022","Count_ReferralsReceived","845"
"R0B","May 2022","Count_AccessingServices","715"
"R0B","May 2022","Percentage_AccessingServices6WeeksFinishedCourseTreatment","97"
"R0B","May 2022","Percentage_AccessingServices18WeeksFinishedCourseTreatment","100"
"R0B","May 2022","Count_EndedReferrals","985"
"R0B","May 2022","Count_FinishedCourseTreatment","525"
"R0B","May 2022","Percentage_Deterioration","6"
"R0B","May 2022","Percentage_Improvement","71"
"R0B","May 2022","Count_Deterioration","30"
"R0B","May 2022","Percentage_Recovery","53"
"R0B","May 2022","Percentage_ReliableRecovery","51"
"R1A","May 2022","Count_ReferralsReceived","1245"
"R1A","May 2022","Count_AccessingServices","810"
"R1A","May 2022","Percentage_AccessingServices6WeeksFinishedCourseTreatment","57"
"R1A","May 2022","Percentage_AccessingServices18WeeksFinishedCourseTreatment","88"
"R1A","May 2022","Count_EndedReferrals","1250"
"R1A","May 2022","Count_FinishedCourseTreatment","395"
"R1A","May 2022","Percentage_Deterioration","5"
"R1A","May 2022","Percentage_Improvement","67"
"R1A","May 2022","Count_Deterioration","20"
"R1A","May 2022","Percentage_Recovery","51"
"R1A","May 2022","Percentage_ReliableRecovery","48"
"R1C","May 2022","Count_ReferralsReceived","830"
"R1C","May 2022","Count_AccessingServices","500"
"R1C","May 2022","Percentage_AccessingServices6WeeksFinishedCourseTreatment","91"
"R1C","May 2022","Percentage_AccessingServices18WeeksFinishedCourseTreatment","100"
"R1C","May 2022","Count_EndedReferrals","1125"
"R1C","May 2022","Count_FinishedCourseTreatment","335"
"R1C","May 2022","Percentage_Deterioration","3"
"R1C","May 2022","Percentage_Improvement","74"
"R1C","May 2022","Count_Deterioration","10"
"R1C","May 2022","Percentage_Recovery","60"
"R1C","May 2022","Percentage_ReliableRecovery","55"
"R1F","May 2022","Count_ReferralsReceived","285"
"R1F","May 2022","Count_AccessingServices","235"
"R1F","May 2022","Percentage_AccessingServices6WeeksFinishedCourseTreatment","76"
"R1F","May 2022","Percentage_AccessingServices18WeeksFinishedCourseTreatment","100"
"R1F","May 2022","Count_EndedReferrals","275"
"R1F","May 2022","Count_FinishedCourseTreatment","105"
"R1F","May 2022","Percentage_Deterioration","5"
"R1F","May 2022","Percentage_Improvement","59"
"R1F","May 2022","Count_Deterioration","5"
"R1F","May 2022","Percentage_Recovery","41"
"R1F","May 2022","Percentage_ReliableRecovery","36"
"R1L","May 2022","Count_ReferralsReceived","2005"
"R1L","May 2022","Count_AccessingServices","1580"
"R1L","May 2022","Percentage_AccessingServices6WeeksFinishedCourseTreatment","99"
"R1L","May 2022","Percentage_AccessingServices18WeeksFinishedCourseTreatment","100"
"R1L","May 2022","Count_EndedReferrals","1790"
"R1L","May 2022","Count_FinishedCourseTreatment","620"
"R1L","May 2022","Percentage_Deterioration","5"
"R1L","May 2022","Percentage_Improvement","64"
"R1L","May 2022","Count_Deterioration","30"
"R1L","May 2022","Percentage_Recovery","51"
"R1L","May 2022","Percentage_ReliableRecovery","49"
"RAT","May 2022","Count_ReferralsReceived","2505"
"RAT","May 2022","Count_AccessingServices","1870"
