"ltla24_code","total_patients","total_gp_fte","patients_per_gp"
"E06000001",92592,57.327975669,1615.12767404534
"E06000002",172295,87.294400001,1973.72340033297
"E06000003",138971,74.508799996,1865.16223597026
"E06000004",206634,135.427093327,1525.79513392542
"E06000005",113895,58.971040003,1931.3717376225
"E06000006",132817,78.706666667,1687.49364729084
"E06000007",229191,126.219414436,1815.81416000161
"E06000008",186355,83.473405767,2232.50744698466
"E06000009",178752,99.269333337,1800.67694615387
"E06000010",292212,145.166616465,2012.94214273054
"E06000011",324329,213.945257038,1515.94386568894
"E06000012",167784,84.252266667,1991.44790564689
"E06000013",188590,117.016221045,1611.65689949495
"E06000014",233404,148.615143197,1570.52636076666
"E06000015",293920,157.822933348,1862.34024273206
"E06000016",448815,220.114683689,2039.00526978986
"E06000017",42664,20.746666664,2056.42673548283
"E06000018",400807,241.7558582,1657.89984567166
"E06000019",194609,126.595919125,1537.24544475912
"E06000020",205882,94.266666667,2184.03818952552
"E06000021",292343,145.781333335,2005.35276576327
"E06000022",221788,142.977253336,1551.21178246999
"E06000023",581363,333.23448628,1744.60634759006
"E06000024",231332,147.212494234,1571.41553238198
"E06000025",275986,170.964933333,1614.284254786
"E06000026",304489,168.820764082,1803.62292313819
"E06000027",140894,79.088000004,1781.48391655971
"E06000030",252767,121.239383738,2084.8588322276
"E06000031",213180,86.39360001,2467.54389185454
"E06000032",289518,144.158954205,2008.32478007778
"E06000033",194715,100.274627568,1941.81723455374
"E06000034",189562,79.413251555,2387.03234394972
"E06000035",320698,112.153592485,2859.45365542251
"E06000036",132656,41.061600003,3230.65832773949
"E06000037",158066,85.832719133,1841.55880876933
"E06000038",246171,107.591866674,2288.0075196194
"E06000039",183256,89.875087553,2039.00774941591
"E06000040",177430,108.061866676,1641.92980796811
"E06000041",169097,76.906133327,2198.74531048142
"E06000042",344933,155.171827577,2222.90995334727
"E06000043",333626,169.311236424,1970.48941964202
"E06000044",235955,100.873333338,2339.12167063397
"E06000045",325691,152.301064193,2138.46831422843
"E06000046",146061,79.085630669,1846.87153360785
"E06000047",566660,370.164318882,1530.83366249743
"E06000049",426472,290.116409349,1470.00302725713
"E06000050",383887,236.966238261,1620.00714877019
"E06000051",329808,208.195651721,1584.12530364453
"E06000052",601452,375.558345488,1601.48751113086
"E06000053",2411,5.933333333,406.34831462957
"E06000054",512941,319.092371605,1607.50003962791
"E06000055",202385,102.153785805,1981.17963426564
"E06000056",295708,125.684297346,2352.78396939227
"E06000057",339176,241.782164008,1402.81646246155
"E06000058",466879,287.667530401,1622.98122193069
"E06000059",362816,225.686154223,1607.61302016562
"E06000060",590891,311.044040024,1899.7020484765
"E06000061",396879,221.072000005,1795.2477020655
"E06000062",444038,262.24410089,1693.22397908296
"E06000063",281641,163.306133335,1724.61985504398
"E06000064",234505,170.361754648,1376.5120022656
"E06000065",595806,437.559146678,1361.65819986493
"E06000066",595904,383.682537615,1553.11733420078
"E07000008",213379,132.258133333,1613.35257517021
"E07000009",94036,56.795466663,1655.69552510184
"E07000010",119550,50.400800001,2371.9861589028
"E07000011",188503,137.308287544,1372.84502903435
"E07000012",159166,92.951241771,1712.36012523782
"E07000032",142853,114.445666537,1248.21676803128
"E07000033",96991,67.811652474,1430.29990365133
"E07000034",115499,97.936666667,1179.32337224336
"E07000035",77443,63.125519126,1226.8097129692
"E07000036",114376,70.398933336,1624.68370726736
"E07000037",97619,61.133333337,1596.82115584752
"E07000038",80945,51.293333334,1578.08032230858
"E07000039",96967,50.213333335,1931.10063721684
"E07000040",133926,89.972830667,1488.51602208311
"E07000041",166438,107.106666673,1553.94622174304
"E07000042",97202,80.229604047,1211.54779653477
"E07000043",112293,82.866399997,1355.1089464978
"E07000044",67012,60.876297341,1100.78968214231
"E07000045",134939,107.648266667,1253.51762901507
"E07000046",74158,52.263261337,1418.93173336084
"E07000047",54716,45.126666666,1212.49815336405
"E07000061",110091,65.289066657,1686.20881928623
"E07000062",101443,33.192554218,3056.19746325483
"E07000063",92264,67.731052463,1362.21122579487
"E07000064",93065,54.25146666,1715.43749375936
"E07000065",178706,79.601066668,2245.02016719634
"E07000066",209304,91.2408,2293.97374858616
"E07000067",139625,76.122964001,1834.20340803027
"E07000068",80506,42.778666666,1881.91933677038
"E07000069",89421,39.016297341,2291.88841827983
"E07000070",210883,112.813007553,1869.314581485
"E07000071",216390,112.759261344,1919.04414254585
"E07000072",120364,81.412719128,1478.44220521316
"E07000073",106235,51.080000004,2079.77682051059
"E07000074",59023,28.3193858,2084.19068184734
"E07000075",98017,71.056297332,1379.42735099227
"E07000076",159786,62.104133334,2572.87222962537
"E07000077",97063,57.078690732,1700.51202568288
"E07000078",136510,75.434320001,1809.6537490918
"E07000079",94553,57.325519134,1649.40503685592
"E07000080",81900,48.940020885,1673.47701367864
"E07000081",151965,87.218531725,1742.34760657455
"E07000082",127616,79.31813333,1608.91330446543
"E07000083",95010,59.0944,1607.76655656035
"E07000084",188082,99.600266664,1888.3684381538
"E07000085",125019,86.950933331,1437.81090335264
"E07000086",124252,71.382133333,1740.65966087565
"E07000087",123740,78.293312001,1580.46705187819
"E07000088",85300,24.603999999,3466.91594876715
"E07000089",109805,64.260266663,1708.75419138626
"E07000090",131347,69.622052459,1886.5717881177
"E07000091",188642,155.246666665,1215.11143557795
"E07000092",113914,48.314954221,2357.73792683193
"E07000093",117917,88.949897341,1325.65639224912
"E07000094",133082,88.666052465,1500.93520913805
"E07000095",108279,59.530400001,1818.88581293223
"E07000096",177260,88.724600731,1997.86754225501
"E07000098",177146,93.045395978,1903.86636692787
"E07000099",126108,74.501333334,1692.69453789022
"E07000102",81284,37.482666667,2168.57569719187
"E07000103",84443,52.665600004,1603.38057467467
"E07000105",141342,74.861466666,1888.04743340934
"E07000106",187039,114.035919146,1640.17619536643
"E07000107",139542,67.305866671,2073.25166292115
"E07000108",118610,53.567466668,2214.21708693301
