"trust18_code","date","hospital","programme_of_care","specialty","total_available_beds","average_available_beds","total_occupied_beds","average_occupied_beds","total_inpatients","total_day_case","elective_inpatient","non_elective_inpatient","regular_attenders"
"BHSCT",2021-06-30,"Belfast City","Acute Services","General Surgery",10471,115.1,3394,37.3,454,583,389,65,0
"BHSCT",2021-09-30,"Belfast City","Acute Services","General Surgery",10094,109.7,3299,35.9,426,545,348,78,0
"BHSCT",2021-12-31,"Belfast City","Acute Services","General Surgery",10176,110.6,3236,35.2,428,604,386,42,0
"BHSCT",2022-03-31,"Belfast City","Acute Services","General Surgery",10631,118.1,3432,38.1,436,611,383,53,0
"BHSCT",2021-06-30,"Belfast City","Acute Services","Urology",2158,23.7,808,8.9,344,1335,340,4,0
"BHSCT",2021-09-30,"Belfast City","Acute Services","Urology",2454,26.7,793,8.6,201,1544,197,4,0
"BHSCT",2021-12-31,"Belfast City","Acute Services","Urology",2457,26.7,731,7.9,238,1742,236,2,0
"BHSCT",2022-03-31,"Belfast City","Acute Services","Urology",2236,24.8,781,8.7,265,1719,262,3,0
"BHSCT",2021-06-30,"Belfast City","Acute Services","Anaesthetics",113,1.2,113,1.2,8,0,0,8,0
"BHSCT",2021-09-30,"Belfast City","Acute Services","Anaesthetics",99,1.1,99,1.1,11,0,0,11,0
"BHSCT",2021-12-31,"Belfast City","Acute Services","Anaesthetics",180,2,180,2,27,0,0,27,0
"BHSCT",2022-03-31,"Belfast City","Acute Services","Anaesthetics",260,2.9,260,2.9,15,0,0,15,0
"BHSCT",2022-03-31,"Belfast City","Acute Services","Pain Management",0,0,0,0,0,15,0,0,0
"BHSCT",2021-06-30,"Belfast City","Acute Services","General Medicine",0,0,0,0,0,10,0,0,0
"BHSCT",2021-09-30,"Belfast City","Acute Services","General Medicine",33,0.4,33,0.4,0,24,0,0,0
"BHSCT",2021-12-31,"Belfast City","Acute Services","General Medicine",7,0.1,7,0.1,1,8,0,1,0
"BHSCT",2022-03-31,"Belfast City","Acute Services","General Medicine",37,0.4,37,0.4,6,7,0,6,0
"BHSCT",2021-06-30,"Belfast City","Acute Services","Gastroenterology",1150,12.6,665,7.3,36,906,6,30,0
"BHSCT",2021-09-30,"Belfast City","Acute Services","Gastroenterology",1033,11.2,586,6.4,42,797,7,35,0
"BHSCT",2021-12-31,"Belfast City","Acute Services","Gastroenterology",907,9.9,593,6.4,30,738,15,15,0
"BHSCT",2022-03-31,"Belfast City","Acute Services","Gastroenterology",702,7.8,472,5.2,38,1019,12,26,0
"BHSCT",2021-06-30,"Belfast City","Acute Services","Haematology Clinical",3857,42.4,3096,34,224,1827,67,157,0
"BHSCT",2021-09-30,"Belfast City","Acute Services","Haematology Clinical",3926,42.7,3419,37.2,210,1621,67,143,0
"BHSCT",2021-12-31,"Belfast City","Acute Services","Haematology Clinical",3481,37.8,3341,36.3,229,1652,64,165,0
"BHSCT",2022-03-31,"Belfast City","Acute Services","Haematology Clinical",3449,38.3,3186,35.4,195,1806,56,139,0
"BHSCT",2021-06-30,"Belfast City","Acute Services","Cardiology",15,0.2,15,0.2,131,216,105,26,0
"BHSCT",2021-09-30,"Belfast City","Acute Services","Cardiology",1,0,1,0,204,133,173,31,0
"BHSCT",2021-12-31,"Belfast City","Acute Services","Cardiology",8,0.1,8,0.1,123,61,113,10,0
"BHSCT",2022-03-31,"Belfast City","Acute Services","Cardiology",39,0.4,39,0.4,112,231,109,3,0
"BHSCT",2021-12-31,"Belfast City","Acute Services","Dermatology",5,0.1,5,0.1,1,0,1,0,0
"BHSCT",2022-03-31,"Belfast City","Acute Services","Dermatology",7,0.1,7,0.1,1,0,1,0,0
"BHSCT",2021-06-30,"Belfast City","Acute Services","Thoracic Medicine",3622,39.8,191,2.1,15,60,0,15,0
"BHSCT",2021-09-30,"Belfast City","Acute Services","Thoracic Medicine",3925,42.7,449,4.9,27,56,0,27,0
"BHSCT",2021-12-31,"Belfast City","Acute Services","Thoracic Medicine",3452,37.5,215,2.3,13,60,1,12,0
"BHSCT",2022-03-31,"Belfast City","Acute Services","Thoracic Medicine",3501,38.9,46,0.5,9,46,2,7,0
"BHSCT",2021-06-30,"Belfast City","Acute Services","Nephrology",5054,55.5,1390,15.3,211,5125,125,86,4993
"BHSCT",2021-09-30,"Belfast City","Acute Services","Nephrology",4941,53.7,1225,13.3,203,4960,126,77,4847
"BHSCT",2021-12-31,"Belfast City","Acute Services","Nephrology",4921,53.5,1351,14.7,178,4789,107,71,4678
"BHSCT",2022-03-31,"Belfast City","Acute Services","Nephrology",4820,53.6,1316,14.6,199,4467,138,61,4361
"BHSCT",2021-06-30,"Belfast City","Acute Services","Medical Oncology",67,0.7,67,0.7,26,0,1,25,0
"BHSCT",2021-09-30,"Belfast City","Acute Services","Medical Oncology",66,0.7,66,0.7,28,0,0,28,0
"BHSCT",2021-12-31,"Belfast City","Acute Services","Medical Oncology",118,1.3,118,1.3,25,0,1,24,0
"BHSCT",2022-03-31,"Belfast City","Acute Services","Medical Oncology",74,0.8,74,0.8,21,0,1,20,0
"BHSCT",2021-06-30,"Belfast City","Elderly Care","Geriatric Medicine",273,3,0,0,0,0,0,0,0
"BHSCT",2021-09-30,"Belfast City","Elderly Care","Geriatric Medicine",276,3,0,0,0,0,0,0,0
"BHSCT",2021-12-31,"Belfast City","Elderly Care","Geriatric Medicine",276,3,0,0,0,0,0,0,0
"BHSCT",2022-03-31,"Belfast City","Elderly Care","Geriatric Medicine",270,3,0,0,0,0,0,0,0
"BHSCT",2021-06-30,"Belfast City","Acute Services","Gynaecology",1004,11,646,7.1,127,403,125,2,0
"BHSCT",2021-09-30,"Belfast City","Acute Services","Gynaecology",1165,12.7,527,5.7,97,318,94,3,0
