"hsct22_name","date","year","month","specialty","waits_over_18_weeks","waits_over_52_weeks","total_waits"
"Belfast",2019-12-01,2019,"Dec","Anaesthetics",0,0,1
"Belfast",2019-12-01,2019,"Dec","Audiological",0,0,1
"Belfast",2019-12-01,2019,"Dec","Cardiac Surgery",9,0,243
"Belfast",2019-12-01,2019,"Dec","Cardiology",1432,250,4068
"Belfast",2019-12-01,2019,"Dec","Chemical Pathology",1,1,5
"Belfast",2019-12-01,2019,"Dec","Clinical Genetics",741,21,1271
"Belfast",2019-12-01,2019,"Dec","Clinical Oncology",0,0,217
"Belfast",2019-12-01,2019,"Dec","Dental Medicine Specialties",320,0,902
"Belfast",2019-12-01,2019,"Dec","Dermatology",4568,2992,6679
"Belfast",2019-12-01,2019,"Dec","ENT",10513,6567,13839
"Belfast",2019-12-01,2019,"Dec","Endocrinology",310,90,974
"Belfast",2019-12-01,2019,"Dec","Gastroenterology",2784,1204,5414
"Belfast",2019-12-01,2019,"Dec","General Medicine",3548,2819,4455
"Belfast",2019-12-01,2019,"Dec","General Surgery",7355,4023,12239
"Belfast",2019-12-01,2019,"Dec","Geriatric Medicine",24,4,463
"Belfast",2019-12-01,2019,"Dec","Gynaecology",4447,2347,7846
"Belfast",2019-12-01,2019,"Dec","Haematology (Clinical)",77,31,269
"Belfast",2019-12-01,2019,"Dec","Infectious Diseases",93,33,157
"Belfast",2019-12-01,2019,"Dec","Learning Disability",0,0,30
"Belfast",2019-12-01,2019,"Dec","Medical Oncology",4,0,80
"Belfast",2019-12-01,2019,"Dec","Nephrology",52,1,328
"Belfast",2019-12-01,2019,"Dec","Neurology",3785,2645,5437
"Belfast",2019-12-01,2019,"Dec","Neurosurgery",452,132,1096
"Belfast",2019-12-01,2019,"Dec","Old Age Psychiatry",0,0,190
"Belfast",2019-12-01,2019,"Dec","Ophthalmology",21777,14015,30201
"Belfast",2019-12-01,2019,"Dec","Oral Surgery",27,6,572
"Belfast",2019-12-01,2019,"Dec","Orthodontics",0,0,110
"Belfast",2019-12-01,2019,"Dec","Paediatric Dentistry",299,40,657
"Belfast",2019-12-01,2019,"Dec","Paediatric Neurology",81,1,254
"Belfast",2019-12-01,2019,"Dec","Paediatric Surgery",460,159,1066
"Belfast",2019-12-01,2019,"Dec","Paediatrics",3710,1503,6143
"Belfast",2019-12-01,2019,"Dec","Pain Management",1444,768,2021
"Belfast",2019-12-01,2019,"Dec","Palliative Medicine",0,0,6
"Belfast",2019-12-01,2019,"Dec","Plastic Surgery",999,653,1421
"Belfast",2019-12-01,2019,"Dec","Radiology",32,17,70
"Belfast",2019-12-01,2019,"Dec","Rehabilitation",37,17,81
"Belfast",2019-12-01,2019,"Dec","Restorative Dentistry",567,6,1374
"Belfast",2019-12-01,2019,"Dec","Rheumatology",4406,3512,5261
"Belfast",2019-12-01,2019,"Dec","T & O Surgery",15226,8944,22513
"Belfast",2019-12-01,2019,"Dec","Thoracic Medicine",407,116,1573
"Belfast",2019-12-01,2019,"Dec","Thoracic Surgery",236,152,415
"Belfast",2019-12-01,2019,"Dec","Urology",3948,2325,6436
"Belfast",2019-06-01,2019,"Jun","Anaesthetics",39,15,151
"Belfast",2019-06-01,2019,"Jun","Audiological",2,0,5
"Belfast",2019-06-01,2019,"Jun","Cardiac Surgery",5,0,288
"Belfast",2019-06-01,2019,"Jun","Cardiology",1374,228,4387
"Belfast",2019-06-01,2019,"Jun","Chemical Pathology",0,0,2
"Belfast",2019-06-01,2019,"Jun","Clinical Genetics",547,0,1114
