"ltla21_code","ltla21_name","date","total_patients","total_gp","patients_per_gp"
"N09000001","Antrim and Newtownabbey","2017",127816,79,1617.92405063291
"N09000011","Ards and North Down","2017",158511,109,1454.22935779817
"N09000002","Armagh City, Banbridge and Craigavon","2017",217821,153,1423.66666666667
"N09000003","Belfast","2017",429277,305,1407.46557377049
"N09000004","Causeway Coast and Glens","2017",148386,104,1426.78846153846
"N09000005","Derry City and Strabane","2017",171474,107,1602.56074766355
"N09000006","Fermanagh and Omagh","2017",121697,71,1714.04225352113
"N09000007","Lisburn and Castlereagh","2017",113729,76,1496.43421052632
"N09000008","Mid and East Antrim","2017",141096,100,1410.96
"N09000009","Mid Ulster","2017",151956,86,1766.93023255814
"N09000010","Newry, Mourne and Down","2017",185339,116,1597.75
"N09000001","Antrim and Newtownabbey","2018",128716,77,1671.63636363636
"N09000011","Ards and North Down","2018",159231,114,1396.76315789474
"N09000002","Armagh City, Banbridge and Craigavon","2018",219413,147,1492.60544217687
"N09000003","Belfast","2018",427986,309,1385.06796116505
"N09000004","Causeway Coast and Glens","2018",148687,103,1443.56310679612
"N09000005","Derry City and Strabane","2018",171630,112,1532.41071428571
"N09000006","Fermanagh and Omagh","2018",121844,71,1716.11267605634
"N09000007","Lisburn and Castlereagh","2018",114764,81,1416.83950617284
"N09000008","Mid and East Antrim","2018",141533,102,1387.57843137255
"N09000009","Mid Ulster","2018",152948,88,1738.04545454545
"N09000010","Newry, Mourne and Down","2018",186529,119,1567.47058823529
"N09000001","Antrim and Newtownabbey","2019",130179,77,1690.63636363636
"N09000011","Ards and North Down","2019",160871,112,1436.34821428571
"N09000002","Armagh City, Banbridge and Craigavon","2019",221382,151,1466.1059602649
"N09000003","Belfast","2019",430007,311,1382.65916398714
"N09000004","Causeway Coast and Glens","2019",149057,105,1419.59047619048
"N09000005","Derry City and Strabane","2019",172547,111,1554.47747747748
"N09000006","Fermanagh and Omagh","2019",122635,75,1635.13333333333
"N09000007","Lisburn and Castlereagh","2019",116854,82,1425.0487804878
"N09000008","Mid and East Antrim","2019",142933,105,1361.26666666667
"N09000009","Mid Ulster","2019",154294,87,1773.49425287356
"N09000010","Newry, Mourne and Down","2019",188846,118,1600.38983050847
"N09000001","Antrim and Newtownabbey","2020",131635,82,1605.30487804878
"N09000011","Ards and North Down","2020",162171,115,1410.18260869565
"N09000002","Armagh City, Banbridge and Craigavon","2020",223985,153,1463.95424836601
"N09000003","Belfast","2020",430813,313,1376.39936102236
"N09000004","Causeway Coast and Glens","2020",149657,105,1425.30476190476
"N09000005","Derry City and Strabane","2020",173412,118,1469.59322033898
"N09000006","Fermanagh and Omagh","2020",123257,79,1560.21518987342
"N09000007","Lisburn and Castlereagh","2020",118267,86,1375.1976744186
"N09000008","Mid and East Antrim","2020",143727,106,1355.91509433962
"N09000009","Mid Ulster","2020",155454,89,1746.67415730337
"N09000010","Newry, Mourne and Down","2020",190330,118,1612.96610169492
"N09000001","Antrim and Newtownabbey","2021",131947,89,1482.55056179775
"N09000011","Ards and North Down","2021",162856,112,1454.07142857143
"N09000002","Armagh City, Banbridge and Craigavon","2021",225076,168,1339.7380952381
"N09000003","Belfast","2021",429426,327,1313.22935779817
"N09000004","Causeway Coast and Glens","2021",149888,104,1441.23076923077
"N09000005","Derry City and Strabane","2021",173897,119,1461.31932773109
"N09000006","Fermanagh and Omagh","2021",123527,82,1506.42682926829
"N09000007","Lisburn and Castlereagh","2021",118904,89,1336
