"trust18_code","trust18_name","department","date","total","under_4_hours","between_4_12_hours","over_12_hours"
"BHSCT","Belfast","Mater",2024-12-01,3448,1204,1533,711
"BHSCT","Belfast","RVH",2024-12-01,6185,951,3234,2000
"BHSCT","Belfast","RBHSC",2024-12-01,4254,2353,1805,96
"NHSCT","Northern","Antrim Area",2024-12-01,8075,2270,3687,2118
"NHSCT","Northern","Causeway",2024-12-01,3889,1715,1508,666
"NHSCT","Northern","Mid-Ulster",2024-12-01,425,425,0,0
"SEHSCT","South Eastern","Downe",2024-12-01,1219,1172,46,1
"SEHSCT","South Eastern","Lagan Valley",2024-12-01,1818,1188,628,2
"SEHSCT","South Eastern","Ulster",2024-12-01,7222,1134,3806,2282
"SEHSCT","South Eastern","Ulster MIU",2024-12-01,2881,2375,456,50
"SHSCT","Southern","Craigavon Area",2024-12-01,7013,2527,2687,1799
"SHSCT","Southern","Daisy Hill",2024-12-01,4771,2037,2019,715
"SHSCT","Southern","South Tyrone",2024-12-01,1342,1342,0,0
"WHSCT","Western","Altnagelvin Area",2024-12-01,4932,1369,2370,1193
"WHSCT","Western","South West Acute",2024-12-01,3625,1456,1522,647
"WHSCT","Western","Altnagelvin Area MIU",2024-12-01,2248,2217,30,1
"BHSCT","Belfast","Mater",2024-11-01,3528,1201,1661,666
"BHSCT","Belfast","RVH",2024-11-01,6553,1082,3488,1983
"BHSCT","Belfast","RBHSC",2024-11-01,4117,2300,1724,93
"NHSCT","Northern","Antrim Area",2024-11-01,7788,2306,3570,1912
"NHSCT","Northern","Causeway",2024-11-01,3778,1739,1469,570
"NHSCT","Northern","Mid-Ulster",2024-11-01,466,465,0,1
"SEHSCT","South Eastern","Downe",2024-11-01,1272,1232,40,0
"SEHSCT","South Eastern","Lagan Valley",2024-11-01,1828,1316,512,0
"SEHSCT","South Eastern","Ulster",2024-11-01,7096,1363,3749,1984
"SEHSCT","South Eastern","Ulster MIU",2024-11-01,3074,2647,394,33
"SHSCT","Southern","Craigavon Area",2024-11-01,6830,2517,2538,1775
"SHSCT","Southern","Daisy Hill",2024-11-01,4553,1993,1903,657
"SHSCT","Southern","South Tyrone",2024-11-01,1538,1537,1,0
"WHSCT","Western","Altnagelvin Area",2024-11-01,4912,1570,2168,1174
"WHSCT","Western","South West Acute",2024-11-01,3440,1567,1309,564
"WHSCT","Western","Altnagelvin Area MIU",2024-11-01,2497,2457,40,0
"BHSCT","Belfast","Mater",2024-10-01,3676,1176,1685,815
"BHSCT","Belfast","RVH",2024-10-01,6585,1064,3250,2271
"BHSCT","Belfast","RBHSC",2024-10-01,3630,2450,1170,10
"NHSCT","Northern","Antrim Area",2024-10-01,8564,3205,3764,1595
"NHSCT","Northern","Causeway",2024-10-01,4045,2182,1283,580
"NHSCT","Northern","Mid-Ulster",2024-10-01,563,562,1,0
"SEHSCT","South Eastern","Downe",2024-10-01,1441,1390,51,0
"SEHSCT","South Eastern","Lagan Valley",2024-10-01,2048,1385,663,0
"SEHSCT","South Eastern","Ulster",2024-10-01,7304,1446,3498,2360
"SEHSCT","South Eastern","Ulster MIU",2024-10-01,3434,2916,469,49
"SHSCT","Southern","Craigavon Area",2024-10-01,6950,2579,2531,1840
"SHSCT","Southern","Daisy Hill",2024-10-01,4716,2095,1869,752
"SHSCT","Southern","South Tyrone",2024-10-01,1734,1734,0,0
"WHSCT","Western","Altnagelvin Area",2024-10-01,5116,1577,2294,1245
"WHSCT","Western","South West Acute",2024-10-01,3507,1663,1306,538
"WHSCT","Western","Altnagelvin Area MIU",2024-10-01,2735,2683,51,1
"BHSCT","Belfast","Mater",2024-09-01,3397,1135,1504,758
"BHSCT","Belfast","RVH",2024-09-01,6216,975,3050,2191
"BHSCT","Belfast","RBHSC",2024-09-01,3444,2335,1100,9
"NHSCT","Northern","Antrim Area",2024-09-01,8203,3191,3497,1515
"NHSCT","Northern","Causeway",2024-09-01,4115,2115,1412,588
"NHSCT","Northern","Mid-Ulster",2024-09-01,619,619,0,0
"SEHSCT","South Eastern","Downe",2024-09-01,1493,1454,39,0
"SEHSCT","South Eastern","Lagan Valley",2024-09-01,1905,1408,496,1
"SEHSCT","South Eastern","Ulster",2024-09-01,6816,1313,3386,2117
"SEHSCT","South Eastern","Ulster MIU",2024-09-01,3495,2909,522,64
"SHSCT","Southern","Craigavon Area",2024-09-01,6652,2576,2481,1595
"SHSCT","Southern","Daisy Hill",2024-09-01,4496,2124,1701,671
"SHSCT","Southern","South Tyrone",2024-09-01,1801,1799,2,0
"WHSCT","Western","Altnagelvin Area",2024-09-01,5009,1532,2295,1182
"WHSCT","Western","South West Acute",2024-09-01,3260,1482,1291,487
"WHSCT","Western","Altnagelvin Area MIU",2024-09-01,2698,2633,65,0
"BHSCT","Belfast","Mater",2024-08-01,3434,1298,1519,617
"BHSCT","Belfast","RVH",2024-08-01,6424,1092,3289,2043
"BHSCT","Belfast","RBHSC",2024-08-01,2744,2007,732,5
"NHSCT","Northern","Antrim Area",2024-08-01,7863,3030,3397,1436
"NHSCT","Northern","Causeway",2024-08-01,4088,2264,1269,555
"NHSCT","Northern","Mid-Ulster",2024-08-01,606,606,0,0
"SEHSCT","South Eastern","Downe",2024-08-01,1480,1437,43,0
"SEHSCT","South Eastern","Lagan Valley",2024-08-01,1947,1474,471,2
