"hospital_code","hospital_name","date","attendances","within_4_hours","over_4_hours"
"A101H","Arran War Memorial Hospital",2007-07-31,252,252,0
"A111H","University Hospital Crosshouse - Type 1",2007-07-31,5414,5290,124
"A207H","Davidson Cottage Hospital",2007-07-31,92,92,0
"A210H","University Hospital Ayr - Type 1",2007-07-31,3530,3355,175
"B103H","Knoll Community Hospital",2007-07-31,20,20,0
"B105H","Hawick Community  Hospital",2007-07-31,105,105,0
"B114H","Kelso Community Hospital",2007-07-31,31,31,0
"B118H","Hay Lodge Hospital",2007-07-31,87,87,0
"B120H","Borders General Hospital - Type 1",2007-07-31,1823,1804,19
"C103B","Campbeltown Hospital (2007-2009)",2007-07-31,401,401,0
"C106H","Cowal Community Hospital",2007-07-31,615,612,3
"C108H","Islay Hospital",2007-07-31,110,110,0
"C110H","Mid Argyll Community Hospital And Integrated Care Centre (2007-2009)",2007-07-31,468,467,1
"C113H","Victoria Hospital (NHS Highland)",2007-07-31,369,363,6
"C117J","Dunaros Hospital",2007-07-31,67,65,2
"C121H","Lorn & Islands Hospital - Type 1",2007-07-31,616,611,5
"C122H","Campbeltown Hospital",2007-07-31,211,211,0
"C206H","Vale Of Leven District General Hospital",2007-07-31,1382,1354,28
"C313H","Inverclyde Royal Hospital - Type 1",2007-07-31,2693,2648,45
"C418H","Royal Alexandra Hospital - Type 1",2007-07-31,5479,5324,155
"F704H","Victoria Hospital (NHS Fife) - Type 1",2007-07-31,3912,3703,209
"F708H","Adamson Hospital",2007-07-31,174,174,0
"F709H","St Andrews Community Hospital",2007-07-31,282,282,0
"F805H","Queen Margaret Hospital - Type 1",2007-07-31,3638,3570,68
"G107H","Glasgow Royal Infirmary - Type 1",2007-07-31,6200,5951,249
"G207H","Stobhill Hospital - Type 1",2007-07-31,3390,3264,126
"G306H","Victoria Infirmary - Type 1",2007-07-31,5864,5744,120
"G405H","Southern General Hospital - Type 1",2007-07-31,4186,3952,234
"G513H","Royal Hospital For Children Glasgow - Type 1",2007-07-31,2981,2942,39
"G516H","Western Infirmary/Gartnavel General - Type 1",2007-07-31,5040,4529,511
"H101H","Dunbar Hospital",2007-07-31,199,199,0
"H103H","Caithness General Hospital - Type 1",2007-07-31,496,488,8
"H106H","Lawson Memorial Hospital",2007-07-31,73,72,1
"H202H","Raigmore Hospital - Type 1",2007-07-31,2618,2553,65
