"hb19_code","date","specialty","average_number_available_staffed_beds","average_number_occupied_beds","percent_occupied_beds"
"S08000015",2019-04-01,"Accident & Emergency",1.74725274725275,1.74725274725275,1
"S08000015",2019-07-01,"Accident & Emergency",1.3695652173913,1.3695652173913,1
"S08000015",2019-10-01,"Accident & Emergency",1.09782608695652,1.09782608695652,1
"S08000015",2020-01-01,"Accident & Emergency",0.538461538461538,0.538461538461538,1
"S08000015",2020-04-01,"Accident & Emergency",0.615384615384615,0.615384615384615,1
"S08000015",2020-07-01,"Accident & Emergency",0.532608695652174,0.532608695652174,1
"S08000015",2020-10-01,"Accident & Emergency",0.456521739130435,0.456521739130435,1
"S08000015",2021-01-01,"Accident & Emergency",0.444444444444444,0.444444444444444,1
"S08000015",2021-04-01,"Accident & Emergency",0.461538461538462,0.461538461538462,1
"S08000015",2021-07-01,"Accident & Emergency",0.673913043478261,0.673913043478261,1
"S08000015",2021-10-01,"Accident & Emergency",0.304347826086957,0.304347826086957,1
"S08000015",2022-01-01,"Accident & Emergency",0.2,0.2,1
"S08000015",2022-04-01,"Accident & Emergency",0.373626373626374,0.373626373626374,1
"S08000015",2022-07-01,"Accident & Emergency",0.25,0.25,1
"S08000015",2022-10-01,"Accident & Emergency",0.152173913043478,0.152173913043478,1
"S08000015",2023-01-01,"Accident & Emergency",0.222222222222222,0.222222222222222,1
"S08000015",2023-04-01,"Accident & Emergency",0.153846153846154,0.153846153846154,1
"S08000015",2023-07-01,"Accident & Emergency",0.304347826086957,0.304347826086957,1
"S08000015",2023-10-01,"Accident & Emergency",0.989130434782609,0.989130434782609,1
"S08000015",2024-01-01,"Accident & Emergency",0.021978021978022,0.021978021978022,1
"S08000015",2024-04-01,"Accident & Emergency",1.78021978021978,1.78021978021978,1
"S08000015",2019-04-01,"All Acute",928.043956043956,878.285714285714,0.946383744612324
"S08000015",2019-07-01,"All Acute",925.195652173913,869.663043478261,0.93997744307902
"S08000015",2019-10-01,"All Acute",939.880434782609,886.923913043478,0.94365610796933
"S08000015",2020-01-01,"All Acute",960.868131868132,874.747252747253,0.910371802056291
"S08000015",2020-04-01,"All Acute",870.989010989011,641.043956043956,0.735995457986374
"S08000015",2020-07-01,"All Acute",882.95652173913,784.554347826087,0.888553771912547
"S08000015",2020-10-01,"All Acute",957.79347826087,841.086956521739,0.878150640625532
