"hb_code","date","age_group","delay_reason","num_delayed_bed_days","average_daily_delayed_beds"
"S08000015",2016-07-01,"18plus","All Delay Reasons",2574,83
"S08000015",2016-07-01,"18plus","Health and Social Care Reasons",1976,64
"S08000015",2016-07-01,"18plus","Patient and Family Related Reasons",0,0
"S08000015",2016-07-01,"18plus","Code 9 AWI",472,15
"S08000015",2016-07-01,"18plus","Code 9 Non-AWI",126,4
"S08000015",2016-07-01,"18-74","All Delay Reasons",355,11
"S08000015",2016-07-01,"18-74","Health and Social Care Reasons",222,7
"S08000015",2016-07-01,"18-74","Patient and Family Related Reasons",0,0
"S08000015",2016-07-01,"18-74","Code 9 AWI",124,4
"S08000015",2016-07-01,"18-74","Code 9 Non-AWI",9,0
"S08000015",2016-07-01,"75plus","All Delay Reasons",2219,72
"S08000015",2016-07-01,"75plus","Health and Social Care Reasons",1754,57
"S08000015",2016-07-01,"75plus","Patient and Family Related Reasons",0,0
"S08000015",2016-07-01,"75plus","Code 9 AWI",348,11
"S08000015",2016-07-01,"75plus","Code 9 Non-AWI",117,4
"S08000016",2016-07-01,"18plus","All Delay Reasons",790,25
"S08000016",2016-07-01,"18plus","Health and Social Care Reasons",548,18
"S08000016",2016-07-01,"18plus","Patient and Family Related Reasons",90,3
"S08000016",2016-07-01,"18plus","Code 9 AWI",75,2
"S08000016",2016-07-01,"18plus","Code 9 Non-AWI",77,2
"S08000016",2016-07-01,"18-74","All Delay Reasons",165,5
"S08000016",2016-07-01,"18-74","Health and Social Care Reasons",77,2
"S08000016",2016-07-01,"18-74","Patient and Family Related Reasons",25,1
"S08000016",2016-07-01,"18-74","Code 9 AWI",0,0
"S08000016",2016-07-01,"18-74","Code 9 Non-AWI",63,2
"S08000016",2016-07-01,"75plus","All Delay Reasons",625,20
"S08000016",2016-07-01,"75plus","Health and Social Care Reasons",471,15
"S08000016",2016-07-01,"75plus","Patient and Family Related Reasons",65,2
"S08000016",2016-07-01,"75plus","Code 9 AWI",75,2
"S08000016",2016-07-01,"75plus","Code 9 Non-AWI",14,0
"S08000017",2016-07-01,"18plus","All Delay Reasons",1065,34
"S08000017",2016-07-01,"18plus","Health and Social Care Reasons",794,26
"S08000017",2016-07-01,"18plus","Patient and Family Related Reasons",0,0
"S08000017",2016-07-01,"18plus","Code 9 AWI",271,9
"S08000017",2016-07-01,"18plus","Code 9 Non-AWI",0,0
"S08000017",2016-07-01,"18-74","All Delay Reasons",273,9
"S08000017",2016-07-01,"18-74","Health and Social Care Reasons",216,7
"S08000017",2016-07-01,"18-74","Patient and Family Related Reasons",0,0
"S08000017",2016-07-01,"18-74","Code 9 AWI",57,2
"S08000017",2016-07-01,"18-74","Code 9 Non-AWI",0,0
"S08000017",2016-07-01,"75plus","All Delay Reasons",792,26
"S08000017",2016-07-01,"75plus","Health and Social Care Reasons",578,19
"S08000017",2016-07-01,"75plus","Patient and Family Related Reasons",0,0
"S08000017",2016-07-01,"75plus","Code 9 AWI",214,7
"S08000017",2016-07-01,"75plus","Code 9 Non-AWI",0,0
"S08000019",2016-07-01,"18plus","All Delay Reasons",2472,80
"S08000019",2016-07-01,"18plus","Health and Social Care Reasons",1662,54
"S08000019",2016-07-01,"18plus","Patient and Family Related Reasons",179,6
"S08000019",2016-07-01,"18plus","Code 9 AWI",415,13
"S08000019",2016-07-01,"18plus","Code 9 Non-AWI",216,7
"S08000019",2016-07-01,"18-74","All Delay Reasons",942,30
"S08000019",2016-07-01,"18-74","Health and Social Care Reasons",638,21
"S08000019",2016-07-01,"18-74","Patient and Family Related Reasons",31,1
"S08000019",2016-07-01,"18-74","Code 9 AWI",93,3
"S08000019",2016-07-01,"18-74","Code 9 Non-AWI",180,6
"S08000019",2016-07-01,"75plus","All Delay Reasons",1530,49
"S08000019",2016-07-01,"75plus","Health and Social Care Reasons",1024,33
"S08000019",2016-07-01,"75plus","Patient and Family Related Reasons",148,5
"S08000019",2016-07-01,"75plus","Code 9 AWI",322,10
"S08000019",2016-07-01,"75plus","Code 9 Non-AWI",36,1
"S08000020",2016-07-01,"18plus","All Delay Reasons",5088,164
"S08000020",2016-07-01,"18plus","Health and Social Care Reasons",4050,131
"S08000020",2016-07-01,"18plus","Patient and Family Related Reasons",94,3
"S08000020",2016-07-01,"18plus","Code 9 AWI",730,24
"S08000020",2016-07-01,"18plus","Code 9 Non-AWI",214,7
"S08000020",2016-07-01,"18-74","All Delay Reasons",1429,46
"S08000020",2016-07-01,"18-74","Health and Social Care Reasons",1045,34
"S08000020",2016-07-01,"18-74","Patient and Family Related Reasons",40,1
"S08000020",2016-07-01,"18-74","Code 9 AWI",200,6
"S08000020",2016-07-01,"18-74","Code 9 Non-AWI",144,5
"S08000020",2016-07-01,"75plus","All Delay Reasons",3659,118
"S08000020",2016-07-01,"75plus","Health and Social Care Reasons",3005,97
"S08000020",2016-07-01,"75plus","Patient and Family Related Reasons",54,2
"S08000020",2016-07-01,"75plus","Code 9 AWI",530,17
"S08000020",2016-07-01,"75plus","Code 9 Non-AWI",70,2
"S08000022",2016-07-01,"18plus","All Delay Reasons",4299,139
"S08000022",2016-07-01,"18plus","Health and Social Care Reasons",2562,83
"S08000022",2016-07-01,"18plus","Patient and Family Related Reasons",536,17
"S08000022",2016-07-01,"18plus","Code 9 AWI",475,15
"S08000022",2016-07-01,"18plus","Code 9 Non-AWI",726,23
"S08000022",2016-07-01,"18-74","All Delay Reasons",996,32
"S08000022",2016-07-01,"18-74","Health and Social Care Reasons",629,20
"S08000022",2016-07-01,"18-74","Patient and Family Related Reasons",17,1
"S08000022",2016-07-01,"18-74","Code 9 AWI",31,1
"S08000022",2016-07-01,"18-74","Code 9 Non-AWI",319,10
"S08000022",2016-07-01,"75plus","All Delay Reasons",3303,107
"S08000022",2016-07-01,"75plus","Health and Social Care Reasons",1933,62
"S08000022",2016-07-01,"75plus","Patient and Family Related Reasons",519,17
"S08000022",2016-07-01,"75plus","Code 9 AWI",444,14
"S08000022",2016-07-01,"75plus","Code 9 Non-AWI",407,13
"S08000024",2016-07-01,"18plus","All Delay Reasons",9569,309
"S08000024",2016-07-01,"18plus","Health and Social Care Reasons",8305,268
"S08000024",2016-07-01,"18plus","Patient and Family Related Reasons",52,2
"S08000024",2016-07-01,"18plus","Code 9 AWI",999,32
"S08000024",2016-07-01,"18plus","Code 9 Non-AWI",213,7
"S08000024",2016-07-01,"18-74","All Delay Reasons",2975,96
"S08000024",2016-07-01,"18-74","Health and Social Care Reasons",2500,81
"S08000024",2016-07-01,"18-74","Patient and Family Related Reasons",0,0
"S08000024",2016-07-01,"18-74","Code 9 AWI",343,11
"S08000024",2016-07-01,"18-74","Code 9 Non-AWI",132,4
"S08000024",2016-07-01,"75plus","All Delay Reasons",6594,213
"S08000024",2016-07-01,"75plus","Health and Social Care Reasons",5805,187
"S08000024",2016-07-01,"75plus","Patient and Family Related Reasons",52,2
"S08000024",2016-07-01,"75plus","Code 9 AWI",656,21
"S08000024",2016-07-01,"75plus","Code 9 Non-AWI",81,3
"S08000025",2016-07-01,"18plus","All Delay Reasons",192,6
"S08000025",2016-07-01,"18plus","Health and Social Care Reasons",96,3
"S08000025",2016-07-01,"18plus","Patient and Family Related Reasons",0,0
"S08000025",2016-07-01,"18plus","Code 9 AWI",96,3
"S08000025",2016-07-01,"18plus","Code 9 Non-AWI",0,0
"S08000025",2016-07-01,"18-74","All Delay Reasons",65,2
"S08000025",2016-07-01,"18-74","Health and Social Care Reasons",34,1
"S08000025",2016-07-01,"18-74","Patient and Family Related Reasons",0,0
"S08000025",2016-07-01,"18-74","Code 9 AWI",31,1
"S08000025",2016-07-01,"18-74","Code 9 Non-AWI",0,0
"S08000025",2016-07-01,"75plus","All Delay Reasons",127,4
"S08000025",2016-07-01,"75plus","Health and Social Care Reasons",62,2
"S08000025",2016-07-01,"75plus","Patient and Family Related Reasons",0,0
"S08000025",2016-07-01,"75plus","Code 9 AWI",65,2
"S08000025",2016-07-01,"75plus","Code 9 Non-AWI",0,0
"S08000026",2016-07-01,"18plus","All Delay Reasons",164,5
"S08000026",2016-07-01,"18plus","Health and Social Care Reasons",164,5
"S08000026",2016-07-01,"18plus","Patient and Family Related Reasons",0,0
"S08000026",2016-07-01,"18plus","Code 9 AWI",0,0
"S08000026",2016-07-01,"18plus","Code 9 Non-AWI",0,0
"S08000026",2016-07-01,"18-74","All Delay Reasons",34,1
"S08000026",2016-07-01,"18-74","Health and Social Care Reasons",34,1
"S08000026",2016-07-01,"18-74","Patient and Family Related Reasons",0,0
"S08000026",2016-07-01,"18-74","Code 9 AWI",0,0
"S08000026",2016-07-01,"18-74","Code 9 Non-AWI",0,0
"S08000026",2016-07-01,"75plus","All Delay Reasons",130,4
"S08000026",2016-07-01,"75plus","Health and Social Care Reasons",130,4
"S08000026",2016-07-01,"75plus","Patient and Family Related Reasons",0,0
"S08000026",2016-07-01,"75plus","Code 9 AWI",0,0
"S08000026",2016-07-01,"75plus","Code 9 Non-AWI",0,0
"S08000028",2016-07-01,"18plus","All Delay Reasons",721,23
"S08000028",2016-07-01,"18plus","Health and Social Care Reasons",167,5
"S08000028",2016-07-01,"18plus","Patient and Family Related Reasons",24,1
"S08000028",2016-07-01,"18plus","Code 9 AWI",62,2
"S08000028",2016-07-01,"18plus","Code 9 Non-AWI",468,15
"S08000028",2016-07-01,"18-74","All Delay Reasons",93,3
"S08000028",2016-07-01,"18-74","Health and Social Care Reasons",62,2
"S08000028",2016-07-01,"18-74","Patient and Family Related Reasons",0,0
"S08000028",2016-07-01,"18-74","Code 9 AWI",0,0
"S08000028",2016-07-01,"18-74","Code 9 Non-AWI",31,1
"S08000028",2016-07-01,"75plus","All Delay Reasons",628,20
"S08000028",2016-07-01,"75plus","Health and Social Care Reasons",105,3
"S08000028",2016-07-01,"75plus","Patient and Family Related Reasons",24,1
"S08000028",2016-07-01,"75plus","Code 9 AWI",62,2
"S08000028",2016-07-01,"75plus","Code 9 Non-AWI",437,14
"S08000029",2016-07-01,"18plus","All Delay Reasons",3476,112
"S08000029",2016-07-01,"18plus","Health and Social Care Reasons",2760,89
