"ltla_code","date","age_group","delay_reason","num_delayed_bed_days","average_daily_delayed_beds"
"S12000005",2016-07-01,"18plus","All Delay Reasons",236,8
"S12000005",2016-07-01,"18plus","Health and Social Care Reasons",74,2
"S12000005",2016-07-01,"18plus","Patient and Family Related Reasons",0,0
"S12000005",2016-07-01,"18plus","Code 9 AWI",75,2
"S12000005",2016-07-01,"18plus","Code 9 Non-AWI",87,3
"S12000005",2016-07-01,"18-74","All Delay Reasons",118,4
"S12000005",2016-07-01,"18-74","Health and Social Care Reasons",0,0
"S12000005",2016-07-01,"18-74","Patient and Family Related Reasons",0,0
"S12000005",2016-07-01,"18-74","Code 9 AWI",31,1
"S12000005",2016-07-01,"18-74","Code 9 Non-AWI",87,3
"S12000005",2016-07-01,"75plus","All Delay Reasons",118,4
"S12000005",2016-07-01,"75plus","Health and Social Care Reasons",74,2
"S12000005",2016-07-01,"75plus","Patient and Family Related Reasons",0,0
"S12000005",2016-07-01,"75plus","Code 9 AWI",44,1
"S12000005",2016-07-01,"75plus","Code 9 Non-AWI",0,0
"S12000006",2016-07-01,"18plus","All Delay Reasons",1072,35
"S12000006",2016-07-01,"18plus","Health and Social Care Reasons",801,26
"S12000006",2016-07-01,"18plus","Patient and Family Related Reasons",0,0
"S12000006",2016-07-01,"18plus","Code 9 AWI",271,9
"S12000006",2016-07-01,"18plus","Code 9 Non-AWI",0,0
"S12000006",2016-07-01,"18-74","All Delay Reasons",280,9
"S12000006",2016-07-01,"18-74","Health and Social Care Reasons",223,7
"S12000006",2016-07-01,"18-74","Patient and Family Related Reasons",0,0
"S12000006",2016-07-01,"18-74","Code 9 AWI",57,2
"S12000006",2016-07-01,"18-74","Code 9 Non-AWI",0,0
"S12000006",2016-07-01,"75plus","All Delay Reasons",792,26
"S12000006",2016-07-01,"75plus","Health and Social Care Reasons",578,19
"S12000006",2016-07-01,"75plus","Patient and Family Related Reasons",0,0
"S12000006",2016-07-01,"75plus","Code 9 AWI",214,7
"S12000006",2016-07-01,"75plus","Code 9 Non-AWI",0,0
"S12000008",2016-07-01,"18plus","All Delay Reasons",501,16
"S12000008",2016-07-01,"18plus","Health and Social Care Reasons",147,5
"S12000008",2016-07-01,"18plus","Patient and Family Related Reasons",0,0
"S12000008",2016-07-01,"18plus","Code 9 AWI",228,7
"S12000008",2016-07-01,"18plus","Code 9 Non-AWI",126,4
"S12000008",2016-07-01,"18-74","All Delay Reasons",90,3
"S12000008",2016-07-01,"18-74","Health and Social Care Reasons",19,1
"S12000008",2016-07-01,"18-74","Patient and Family Related Reasons",0,0
"S12000008",2016-07-01,"18-74","Code 9 AWI",62,2
"S12000008",2016-07-01,"18-74","Code 9 Non-AWI",9,0
"S12000008",2016-07-01,"75plus","All Delay Reasons",411,13
