"hb19_code","date","year","month","specialty","waits_over_18_weeks_count","waits_over_18_weeks_percent"
"S08000015",2011-11-01,2011,"Nov","All Specialties",822,0.11878612716763
"S08000016",2011-11-01,2011,"Nov","All Specialties",193,0.0962593516209477
"S08000017",2011-11-01,2011,"Nov","All Specialties",280,0.0997150997150997
"S08000018",2011-11-01,2011,"Nov","All Specialties",289,0.0406870336477545
"S08000019",2011-11-01,2011,"Nov","All Specialties",394,0.0849137931034484
"S08000020",2011-11-01,2011,"Nov","All Specialties",775,0.0997297645090722
"S08000021",2011-11-01,2011,"Nov","All Specialties",4823,0.137981346913086
"S08000022",2011-11-01,2011,"Nov","All Specialties",520,0.0778676250374365
"S08000023",2011-11-01,2011,"Nov","All Specialties",616,0.0903358263675024
"S08000024",2011-11-01,2011,"Nov","All Specialties",1910,0.123688641367699
"S08000025",2011-11-01,2011,"Nov","All Specialties",2,0.0089285714285714
"S08000026",2011-11-01,2011,"Nov","All Specialties",15,0.0301204819277108
"S08000027",2011-11-01,2011,"Nov","All Specialties",417,0.0407863849765261
"S08000028",2011-11-01,2011,"Nov","All Specialties",44,0.136645962732919
"SB0801",2011-11-01,2011,"Nov","All Specialties",0,0
"S08000015",2011-12-01,2011,"Dec","All Specialties",556,0.0881280710096687
"S08000016",2011-12-01,2011,"Dec","All Specialties",154,0.0864197530864196
"S08000017",2011-12-01,2011,"Dec","All Specialties",148,0.0674259681093397
"S08000018",2011-12-01,2011,"Dec","All Specialties",369,0.0507286224910639
"S08000019",2011-12-01,2011,"Dec","All Specialties",333,0.0751693002257336
"S08000020",2011-12-01,2011,"Dec","All Specialties",649,0.0965055762081783
"S08000021",2011-12-01,2011,"Dec","All Specialties",2946,0.0982392957182872
"S08000022",2011-12-01,2011,"Dec","All Specialties",346,0.0642167780252412
"S08000023",2011-12-01,2011,"Dec","All Specialties",469,0.0592995321785308
"S08000024",2011-12-01,2011,"Dec","All Specialties",1458,0.104876996115667
"S08000025",2011-12-01,2011,"Dec","All Specialties",10,0.0469483568075115
"S08000026",2011-12-01,2011,"Dec","All Specialties",3,0.00666666666666682
"S08000027",2011-12-01,2011,"Dec","All Specialties",294,0.0289085545722712
"S08000028",2011-12-01,2011,"Dec","All Specialties",35,0.0821596244131456
"SB0801",2011-12-01,2011,"Dec","All Specialties",0,0
"S08000015",2012-01-01,2012,"Jan","All Specialties",566,0.0816974595842956
"S08000016",2012-01-01,2012,"Jan","All Specialties",252,0.0979401476875242
"S08000017",2012-01-01,2012,"Jan","All Specialties",149,0.0650655021834061
"S08000018",2012-01-01,2012,"Jan","All Specialties",305,0.0425977653631285
"S08000019",2012-01-01,2012,"Jan","All Specialties",449,0.097629919547728
"S08000020",2012-01-01,2012,"Jan","All Specialties",656,0.0961031350717845
"S08000021",2012-01-01,2012,"Jan","All Specialties",3156,0.0973503192572257
"S08000022",2012-01-01,2012,"Jan","All Specialties",420,0.0724262803931712
"S08000023",2012-01-01,2012,"Jan","All Specialties",655,0.0703846980442724
"S08000024",2012-01-01,2012,"Jan","All Specialties",1822,0.123183016699344
"S08000025",2012-01-01,2012,"Jan","All Specialties",6,0.0314136125654449
"S08000026",2012-01-01,2012,"Jan","All Specialties",7,0.015909090909091
"S08000027",2012-01-01,2012,"Jan","All Specialties",487,0.0470895378070005
"S08000028",2012-01-01,2012,"Jan","All Specialties",20,0.0454545454545456
"SB0801",2012-01-01,2012,"Jan","All Specialties",0,0
"S08000015",2012-02-01,2012,"Feb","All Specialties",525,0.0730688935281836
"S08000016",2012-02-01,2012,"Feb","All Specialties",270,0.0852003786683495
"S08000017",2012-02-01,2012,"Feb","All Specialties",164,0.0786570743405277
"S08000018",2012-02-01,2012,"Feb","All Specialties",450,0.057427258805513
"S08000019",2012-02-01,2012,"Feb","All Specialties",473,0.0908043770397389
"S08000020",2012-02-01,2012,"Feb","All Specialties",586,0.0838820498139136
"S08000021",2012-02-01,2012,"Feb","All Specialties",2924,0.091243836984335
"S08000022",2012-02-01,2012,"Feb","All Specialties",486,0.0808517717517884
"S08000023",2012-02-01,2012,"Feb","All Specialties",608,0.0675480502166423
"S08000024",2012-02-01,2012,"Feb","All Specialties",2086,0.137817124735729
"S08000025",2012-02-01,2012,"Feb","All Specialties",4,0.0186915887850467
"S08000026",2012-02-01,2012,"Feb","All Specialties",10,0.0211864406779659
"S08000027",2012-02-01,2012,"Feb","All Specialties",634,0.0572615606936416
"S08000028",2012-02-01,2012,"Feb","All Specialties",18,0.044334975369458
"SB0801",2012-02-01,2012,"Feb","All Specialties",0,0
"S08000015",2012-03-01,2012,"Mar","All Specialties",548,0.0779405489972976
"S08000016",2012-03-01,2012,"Mar","All Specialties",227,0.0788742182070883
"S08000017",2012-03-01,2012,"Mar","All Specialties",70,0.0294985250737464
"S08000018",2012-03-01,2012,"Mar","All Specialties",477,0.05756698044895
"S08000019",2012-03-01,2012,"Mar","All Specialties",645,0.0972264094060898
"S08000020",2012-03-01,2012,"Mar","All Specialties",712,0.087351245245982
"S08000021",2012-03-01,2012,"Mar","All Specialties",2962,0.08902380379899
"S08000022",2012-03-01,2012,"Mar","All Specialties",303,0.0506012024048096
"S08000023",2012-03-01,2012,"Mar","All Specialties",433,0.0498503338705965
"S08000024",2012-03-01,2012,"Mar","All Specialties",2324,0.147163120567376
"S08000025",2012-03-01,2012,"Mar","All Specialties",2,0.00706713780918722
"S08000026",2012-03-01,2012,"Mar","All Specialties",7,0.0132075471698111
"S08000027",2012-03-01,2012,"Mar","All Specialties",693,0.0641073080481036
"S08000028",2012-03-01,2012,"Mar","All Specialties",18,0.0420560747663551
"SB0801",2012-03-01,2012,"Mar","All Specialties",0,0
"S08000015",2012-04-01,2012,"Apr","All Specialties",450,0.0761421319796957
"S08000016",2012-04-01,2012,"Apr","All Specialties",182,0.0712607674236492
"S08000017",2012-04-01,2012,"Apr","All Specialties",84,0.0351906158357772
"S08000018",2012-04-01,2012,"Apr","All Specialties",333,0.047395388556789
"S08000019",2012-04-01,2012,"Apr","All Specialties",491,0.0953953759471535
"S08000020",2012-04-01,2012,"Apr","All Specialties",585,0.0842211344658795
"S08000021",2012-04-01,2012,"Apr","All Specialties",2379,0.0828054298642535
"S08000022",2012-04-01,2012,"Apr","All Specialties",260,0.048085814684668
"S08000023",2012-04-01,2012,"Apr","All Specialties",494,0.0655085532422756
"S08000024",2012-04-01,2012,"Apr","All Specialties",1763,0.128968544257498
"S08000025",2012-04-01,2012,"Apr","All Specialties",5,0.0292397660818716
"S08000026",2012-04-01,2012,"Apr","All Specialties",12,0.0197368421052632
"S08000027",2012-04-01,2012,"Apr","All Specialties",571,0.0622750572581523
"S08000028",2012-04-01,2012,"Apr","All Specialties",17,0.0543130990415337
"SB0801",2012-04-01,2012,"Apr","All Specialties",0,0
"S08000015",2012-05-01,2012,"May","All Specialties",486,0.0666027134438812
"S08000016",2012-05-01,2012,"May","All Specialties",156,0.0465116279069768
"S08000017",2012-05-01,2012,"May","All Specialties",173,0.050957290132548
"S08000018",2012-05-01,2012,"May","All Specialties",447,0.0538294797687859
"S08000019",2012-05-01,2012,"May","All Specialties",616,0.0912998369645769
"S08000020",2012-05-01,2012,"May","All Specialties",634,0.0767182962245886
"S08000021",2012-05-01,2012,"May","All Specialties",2547,0.07515269540586
"S08000022",2012-05-01,2012,"May","All Specialties",350,0.0537221795855716
"S08000023",2012-05-01,2012,"May","All Specialties",464,0.0490175364462285
"S08000024",2012-05-01,2012,"May","All Specialties",2072,0.12737443904838
"S08000025",2012-05-01,2012,"May","All Specialties",9,0.032258064516129
"S08000026",2012-05-01,2012,"May","All Specialties",7,0.0133079847908744
"S08000027",2012-05-01,2012,"May","All Specialties",503,0.0733770970094819
"S08000028",2012-05-01,2012,"May","All Specialties",20,0.0486618004866181
"SB0801",2012-05-01,2012,"May","All Specialties",0,0
"S08000015",2012-06-01,2012,"Jun","All Specialties",525,0.0793890821109936
"S08000016",2012-06-01,2012,"Jun","All Specialties",101,0.0374074074074077
"S08000017",2012-06-01,2012,"Jun","All Specialties",124,0.0452224653537564
"S08000018",2012-06-01,2012,"Jun","All Specialties",443,0.0577048326169076
"S08000019",2012-06-01,2012,"Jun","All Specialties",663,0.116193480546793
"S08000020",2012-06-01,2012,"Jun","All Specialties",612,0.0835152838427947
"S08000021",2012-06-01,2012,"Jun","All Specialties",2151,0.0782409428197292
"S08000022",2012-06-01,2012,"Jun","All Specialties",277,0.0449821370574864
"S08000023",2012-06-01,2012,"Jun","All Specialties",432,0.0535050780282389
"S08000024",2012-06-01,2012,"Jun","All Specialties",1609,0.10981435981436
"S08000025",2012-06-01,2012,"Jun","All Specialties",13,0.049808429118774
"S08000026",2012-06-01,2012,"Jun","All Specialties",9,0.0170777988614801
"S08000027",2012-06-01,2012,"Jun","All Specialties",621,0.0636988409067597
"S08000028",2012-06-01,2012,"Jun","All Specialties",8,0.0238805970149254
"SB0801",2012-06-01,2012,"Jun","All Specialties",0,0
"S08000015",2012-07-01,2012,"Jul","All Specialties",545,0.0848249027237354
"S08000016",2012-07-01,2012,"Jul","All Specialties",112,0.0388484217828651
"S08000017",2012-07-01,2012,"Jul","All Specialties",161,0.0674769488683989
"S08000018",2012-07-01,2012,"Jul","All Specialties",430,0.055627425614489
"S08000019",2012-07-01,2012,"Jul","All Specialties",827,0.147836968180193
"S08000020",2012-07-01,2012,"Jul","All Specialties",588,0.0899495181275816
"S08000021",2012-07-01,2012,"Jul","All Specialties",2313,0.0801927677426064
"S08000022",2012-07-01,2012,"Jul","All Specialties",271,0.0441008950366153
"S08000023",2012-07-01,2012,"Jul","All Specialties",420,0.0534623217922607
"S08000024",2012-07-01,2012,"Jul","All Specialties",1847,0.12977796514896
"S08000025",2012-07-01,2012,"Jul","All Specialties",13,0.049808429118774
"S08000026",2012-07-01,2012,"Jul","All Specialties",6,0.014423076923077
"S08000027",2012-07-01,2012,"Jul","All Specialties",698,0.0771355950933804
"S08000028",2012-07-01,2012,"Jul","All Specialties",8,0.0271186440677968
"SB0801",2012-07-01,2012,"Jul","All Specialties",1,0.0104166666666665
"S08000015",2012-08-01,2012,"Aug","All Specialties",690,0.0963283540416026
"S08000016",2012-08-01,2012,"Aug","All Specialties",164,0.055163134880592
"S08000017",2012-08-01,2012,"Aug","All Specialties",188,0.0733515411627
"S08000018",2012-08-01,2012,"Aug","All Specialties",484,0.0591976516634053
"S08000019",2012-08-01,2012,"Aug","All Specialties",804,0.129094412331407
"S08000020",2012-08-01,2012,"Aug","All Specialties",685,0.0868738110336083
"S08000021",2012-08-01,2012,"Aug","All Specialties",2920,0.0861306117633178
"S08000022",2012-08-01,2012,"Aug","All Specialties",304,0.0433171843830152
"S08000023",2012-08-01,2012,"Aug","All Specialties",576,0.0673133107397451
"S08000024",2012-08-01,2012,"Aug","All Specialties",2040,0.123793919533952
"S08000025",2012-08-01,2012,"Aug","All Specialties",3,0.0138248847926268
"S08000026",2012-08-01,2012,"Aug","All Specialties",9,0.0147058823529411
"S08000027",2012-08-01,2012,"Aug","All Specialties",847,0.0792848450809696
"S08000028",2012-08-01,2012,"Aug","All Specialties",18,0.0486486486486486
"SB0801",2012-08-01,2012,"Aug","All Specialties",0,0
"S08000015",2012-09-01,2012,"Sep","All Specialties",661,0.104357436059362
"S08000016",2012-09-01,2012,"Sep","All Specialties",152,0.0572504708097928
"S08000017",2012-09-01,2012,"Sep","All Specialties",199,0.079695634761714
"S08000018",2012-09-01,2012,"Sep","All Specialties",469,0.0612591431556947
"S08000019",2012-09-01,2012,"Sep","All Specialties",933,0.168624615940719
"S08000020",2012-09-01,2012,"Sep","All Specialties",644,0.0993673815769172
"S08000021",2012-09-01,2012,"Sep","All Specialties",2429,0.0847966486297784
"S08000022",2012-09-01,2012,"Sep","All Specialties",354,0.0583965687891783
"S08000023",2012-09-01,2012,"Sep","All Specialties",423,0.0540367910066428
"S08000024",2012-09-01,2012,"Sep","All Specialties",1846,0.129344170403587
"S08000025",2012-09-01,2012,"Sep","All Specialties",6,0.024390243902439
"S08000026",2012-09-01,2012,"Sep","All Specialties",7,0.0143737166324436
"S08000027",2012-09-01,2012,"Sep","All Specialties",963,0.0960215375411307
"S08000028",2012-09-01,2012,"Sep","All Specialties",28,0.0565656565656566
"SB0801",2012-09-01,2012,"Sep","All Specialties",0,0
"S08000015",2012-10-01,2012,"Oct","All Specialties",680,0.0925044211671882
"S08000016",2012-10-01,2012,"Oct","All Specialties",129,0.0437139952558456
"S08000017",2012-10-01,2012,"Oct","All Specialties",173,0.0699272433306386
"S08000018",2012-10-01,2012,"Oct","All Specialties",575,0.074347039048358
"S08000019",2012-10-01,2012,"Oct","All Specialties",1032,0.162647754137116
"S08000020",2012-10-01,2012,"Oct","All Specialties",819,0.106088082901554
"S08000021",2012-10-01,2012,"Oct","All Specialties",3024,0.0913098617066248
"S08000022",2012-10-01,2012,"Oct","All Specialties",364,0.0551765954221617
"S08000023",2012-10-01,2012,"Oct","All Specialties",594,0.0635362070809713
"S08000024",2012-10-01,2012,"Oct","All Specialties",1907,0.115652859482079
"S08000025",2012-10-01,2012,"Oct","All Specialties",5,0.0223214285714286
"S08000026",2012-10-01,2012,"Oct","All Specialties",10,0.017211703958692
"S08000027",2012-10-01,2012,"Oct","All Specialties",968,0.0944390243902439
"S08000028",2012-10-01,2012,"Oct","All Specialties",15,0.032051282051282
"SB0801",2012-10-01,2012,"Oct","All Specialties",0,0
"S08000015",2012-11-01,2012,"Nov","All Specialties",726,0.099711578079934
"S08000016",2012-11-01,2012,"Nov","All Specialties",173,0.0645763344531539
"S08000017",2012-11-01,2012,"Nov","All Specialties",171,0.0663819875776396
"S08000018",2012-11-01,2012,"Nov","All Specialties",682,0.0813163228806486
"S08000019",2012-11-01,2012,"Nov","All Specialties",1147,0.180886295536982
"S08000020",2012-11-01,2012,"Nov","All Specialties",766,0.0940223395114766
"S08000021",2012-11-01,2012,"Nov","All Specialties",3019,0.0909638735725692
"S08000022",2012-11-01,2012,"Nov","All Specialties",438,0.0631032992364211
"S08000023",2012-11-01,2012,"Nov","All Specialties",422,0.0454692382286391
"S08000024",2012-11-01,2012,"Nov","All Specialties",2222,0.135877209074788
"S08000025",2012-11-01,2012,"Nov","All Specialties",4,0.013986013986014
"S08000026",2012-11-01,2012,"Nov","All Specialties",14,0.023931623931624
"S08000027",2012-11-01,2012,"Nov","All Specialties",1064,0.0997468829099091
"S08000028",2012-11-01,2012,"Nov","All Specialties",19,0.0387755102040817
"SB0801",2012-11-01,2012,"Nov","All Specialties",1,0.00649350649350633
"S08000015",2012-12-01,2012,"Dec","All Specialties",496,0.0817807089859851
"S08000016",2012-12-01,2012,"Dec","All Specialties",154,0.0686886708296164
"S08000017",2012-12-01,2012,"Dec","All Specialties",119,0.058133854421104
"S08000018",2012-12-01,2012,"Dec","All Specialties",527,0.0812769895126464
"S08000019",2012-12-01,2012,"Dec","All Specialties",881,0.1674586580498
"S08000020",2012-12-01,2012,"Dec","All Specialties",577,0.09440445026178
"S08000021",2012-12-01,2012,"Dec","All Specialties",2123,0.0838832036034611
"S08000022",2012-12-01,2012,"Dec","All Specialties",360,0.0627724498692239
"S08000023",2012-12-01,2012,"Dec","All Specialties",464,0.0570866141732285
"S08000024",2012-12-01,2012,"Dec","All Specialties",1633,0.124286475378644
"S08000025",2012-12-01,2012,"Dec","All Specialties",2,0.0100502512562817
"S08000026",2012-12-01,2012,"Dec","All Specialties",12,0.026431718061674
"S08000027",2012-12-01,2012,"Dec","All Specialties",851,0.0954142841125687
"S08000028",2012-12-01,2012,"Dec","All Specialties",19,0.0490956072351422
"SB0801",2012-12-01,2012,"Dec","All Specialties",0,0
"S08000015",2013-01-01,2013,"Jan","All Specialties",628,0.0862992991617424
"S08000016",2013-01-01,2013,"Jan","All Specialties",230,0.0863363363363363
"S08000017",2013-01-01,2013,"Jan","All Specialties",161,0.0671672924488944
"S08000018",2013-01-01,2013,"Jan","All Specialties",633,0.0827126617012937
"S08000019",2013-01-01,2013,"Jan","All Specialties",1090,0.196431789511624
"S08000020",2013-01-01,2013,"Jan","All Specialties",743,0.104987989260986
"S08000021",2013-01-01,2013,"Jan","All Specialties",2687,0.0890560784833621
"S08000022",2013-01-01,2013,"Jan","All Specialties",467,0.0711023142509135
"S08000023",2013-01-01,2013,"Jan","All Specialties",402,0.0467604978480864
"S08000024",2013-01-01,2013,"Jan","All Specialties",1805,0.119079034173374
"S08000025",2013-01-01,2013,"Jan","All Specialties",4,0.0186915887850467
"S08000026",2013-01-01,2013,"Jan","All Specialties",17,0.0335305719921104
"S08000027",2013-01-01,2013,"Jan","All Specialties",1057,0.100427553444181
"S08000028",2013-01-01,2013,"Jan","All Specialties",27,0.0597345132743363
"SB0801",2013-01-01,2013,"Jan","All Specialties",0,0
"S08000015",2013-02-01,2013,"Feb","All Specialties",665,0.09416595865194
"S08000016",2013-02-01,2013,"Feb","All Specialties",236,0.0961695191524042
"S08000017",2013-02-01,2013,"Feb","All Specialties",172,0.0728813559322031
"S08000018",2013-02-01,2013,"Feb","All Specialties",658,0.0868188415358226
"S08000019",2013-02-01,2013,"Feb","All Specialties",950,0.176678445229682
"S08000020",2013-02-01,2013,"Feb","All Specialties",685,0.105971534653465
"S08000021",2013-02-01,2013,"Feb","All Specialties",2504,0.0899102333931778
"S08000022",2013-02-01,2013,"Feb","All Specialties",454,0.0713836477987422
"S08000023",2013-02-01,2013,"Feb","All Specialties",439,0.0508631676514888
"S08000024",2013-02-01,2013,"Feb","All Specialties",1765,0.1239727470675
"S08000025",2013-02-01,2013,"Feb","All Specialties",2,0.0136986301369864
"S08000026",2013-02-01,2013,"Feb","All Specialties",21,0.0368421052631579
"S08000027",2013-02-01,2013,"Feb","All Specialties",996,0.100150829562594
"S08000028",2013-02-01,2013,"Feb","All Specialties",24,0.0560747663551402
"SB0801",2013-02-01,2013,"Feb","All Specialties",0,0
"S08000015",2013-03-01,2013,"Mar","All Specialties",518,0.0788432267884321
"S08000016",2013-03-01,2013,"Mar","All Specialties",242,0.092155369383092
