"lhb22_code","lhb22_name","date","delay_reason","delay_count"
"W11000023","Betsi Cadwaladr University Health Board",2023-08-01,"Awaiting start of new home care package",44
"W11000025","Hywel Dda University Health Board",2023-08-01,"Awaiting start of new home care package",30
"W11000023","Betsi Cadwaladr University Health Board",2023-08-01,"Awaiting Social worker allocation",19
"W11000031","Swansea Bay University Health Board",2023-08-01,"Awaiting joint assessment",16
"W11000023","Betsi Cadwaladr University Health Board",2023-08-01,"Awaiting joint assessment",36
"W11000023","Betsi Cadwaladr University Health Board",2023-08-01,"No suitable abode",5
"W11000023","Betsi Cadwaladr University Health Board",2023-08-01,"Awaiting extra care/supported living availability",3
"W11000023","Betsi Cadwaladr University Health Board",2023-08-01,"Awaiting completion of assessment Nursing",61
"W11000025","Hywel Dda University Health Board",2023-08-01,"Awaiting RH availability",18
"W11000023","Betsi Cadwaladr University Health Board",2023-08-01,"Awaiting RH availability",20
"W11000023","Betsi Cadwaladr University Health Board",2023-08-01,"Awaiting completion of assessment by social care",23
"W11000024","Powys Teaching Health Board",2023-08-01,"Awaiting funding decision FNC/CHC",8
"W11000025","Hywel Dda University Health Board",2023-08-01,"Awaiting Social worker allocation",33
"W11000023","Betsi Cadwaladr University Health Board",2023-08-01,"Awaiting Residential care home manager to visit and assess (Standard 3 residential)",17
"W11000023","Betsi Cadwaladr University Health Board",2023-08-01,"Awaiting completion of adaptations (DFG's)",2
"W11000023","Betsi Cadwaladr University Health Board",2023-08-01,"Awaiting health completion of assessment/provision for equipment",11
"W11000023","Betsi Cadwaladr University Health Board",2023-08-01,"Awaiting EMI residential availability",19
"W11000023","Betsi Cadwaladr University Health Board",2023-08-01,"Awaiting EMI nursing availability",8
"W11000023","Betsi Cadwaladr University Health Board",2023-08-01,"Awaiting completion of arrangements prior to placement",4
"W11000023","Betsi Cadwaladr University Health Board",2023-08-01,"Awaiting NH availability",16
"W11000023","Betsi Cadwaladr University Health Board",2023-08-01,"Mental Capacity / Court of Protection delays",1
"W11000023","Betsi Cadwaladr University Health Board",2023-08-01,"Awaiting funding decision",5
"W11000023","Betsi Cadwaladr University Health Board",2023-08-01,"Homeless",4
"W11000023","Betsi Cadwaladr University Health Board",2023-08-01,"Awaiting Nursing care home manager to visit and assess (Standard 3 residential)",8
"W11000031","Swansea Bay University Health Board",2023-08-01,"Awaiting completion of assessment by social care",32
"W11000031","Swansea Bay University Health Board",2023-08-01,"Homeless",3
"W11000031","Swansea Bay University Health Board",2023-08-01,"Mental Capacity / Court of Protection delays",4
"W11000031","Swansea Bay University Health Board",2023-08-01,"Awaiting integrated health /social care community provision",3
"W11000025","Hywel Dda University Health Board",2023-08-01,"Awaiting health completion of assessment/provision for equipment",4
"W11000031","Swansea Bay University Health Board",2023-08-01,"Awaiting Mental Health bed",2
"W11000031","Swansea Bay University Health Board",2023-08-01,"Patient / family choice related issues",8
"W11000031","Swansea Bay University Health Board",2023-08-01,"Awaiting Community Resource capacity",1
"W11000031","Swansea Bay University Health Board",2023-08-01,"Awaiting RH availability",6
"W11000031","Swansea Bay University Health Board",2023-08-01,"Disputes between agencies",2
"W11000031","Swansea Bay University Health Board",2023-08-01,"Awaiting Nursing care home manager to visit and assess (Standard 3 residential)",4
"W11000025","Hywel Dda University Health Board",2023-08-01,"Mental Capacity / Court of Protection delays",5
"W11000031","Swansea Bay University Health Board",2023-08-01,"Awaiting transfer to intermediate care bedded facility",10
"W11000031","Swansea Bay University Health Board",2023-08-01,"Awaiting start of new home care package",27
"W11000031","Swansea Bay University Health Board",2023-08-01,"Awaiting restart of previous home care package",4
"W11000031","Swansea Bay University Health Board",2023-08-01,"Awaiting EMI nursing availability",9
