"date","hospital_code","hospital_name","specialism","daily_beds_available","daily_beds_occupied","beds_occupancy_rate"
"Jan-21","7A1A2","Abergele Hospital","all_specialties",34.799999,6.1,17.5287
"Feb-21","7A1A2","Abergele Hospital","all_specialties",36,6.6,18.3333
"Mar-21","7A1A2","Abergele Hospital","all_specialties",32.5,8,24.6154
"Apr-21","7A1A2","Abergele Hospital","all_specialties",36,8.6,23.8889
"May-21","7A1A2","Abergele Hospital","all_specialties",36,7.6,21.1111
"Jun-21","7A1A2","Abergele Hospital","all_specialties",36,6.4,17.7778
"Jul-21","7A1A2","Abergele Hospital","all_specialties",36,5.6,15.5556
"Aug-21","7A1A2","Abergele Hospital","all_specialties",36.000001,7.7,21.3889
"Sep-21","7A1A2","Abergele Hospital","all_specialties",36,10.7,29.7222
"Oct-21","7A1A2","Abergele Hospital","all_specialties",36,15,41.6667
"Nov-21","7A1A2","Abergele Hospital","all_specialties",36,19.6,54.4444
"Dec-21","7A1A2","Abergele Hospital","all_specialties",36,11.1,30.8333
"Jan-22","7A1A2","Abergele Hospital","all_specialties",32.2,12.6,39.1304
"Feb-22","7A1A2","Abergele Hospital","all_specialties",36,5.3,14.7222
"Mar-22","7A1A2","Abergele Hospital","all_specialties",36,4.6,12.7778
"Apr-22","7A1A2","Abergele Hospital","all_specialties",36,12.3,34.1667
"May-22","7A1A2","Abergele Hospital","all_specialties",36,14.1,39.1667
"Jun-22","7A1A2","Abergele Hospital","all_specialties",36,12,33.3333
"Jul-22","7A1A2","Abergele Hospital","all_specialties",36,12.4,34.4444
"Aug-22","7A1A2","Abergele Hospital","all_specialties",36,12.9,35.8333
"Sep-22","7A1A2","Abergele Hospital","all_specialties",36,10.5,29.1667
"Oct-22","7A1A2","Abergele Hospital","all_specialties",36,13.2,36.6667
"Nov-22","7A1A2","Abergele Hospital","all_specialties",36,12.8,35.5556
"Dec-22","7A1A2","Abergele Hospital","all_specialties",36,14.8,41.1111
"Jan-23","7A1A2","Abergele Hospital","all_specialties",36,5,13.8889
"Feb-23","7A1A2","Abergele Hospital","all_specialties",24,5.4,22.5
"Mar-23","7A1A2","Abergele Hospital","all_specialties",36,8.6,23.8889
"Jan-21","7A1A2","Abergele Hospital","mental_illness",11.7,6.1,52.1368
"Feb-21","7A1A2","Abergele Hospital","mental_illness",12,6.6,55
"Mar-21","7A1A2","Abergele Hospital","mental_illness",10.8,8,74.0741
"Apr-21","7A1A2","Abergele Hospital","mental_illness",12,8.6,71.6667
"May-21","7A1A2","Abergele Hospital","mental_illness",12,7.6,63.3333
"Jun-21","7A1A2","Abergele Hospital","mental_illness",12,6.4,53.3333
"Jul-21","7A1A2","Abergele Hospital","mental_illness",12,5.1,42.5
"Aug-21","7A1A2","Abergele Hospital","mental_illness",12.3,5.9,47.9675
"Sep-21","7A1A2","Abergele Hospital","mental_illness",12,4.1,34.1667
"Oct-21","7A1A2","Abergele Hospital","mental_illness",12,8,66.6667
"Nov-21","7A1A2","Abergele Hospital","mental_illness",12,6.3,52.5
"Dec-21","7A1A2","Abergele Hospital","mental_illness",12,5.8,48.3333
"Jan-22","7A1A2","Abergele Hospital","mental_illness",12,6.1,50.8333
"Feb-22","7A1A2","Abergele Hospital","mental_illness",12,5.3,44.1667
"Mar-22","7A1A2","Abergele Hospital","mental_illness",12,4.6,38.3333
"Apr-22","7A1A2","Abergele Hospital","mental_illness",12,3,25
"May-22","7A1A2","Abergele Hospital","mental_illness",12,5.7,47.5
"Jun-22","7A1A2","Abergele Hospital","mental_illness",12,6.5,54.1667
"Jul-22","7A1A2","Abergele Hospital","mental_illness",12,5.8,48.3333
"Aug-22","7A1A2","Abergele Hospital","mental_illness",12,6.4,53.3333
"Sep-22","7A1A2","Abergele Hospital","mental_illness",12,6.8,56.6667
"Oct-22","7A1A2","Abergele Hospital","mental_illness",12,6.5,54.1667
"Nov-22","7A1A2","Abergele Hospital","mental_illness",12,4.1,34.1667
"Dec-22","7A1A2","Abergele Hospital","mental_illness",12,5.5,45.8333
"Jan-23","7A1A2","Abergele Hospital","mental_illness",12,5,41.6667
"Mar-23","7A1A2","Abergele Hospital","mental_illness",12,3,25
"Jan-21","7A1A2","Abergele Hospital","surgical_acute",23.099999,0,0
"Feb-21","7A1A2","Abergele Hospital","surgical_acute",24,0,0
"Mar-21","7A1A2","Abergele Hospital","surgical_acute",21.699999,0,0
"Apr-21","7A1A2","Abergele Hospital","surgical_acute",24,0,0
"May-21","7A1A2","Abergele Hospital","surgical_acute",24,0,0
"Jun-21","7A1A2","Abergele Hospital","surgical_acute",24,0,0
