"ltla21_code","total_population","legal_partnership","n","prop"
"W06000001",57147,"Never married and never registered a civil partnership; measures: Value",18849,"0.329833587065"
"W06000001",57147,"Married or in a registered civil partnership; measures: Value",26596,"0.465396258771"
"W06000001",57147,"Married or in a registered civil partnership: Married; measures: Value",26478,"0.463331408473"
"W06000001",57147,"Married or in a registered civil partnership: Married: Opposite sex; measures: Value",26394,"0.461861515040"
"W06000001",57147,"Married or in a registered civil partnership: Married: Same sex; measures: Value",84,"0.001469893433"
"W06000001",57147,"Married or in a registered civil partnership: In a registered civil partnership; measures: Value",118,"0.002064850298"
"W06000001",57147,"Married or in a registered civil partnership: In a registered civil partnership: Opposite sex; measures: Value",38,"0.000664951791"
"W06000001",57147,"Married or in a registered civil partnership: In a registered civil partnership: Same sex; measures: Value",80,"0.001399898507"
"W06000001",57147,"Separated, but still legally married or still legally in a civil partnership; measures: Value",1066,"0.018653647611"
"W06000001",57147,"Separated, but still legally married or still legally in a civil partnership: Separated, but still married; measures: Value",1062,"0.018583652685"
"W06000001",57147,"Separated, but still legally married or still legally in a civil partnership: Separated, but still in a registered civil partnership; measures: Value",4,"0.000069994925"
"W06000001",57147,"Divorced or civil partnership dissolved; measures: Value",5957,"0.104239942604"
"W06000001",57147,"Divorced or civil partnership dissolved: Divorced; measures: Value",5947,"0.104064955291"
"W06000001",57147,"Divorced or civil partnership dissolved: Formerly in a civil partnership now legally dissolved; measures: Value",10,"0.000174987313"
"W06000001",57147,"Widowed or surviving civil partnership partner; measures: Value",4679,"0.081876563949"
"W06000001",57147,"Widowed or surviving civil partnership partner: Widowed; measures: Value",4672,"0.081754072830"
"W06000001",57147,"Widowed or surviving civil partnership partner: Surviving partner from civil partnership; measures: Value",7,"0.000122491119"
"W06000002",97969,"Never married and never registered a civil partnership; measures: Value",39248,"0.400616521553"
"W06000002",97969,"Married or in a registered civil partnership; measures: Value",40654,"0.414968000082"
"W06000002",97969,"Married or in a registered civil partnership: Married; measures: Value",40409,"0.412467209015"
"W06000002",97969,"Married or in a registered civil partnership: Married: Opposite sex; measures: Value",40209,"0.410425746920"
"W06000002",97969,"Married or in a registered civil partnership: Married: Same sex; measures: Value",200,"0.002041462095"
"W06000002",97969,"Married or in a registered civil partnership: In a registered civil partnership; measures: Value",245,"0.002500791067"
"W06000002",97969,"Married or in a registered civil partnership: In a registered civil partnership: Opposite sex; measures: Value",94,"0.000959487185"
"W06000002",97969,"Married or in a registered civil partnership: In a registered civil partnership: Same sex; measures: Value",151,"0.001541303882"
"W06000002",97969,"Separated, but still legally married or still legally in a civil partnership; measures: Value",1712,"0.017474915535"
"W06000002",97969,"Separated, but still legally married or still legally in a civil partnership: Separated, but still married; measures: Value",1706,"0.017413671672"
"W06000002",97969,"Separated, but still legally married or still legally in a civil partnership: Separated, but still in a registered civil partnership; measures: Value",6,"0.000061243863"
"W06000002",97969,"Divorced or civil partnership dissolved; measures: Value",9040,"0.092274086701"
"W06000002",97969,"Divorced or civil partnership dissolved: Divorced; measures: Value",9033,"0.092202635528"
"W06000002",97969,"Divorced or civil partnership dissolved: Formerly in a civil partnership now legally dissolved; measures: Value",7,"0.000071451173"
"W06000002",97969,"Widowed or surviving civil partnership partner; measures: Value",7315,"0.074666476130"
"W06000002",97969,"Widowed or surviving civil partnership partner: Widowed; measures: Value",7303,"0.074543988404"
"W06000002",97969,"Widowed or surviving civil partnership partner: Surviving partner from civil partnership; measures: Value",12,"0.000122487726"
"W06000003",96366,"Never married and never registered a civil partnership; measures: Value",31279,"0.324585434697"
"W06000003",96366,"Married or in a registered civil partnership; measures: Value",43990,"0.456488803105"
"W06000003",96366,"Married or in a registered civil partnership: Married; measures: Value",43791,"0.454423759417"
"W06000003",96366,"Married or in a registered civil partnership: Married: Opposite sex; measures: Value",43520,"0.451611564245"
"W06000003",96366,"Married or in a registered civil partnership: Married: Same sex; measures: Value",271,"0.002812195173"
"W06000003",96366,"Married or in a registered civil partnership: In a registered civil partnership; measures: Value",199,"0.002065043688"
"W06000003",96366,"Married or in a registered civil partnership: In a registered civil partnership: Opposite sex; measures: Value",56,"0.000581117822"
"W06000003",96366,"Married or in a registered civil partnership: In a registered civil partnership: Same sex; measures: Value",143,"0.001483925866"
"W06000003",96366,"Separated, but still legally married or still legally in a civil partnership; measures: Value",2061,"0.021387211257"
"W06000003",96366,"Separated, but still legally married or still legally in a civil partnership: Separated, but still married; measures: Value",2052,"0.021293817321"
"W06000003",96366,"Separated, but still legally married or still legally in a civil partnership: Separated, but still in a registered civil partnership; measures: Value",9,"0.000093393936"
"W06000003",96366,"Divorced or civil partnership dissolved; measures: Value",10732,"0.111367079675"
"W06000003",96366,"Divorced or civil partnership dissolved: Divorced; measures: Value",10712,"0.111159537596"
"W06000003",96366,"Divorced or civil partnership dissolved: Formerly in a civil partnership now legally dissolved; measures: Value",20,"0.000207542079"
"W06000003",96366,"Widowed or surviving civil partnership partner; measures: Value",8304,"0.086171471266"
"W06000003",96366,"Widowed or surviving civil partnership partner: Widowed; measures: Value",8287,"0.085995060499"
"W06000003",96366,"Widowed or surviving civil partnership partner: Surviving partner from civil partnership; measures: Value",17,"0.000176410767"
"W06000004",78908,"Never married and never registered a civil partnership; measures: Value",27100,"0.343437927713"
"W06000004",78908,"Married or in a registered civil partnership; measures: Value",35141,"0.445341410250"
"W06000004",78908,"Married or in a registered civil partnership: Married; measures: Value",34968,"0.443148983627"
"W06000004",78908,"Married or in a registered civil partnership: Married: Opposite sex; measures: Value",34794,"0.440943884017"
"W06000004",78908,"Married or in a registered civil partnership: Married: Same sex; measures: Value",174,"0.002205099610"
"W06000004",78908,"Married or in a registered civil partnership: In a registered civil partnership; measures: Value",173,"0.002192426623"
"W06000004",78908,"Married or in a registered civil partnership: In a registered civil partnership: Opposite sex; measures: Value",56,"0.000709687231"
"W06000004",78908,"Married or in a registered civil partnership: In a registered civil partnership: Same sex; measures: Value",117,"0.001482739393"
"W06000004",78908,"Separated, but still legally married or still legally in a civil partnership; measures: Value",1801,"0.022824048259"
"W06000004",78908,"Separated, but still legally married or still legally in a civil partnership: Separated, but still married; measures: Value",1791,"0.022697318396"
"W06000004",78908,"Separated, but still legally married or still legally in a civil partnership: Separated, but still in a registered civil partnership; measures: Value",10,"0.000126729863"
"W06000004",78908,"Divorced or civil partnership dissolved; measures: Value",8631,"0.109380544431"
"W06000004",78908,"Divorced or civil partnership dissolved: Divorced; measures: Value",8617,"0.109203122624"
"W06000004",78908,"Divorced or civil partnership dissolved: Formerly in a civil partnership now legally dissolved; measures: Value",14,"0.000177421808"
"W06000004",78908,"Widowed or surviving civil partnership partner; measures: Value",6235,"0.079016069347"
"W06000004",78908,"Widowed or surviving civil partnership partner: Widowed; measures: Value",6228,"0.078927358443"
