"lhb22_code","lhb22_name","date","pathway_stage","waits_over_18_weeks","waits_over_53_weeks","total_waits"
"W11000023","Betsi Cadwaladr University LHB",2019-01-01,"Waiting for new OP appointment",11753,238,46314
"W11000024","Powys Teaching LHB",2019-01-01,"Waiting for new OP appointment",51,NA,2213
"W11000025","Hywel Dda LHB",2019-01-01,"Waiting for new OP appointment",7204,29,35655
"W11000026","Abertawe Bro Morgannwg University LHB",2019-01-01,"Waiting for new OP appointment",7081,NA,41006
"W11000027","Cwm Taf LHB",2019-01-01,"Waiting for new OP appointment",4460,NA,22173
"W11000028","Aneurin Bevan LHB",2019-01-01,"Waiting for new OP appointment",11300,NA,49605
"W11000029","Cardiff and Vale University LHB",2019-01-01,"Waiting for new OP appointment",13565,NA,47800
"W11000023","Betsi Cadwaladr University LHB",2019-02-01,"Waiting for new OP appointment",11729,325,46447
"W11000024","Powys Teaching LHB",2019-02-01,"Waiting for new OP appointment",64,NA,2324
"W11000025","Hywel Dda LHB",2019-02-01,"Waiting for new OP appointment",7049,7,35830
"W11000029","Cardiff and Vale University LHB",2019-02-01,"Waiting for new OP appointment",13296,NA,47884
"W11000026","Abertawe Bro Morgannwg University LHB",2019-02-01,"Waiting for new OP appointment",7717,NA,42551
"W11000027","Cwm Taf LHB",2019-02-01,"Waiting for new OP appointment",4183,NA,22334
"W11000028","Aneurin Bevan LHB",2019-02-01,"Waiting for new OP appointment",11577,NA,50593
"W11000023","Betsi Cadwaladr University LHB",2019-03-01,"Waiting for new OP appointment",11385,190,46138
"W11000025","Hywel Dda LHB",2019-03-01,"Waiting for new OP appointment",7602,NA,36831
"W11000024","Powys Teaching LHB",2019-03-01,"Waiting for new OP appointment",89,NA,2601
"W11000026","Abertawe Bro Morgannwg University LHB",2019-03-01,"Waiting for new OP appointment",8067,NA,43001
"W11000027","Cwm Taf LHB",2019-03-01,"Waiting for new OP appointment",4030,NA,22456
"W11000028","Aneurin Bevan LHB",2019-03-01,"Waiting for new OP appointment",11736,NA,51034
"W11000029","Cardiff and Vale University LHB",2019-03-01,"Waiting for new OP appointment",13056,NA,46415
"W11000023","Betsi Cadwaladr University LHB",2019-04-01,"Waiting for new OP appointment",12431,163,47577
"W11000024","Powys Teaching LHB",2019-04-01,"Waiting for new OP appointment",109,NA,2773
"W11000025","Hywel Dda LHB",2019-04-01,"Waiting for new OP appointment",7663,NA,36979
"W11000029","Cardiff and Vale University LHB",2019-04-01,"Waiting for new OP appointment",13835,NA,47270
"W11000031","Swansea Bay University Health Board",2019-04-01,"Waiting for new OP appointment",5163,NA,30782
"W11000028","Aneurin Bevan LHB",2019-04-01,"Waiting for new OP appointment",12327,NA,51896
"W11000030","Cwm Taf Morgannwg University Health Board",2019-04-01,"Waiting for new OP appointment",7711,NA,36037
"W11000023","Betsi Cadwaladr University LHB",2019-05-01,"Waiting for new OP appointment",12459,145,49218
"W11000025","Hywel Dda LHB",2019-05-01,"Waiting for new OP appointment",7763,NA,38192
"W11000029","Cardiff and Vale University LHB",2019-05-01,"Waiting for new OP appointment",13938,NA,48897
"W11000031","Swansea Bay University Health Board",2019-05-01,"Waiting for new OP appointment",4851,NA,30982
"W11000024","Powys Teaching LHB",2019-05-01,"Waiting for new OP appointment",120,NA,2937
"W11000028","Aneurin Bevan LHB",2019-05-01,"Waiting for new OP appointment",11923,NA,53297
"W11000030","Cwm Taf Morgannwg University Health Board",2019-05-01,"Waiting for new OP appointment",7592,NA,36644
"W11000023","Betsi Cadwaladr University LHB",2019-06-01,"Waiting for new OP appointment",13858,87,50395
"W11000024","Powys Teaching LHB",2019-06-01,"Waiting for new OP appointment",132,NA,3022
"W11000025","Hywel Dda LHB",2019-06-01,"Waiting for new OP appointment",8340,NA,38938
"W11000028","Aneurin Bevan LHB",2019-06-01,"Waiting for new OP appointment",12907,NA,54147
"W11000029","Cardiff and Vale University LHB",2019-06-01,"Waiting for new OP appointment",14339,NA,48993
"W11000030","Cwm Taf Morgannwg University Health Board",2019-06-01,"Waiting for new OP appointment",8347,NA,37330
"W11000031","Swansea Bay University Health Board",2019-06-01,"Waiting for new OP appointment",5351,1,31669
"W11000023","Betsi Cadwaladr University LHB",2019-07-01,"Waiting for new OP appointment",15105,86,51146
"W11000024","Powys Teaching LHB",2019-07-01,"Waiting for new OP appointment",162,NA,3160
"W11000025","Hywel Dda LHB",2019-07-01,"Waiting for new OP appointment",9181,NA,39545
"W11000028","Aneurin Bevan LHB",2019-07-01,"Waiting for new OP appointment",13968,NA,55839
"W11000029","Cardiff and Vale University LHB",2019-07-01,"Waiting for new OP appointment",14375,NA,48870
"W11000030","Cwm Taf Morgannwg University Health Board",2019-07-01,"Waiting for new OP appointment",8854,48,38517
"W11000031","Swansea Bay University Health Board",2019-07-01,"Waiting for new OP appointment",5569,1,32050
"W11000023","Betsi Cadwaladr University LHB",2019-08-01,"Waiting for new OP appointment",16753,135,52595
"W11000025","Hywel Dda LHB",2019-08-01,"Waiting for new OP appointment",9894,NA,40882
"W11000029","Cardiff and Vale University LHB",2019-08-01,"Waiting for new OP appointment",15116,NA,49590
"W11000024","Powys Teaching LHB",2019-08-01,"Waiting for new OP appointment",165,NA,3088
"W11000028","Aneurin Bevan LHB",2019-08-01,"Waiting for new OP appointment",15519,3,57051
"W11000030","Cwm Taf Morgannwg University Health Board",2019-08-01,"Waiting for new OP appointment",10299,92,40107
"W11000031","Swansea Bay University Health Board",2019-08-01,"Waiting for new OP appointment",6374,NA,33156
"W11000023","Betsi Cadwaladr University LHB",2019-09-01,"Waiting for new OP appointment",17642,228,52792
"W11000024","Powys Teaching LHB",2019-09-01,"Waiting for new OP appointment",143,NA,3016
"W11000025","Hywel Dda LHB",2019-09-01,"Waiting for new OP appointment",9876,NA,39900
"W11000029","Cardiff and Vale University LHB",2019-09-01,"Waiting for new OP appointment",15337,NA,49584
"W11000031","Swansea Bay University Health Board",2019-09-01,"Waiting for new OP appointment",6357,NA,33052
"W11000028","Aneurin Bevan LHB",2019-09-01,"Waiting for new OP appointment",14983,NA,56793
"W11000030","Cwm Taf Morgannwg University Health Board",2019-09-01,"Waiting for new OP appointment",10444,21,40108
"W11000023","Betsi Cadwaladr University LHB",2019-10-01,"Waiting for new OP appointment",17998,366,52921
"W11000024","Powys Teaching LHB",2019-10-01,"Waiting for new OP appointment",132,NA,2765
"W11000025","Hywel Dda LHB",2019-10-01,"Waiting for new OP appointment",9714,NA,39716
"W11000031","Swansea Bay University Health Board",2019-10-01,"Waiting for new OP appointment",6296,NA,32734
"W11000028","Aneurin Bevan LHB",2019-10-01,"Waiting for new OP appointment",14729,4,56125
"W11000029","Cardiff and Vale University LHB",2019-10-01,"Waiting for new OP appointment",15523,2,49967
"W11000030","Cwm Taf Morgannwg University Health Board",2019-10-01,"Waiting for new OP appointment",10897,104,40872
"W11000023","Betsi Cadwaladr University LHB",2019-11-01,"Waiting for new OP appointment",18485,529,52510
"W11000025","Hywel Dda LHB",2019-11-01,"Waiting for new OP appointment",9396,NA,37868
"W11000029","Cardiff and Vale University LHB",2019-11-01,"Waiting for new OP appointment",15559,7,49758
"W11000031","Swansea Bay University Health Board",2019-11-01,"Waiting for new OP appointment",6627,1,32617
"W11000024","Powys Teaching LHB",2019-11-01,"Waiting for new OP appointment",85,NA,2394
"W11000028","Aneurin Bevan LHB",2019-11-01,"Waiting for new OP appointment",14768,NA,55305
"W11000030","Cwm Taf Morgannwg University Health Board",2019-11-01,"Waiting for new OP appointment",11197,214,40151
"W11000023","Betsi Cadwaladr University LHB",2019-12-01,"Waiting for new OP appointment",18582,672,52004
"W11000024","Powys Teaching LHB",2019-12-01,"Waiting for new OP appointment",139,NA,2377
"W11000025","Hywel Dda LHB",2019-12-01,"Waiting for new OP appointment",9126,NA,37189
"W11000028","Aneurin Bevan LHB",2019-12-01,"Waiting for new OP appointment",13728,1,53686
"W11000029","Cardiff and Vale University LHB",2019-12-01,"Waiting for new OP appointment",15803,20,49458
"W11000030","Cwm Taf Morgannwg University Health Board",2019-12-01,"Waiting for new OP appointment",11714,393,40156
"W11000031","Swansea Bay University Health Board",2019-12-01,"Waiting for new OP appointment",7332,NA,32834
"W11000023","Betsi Cadwaladr University LHB",2020-01-01,"Waiting for new OP appointment",18376,564,51948
