"ltla21_code","total_residents","sexual_orientation","n","prop"
"W06000001",57149,"Straight or Heterosexual",51430,"0.899928258"
"W06000001",57149,"Gay or Lesbian",620,"0.010848834"
"W06000001",57149,"Bisexual",470,"0.008224116"
"W06000001",57149,"All other sexual orientations",77,"0.001347355"
"W06000001",57149,"Not answered",4552,"0.079651437"
"W06000002",97968,"Straight or Heterosexual",85574,"0.873489303"
"W06000002",97968,"Gay or Lesbian",1303,"0.013300261"
"W06000002",97968,"Bisexual",1594,"0.016270619"
"W06000002",97968,"All other sexual orientations",334,"0.003409276"
"W06000002",97968,"Not answered",9163,"0.093530541"
"W06000003",96364,"Straight or Heterosexual",85973,"0.892169275"
"W06000003",96364,"Gay or Lesbian",1330,"0.013801835"
"W06000003",96364,"Bisexual",872,"0.009049022"
"W06000003",96364,"All other sexual orientations",203,"0.002106596"
"W06000003",96364,"Not answered",7986,"0.082873272"
"W06000004",78908,"Straight or Heterosexual",70523,"0.893737010"
"W06000004",78908,"Gay or Lesbian",1002,"0.012698332"
"W06000004",78908,"Bisexual",699,"0.008858417"
"W06000004",78908,"All other sexual orientations",147,"0.001862929"
"W06000004",78908,"Not answered",6537,"0.082843311"
"W06000005",127578,"Straight or Heterosexual",115441,"0.904866043"
"W06000005",127578,"Gay or Lesbian",1582,"0.012400257"
"W06000005",127578,"Bisexual",1042,"0.008167552"
"W06000005",127578,"All other sexual orientations",226,"0.001771465"
"W06000005",127578,"Not answered",9287,"0.072794682"
"W06000006",110274,"Straight or Heterosexual",98828,"0.896204001"
"W06000006",110274,"Gay or Lesbian",1445,"0.013103723"
"W06000006",110274,"Bisexual",1048,"0.009503600"
"W06000006",110274,"All other sexual orientations",263,"0.002384968"
"W06000006",110274,"Not answered",8690,"0.078803707"
"W06000008",61391,"Straight or Heterosexual",51998,"0.846997117"
"W06000008",61391,"Gay or Lesbian",941,"0.015327980"
"W06000008",61391,"Bisexual",1617,"0.026339366"
"W06000008",61391,"All other sexual orientations",430,"0.007004284"
"W06000008",61391,"Not answered",6405,"0.104331254"
"W06000009",102551,"Straight or Heterosexual",92094,"0.898031223"
"W06000009",102551,"Gay or Lesbian",1093,"0.010658112"
"W06000009",102551,"Bisexual",1050,"0.010238808"
"W06000009",102551,"All other sexual orientations",220,"0.002145274"
"W06000009",102551,"Not answered",8094,"0.078926583"
"W06000010",155486,"Straight or Heterosexual",139511,"0.897257631"
"W06000010",155486,"Gay or Lesbian",1845,"0.011866020"
"W06000010",155486,"Bisexual",1500,"0.009647171"
"W06000010",155486,"All other sexual orientations",323,"0.002077357"
"W06000010",155486,"Not answered",12307,"0.079151821"
"W06000011",197857,"Straight or Heterosexual",175739,"0.888212194"
"W06000011",197857,"Gay or Lesbian",3145,"0.015895318"
"W06000011",197857,"Bisexual",2972,"0.015020949"
"W06000011",197857,"All other sexual orientations",587,"0.002966789"
"W06000011",197857,"Not answered",15414,"0.077904749"
"W06000012",117185,"Straight or Heterosexual",105148,"0.897282075"
"W06000012",117185,"Gay or Lesbian",1844,"0.015735802"
"W06000012",117185,"Bisexual",1227,"0.010470623"
"W06000012",117185,"All other sexual orientations",234,"0.001996843"
"W06000012",117185,"Not answered",8732,"0.074514656"
"W06000013",119482,"Straight or Heterosexual",108771,"0.910354698"
"W06000013",119482,"Gay or Lesbian",1618,"0.013541789"
"W06000013",119482,"Bisexual",1130,"0.009457492"
"W06000013",119482,"All other sexual orientations",234,"0.001958454"
"W06000013",119482,"Not answered",7729,"0.064687568"
"W06000014",107455,"Straight or Heterosexual",97072,"0.903373505"
"W06000014",107455,"Gay or Lesbian",1803,"0.016779117"
"W06000014",107455,"Bisexual",1213,"0.011288446"
"W06000014",107455,"All other sexual orientations",278,"0.002587129"
"W06000014",107455,"Not answered",7089,"0.065971802"
"W06000015",296313,"Straight or Heterosexual",257826,"0.870113697"
"W06000015",296313,"Gay or Lesbian",7175,"0.024214260"
"W06000015",296313,"Bisexual",7027,"0.023714788"
"W06000015",296313,"All other sexual orientations",1606,"0.005419944"
"W06000015",296313,"Not answered",22679,"0.076537310"
"W06000016",193843,"Straight or Heterosexual",174581,"0.900630923"
"W06000016",193843,"Gay or Lesbian",2947,"0.015203025"
"W06000016",193843,"Bisexual",2158,"0.011132721"
"W06000016",193843,"All other sexual orientations",415,"0.002140908"
"W06000016",193843,"Not answered",13742,"0.070892423"
"W06000018",143482,"Straight or Heterosexual",130425,"0.908999038"
"W06000018",143482,"Gay or Lesbian",1940,"0.013520860"
"W06000018",143482,"Bisexual",1373,"0.009569145"
"W06000018",143482,"All other sexual orientations",260,"0.001812074"
"W06000018",143482,"Not answered",9484,"0.066098883"
"W06000019",55144,"Straight or Heterosexual",49953,"0.905864645"
"W06000019",55144,"Gay or Lesbian",721,"0.013074859"
"W06000019",55144,"Bisexual",483,"0.008758886"
"W06000019",55144,"All other sexual orientations",73,"0.001323807"
"W06000019",55144,"Not answered",3914,"0.070977804"
"W06000020",75113,"Straight or Heterosexual",67893,"0.903878157"
"W06000020",75113,"Gay or Lesbian",1080,"0.014378337"
"W06000020",75113,"Bisexual",758,"0.010091462"
"W06000020",75113,"All other sexual orientations",149,"0.001983678"
"W06000020",75113,"Not answered",5233,"0.069668366"
"W06000021",78240,"Straight or Heterosexual",71025,"0.907783742"
"W06000021",78240,"Gay or Lesbian",872,"0.011145194"
"W06000021",78240,"Bisexual",763,"0.009752045"
"W06000021",78240,"All other sexual orientations",157,"0.002006646"
"W06000021",78240,"Not answered",5423,"0.069312372"
"W06000022",127423,"Straight or Heterosexual",115026,"0.902709872"
"W06000022",127423,"Gay or Lesbian",1908,"0.014973749"
"W06000022",127423,"Bisexual",1397,"0.010963484"
"W06000022",127423,"All other sexual orientations",371,"0.002911562"
"W06000022",127423,"Not answered",8721,"0.068441333"
"W06000023",112535,"Straight or Heterosexual",100163,"0.890060870"
"W06000023",112535,"Gay or Lesbian",1205,"0.010707780"
"W06000023",112535,"Bisexual",1060,"0.009419292"
"W06000023",112535,"All other sexual orientations",275,"0.002443684"
"W06000023",112535,"Not answered",9832,"0.087368374"
"W06000024",47677,"Straight or Heterosexual",43637,"0.915263125"
"W06000024",47677,"Gay or Lesbian",682,"0.014304591"
"W06000024",47677,"Bisexual",361,"0.007571785"
"W06000024",47677,"All other sexual orientations",87,"0.001824779"
"W06000024",47677,"Not answered",2910,"0.061035720"
