"Date","Month","Year","Trust","Dept","Type","Under 4 Hours","Between 4 - 12 Hours","Over 12 Hours","Total","Percent Under 4 Hours"
"2024-12-01","Dec 2024","2024/25","Belfast","Mater","Type 1","1,204","1,533","711","3,448","34.9%"
"2024-12-01","Dec 2024","2024/25","Belfast","RVH","Type 1","951","3,234","2,000","6,185","15.4%"
"2024-12-01","Dec 2024","2024/25","Belfast","RBHSC","Type 1","2,353","1,805","96","4,254","55.3%"
"2024-12-01","Dec 2024","2024/25","Northern","Antrim Area","Type 1","2,270","3,687","2,118","8,075","28.1%"
"2024-12-01","Dec 2024","2024/25","Northern","Causeway","Type 1","1,715","1,508","666","3,889","44.1%"
"2024-12-01","Dec 2024","2024/25","Northern","Mid-Ulster","Type 3","425","0","0","425","100.0%"
"2024-12-01","Dec 2024","2024/25","South Eastern","Downe","Type 2","1,172","46","1","1,219","96.1%"
"2024-12-01","Dec 2024","2024/25","South Eastern","Lagan Valley","Type 2","1,188","628","2","1,818","65.3%"
"2024-12-01","Dec 2024","2024/25","South Eastern","Ulster","Type 1","1,134","3,806","2,282","7,222","15.7%"
"2024-12-01","Dec 2024","2024/25","South Eastern","Ulster MIU","Type 3","2,375","456","50","2,881","82.4%"
"2024-12-01","Dec 2024","2024/25","Southern","Craigavon Area","Type 1","2,527","2,687","1,799","7,013","36.0%"
"2024-12-01","Dec 2024","2024/25","Southern","Daisy Hill","Type 1","2,037","2,019","715","4,771","42.7%"
"2024-12-01","Dec 2024","2024/25","Southern","South Tyrone","Type 3","1,342","0","0","1,342","100.0%"
"2024-12-01","Dec 2024","2024/25","Western","Altnagelvin Area","Type 1","1,369","2,370","1,193","4,932","27.8%"
"2024-12-01","Dec 2024","2024/25","Western","South West Acute","Type 1","1,456","1,522","647","3,625","40.2%"
"2024-12-01","Dec 2024","2024/25","Western","Altnagelvin Area MIU","Type 3","2,217","30","1","2,248","98.6%"
"2024-11-01","Nov 2024","2024/25","Belfast","Mater","Type 1","1,201","1,661","666","3,528","34.0%"
"2024-11-01","Nov 2024","2024/25","Belfast","RVH","Type 1","1,082","3,488","1,983","6,553","16.5%"
"2024-11-01","Nov 2024","2024/25","Belfast","RBHSC","Type 1","2,300","1,724","93","4,117","55.9%"
"2024-11-01","Nov 2024","2024/25","Northern","Antrim Area","Type 1","2,306","3,570","1,912","7,788","29.6%"
"2024-11-01","Nov 2024","2024/25","Northern","Causeway","Type 1","1,739","1,469","570","3,778","46.0%"
"2024-11-01","Nov 2024","2024/25","Northern","Mid-Ulster","Type 3","465","0","1","466","99.8%"
"2024-11-01","Nov 2024","2024/25","South Eastern","Downe","Type 2","1,232","40","0","1,272","96.9%"
"2024-11-01","Nov 2024","2024/25","South Eastern","Lagan Valley","Type 2","1,316","512","0","1,828","72.0%"
"2024-11-01","Nov 2024","2024/25","South Eastern","Ulster","Type 1","1,363","3,749","1,984","7,096","19.2%"
"2024-11-01","Nov 2024","2024/25","South Eastern","Ulster MIU","Type 3","2,647","394","33","3,074","86.1%"
"2024-11-01","Nov 2024","2024/25","Southern","Craigavon Area","Type 1","2,517","2,538","1,775","6,830","36.9%"
"2024-11-01","Nov 2024","2024/25","Southern","Daisy Hill","Type 1","1,993","1,903","657","4,553","43.8%"
"2024-11-01","Nov 2024","2024/25","Southern","South Tyrone","Type 3","1,537","1","0","1,538","99.9%"
"2024-11-01","Nov 2024","2024/25","Western","Altnagelvin Area","Type 1","1,570","2,168","1,174","4,912","32.0%"
"2024-11-01","Nov 2024","2024/25","Western","South West Acute","Type 1","1,567","1,309","564","3,440","45.6%"
"2024-11-01","Nov 2024","2024/25","Western","Altnagelvin Area MIU","Type 3","2,457","40","0","2,497","98.4%"
"2024-10-01","Oct 2024","2024/25","Belfast","Mater","Type 1","1,176","1,685","815","3,676","32.0%"
"2024-10-01","Oct 2024","2024/25","Belfast","RVH","Type 1","1,064","3,250","2,271","6,585","16.2%"
"2024-10-01","Oct 2024","2024/25","Belfast","RBHSC","Type 1","2,450","1,170","10","3,630","67.5%"
"2024-10-01","Oct 2024","2024/25","Northern","Antrim Area","Type 1","3,205","3,764","1,595","8,564","37.4%"
"2024-10-01","Oct 2024","2024/25","Northern","Causeway","Type 1","2,182","1,283","580","4,045","53.9%"
"2024-10-01","Oct 2024","2024/25","Northern","Mid-Ulster","Type 3","562","1","0","563","99.8%"
"2024-10-01","Oct 2024","2024/25","South Eastern","Downe","Type 2","1,390","51","0","1,441","96.5%"
"2024-10-01","Oct 2024","2024/25","South Eastern","Lagan Valley","Type 2","1,385","663","0","2,048","67.6%"
"2024-10-01","Oct 2024","2024/25","South Eastern","Ulster","Type 1","1,446","3,498","2,360","7,304","19.8%"
"2024-10-01","Oct 2024","2024/25","South Eastern","Ulster MIU","Type 3","2,916","469","49","3,434","84.9%"
"2024-10-01","Oct 2024","2024/25","Southern","Craigavon Area","Type 1","2,579","2,531","1,840","6,950","37.1%"
"2024-10-01","Oct 2024","2024/25","Southern","Daisy Hill","Type 1","2,095","1,869","752","4,716","44.4%"
"2024-10-01","Oct 2024","2024/25","Southern","South Tyrone","Type 3","1,734","0","0","1,734","100.0%"
"2024-10-01","Oct 2024","2024/25","Western","Altnagelvin Area","Type 1","1,577","2,294","1,245","5,116","30.8%"
"2024-10-01","Oct 2024","2024/25","Western","South West Acute","Type 1","1,663","1,306","538","3,507","47.4%"
"2024-10-01","Oct 2024","2024/25","Western","Altnagelvin Area MIU","Type 3","2,683","51","1","2,735","98.1%"
"2024-09-01","Sep 2024","2024/25","Belfast","Mater","Type 1","1,135","1,504","758","3,397","33.4%"
"2024-09-01","Sep 2024","2024/25","Belfast","RVH","Type 1","975","3,050","2,191","6,216","15.7%"
"2024-09-01","Sep 2024","2024/25","Belfast","RBHSC","Type 1","2,335","1,100","9","3,444","67.8%"
"2024-09-01","Sep 2024","2024/25","Northern","Antrim Area","Type 1","3,191","3,497","1,515","8,203","38.9%"
"2024-09-01","Sep 2024","2024/25","Northern","Causeway","Type 1","2,115","1,412","588","4,115","51.4%"
"2024-09-01","Sep 2024","2024/25","Northern","Mid-Ulster","Type 3","619","0","0","619","100.0%"
"2024-09-01","Sep 2024","2024/25","South Eastern","Downe","Type 2","1,454","39","0","1,493","97.4%"
"2024-09-01","Sep 2024","2024/25","South Eastern","Lagan Valley","Type 2","1,408","496","1","1,905","73.9%"
"2024-09-01","Sep 2024","2024/25","South Eastern","Ulster","Type 1","1,313","3,386","2,117","6,816","19.3%"
"2024-09-01","Sep 2024","2024/25","South Eastern","Ulster MIU","Type 3","2,909","522","64","3,495","83.2%"
"2024-09-01","Sep 2024","2024/25","Southern","Craigavon Area","Type 1","2,576","2,481","1,595","6,652","38.7%"
"2024-09-01","Sep 2024","2024/25","Southern","Daisy Hill","Type 1","2,124","1,701","671","4,496","47.2%"
"2024-09-01","Sep 2024","2024/25","Southern","South Tyrone","Type 3","1,799","2","0","1,801","99.9%"
