"Time Period","Financial Quarter","Location","Age Group","Measure","Value"
"Financial Year","2018/19","Scotland (Estimated)","All Ages","Rate per 1,000 People",17
"Financial Year","2018/19","Scotland (Estimated)","All Ages","Number of People",91735
"Financial Year","2018/19","Scotland (Estimated)","All Ages","Number of Hours",34639885
"Financial Year","2018/19","Scotland (Estimated)","0-17 years","Rate per 1,000 People",0.2
"Financial Year","2018/19","Scotland (Estimated)","0-17 years","Number of People",235
"Financial Year","2018/19","Scotland (Estimated)","0-17 years","Number of Hours",94835
"Financial Year","2018/19","Scotland (Estimated)","18-64 years","Rate per 1,000 People",4.3
"Financial Year","2018/19","Scotland (Estimated)","18-64 years","Number of People",14250
"Financial Year","2018/19","Scotland (Estimated)","18-64 years","Number of Hours",12484460
"Financial Year","2018/19","Scotland (Estimated)","65-74 years","Rate per 1,000 People",24.7
"Financial Year","2018/19","Scotland (Estimated)","65-74 years","Number of People",14220
"Financial Year","2018/19","Scotland (Estimated)","65-74 years","Number of Hours",4860645
"Financial Year","2018/19","Scotland (Estimated)","75-84 years","Rate per 1,000 People",92
"Financial Year","2018/19","Scotland (Estimated)","75-84 years","Number of People",30470
"Financial Year","2018/19","Scotland (Estimated)","75-84 years","Number of Hours",7971255
"Financial Year","2018/19","Scotland (Estimated)","85+ years","Rate per 1,000 People",265.5
"Financial Year","2018/19","Scotland (Estimated)","85+ years","Number of People",32560
"Financial Year","2018/19","Scotland (Estimated)","85+ years","Number of Hours",9228690
"Financial Year","2018/19","Scotland (Estimated)","Unknown","Rate per 1,000 People",0
"Financial Year","2018/19","Scotland (Estimated)","Unknown","Number of People",0
"Financial Year","2018/19","Scotland (Estimated)","Unknown","Number of Hours",0
"Financial Year","2018/19","Aberdeen City","All Ages","Rate per 1,000 People",12.8
"Financial Year","2018/19","Aberdeen City","All Ages","Number of People",2845
"Financial Year","2018/19","Aberdeen City","All Ages","Number of Hours",1412005
"Financial Year","2018/19","Aberdeen City","0-17 years","Rate per 1,000 People",0.1
"Financial Year","2018/19","Aberdeen City","0-17 years","Number of People",5
"Financial Year","2018/19","Aberdeen City","0-17 years","Number of Hours",7560
"Financial Year","2018/19","Aberdeen City","18-64 years","Rate per 1,000 People",3.1
"Financial Year","2018/19","Aberdeen City","18-64 years","Number of People",450
"Financial Year","2018/19","Aberdeen City","18-64 years","Number of Hours",647740
"Financial Year","2018/19","Aberdeen City","65-74 years","Rate per 1,000 People",20.8
"Financial Year","2018/19","Aberdeen City","65-74 years","Number of People",405
"Financial Year","2018/19","Aberdeen City","65-74 years","Number of Hours",153065
"Financial Year","2018/19","Aberdeen City","75-84 years","Rate per 1,000 People",71.1
"Financial Year","2018/19","Aberdeen City","75-84 years","Number of People",830
"Financial Year","2018/19","Aberdeen City","75-84 years","Number of Hours",256530
"Financial Year","2018/19","Aberdeen City","85+ years","Rate per 1,000 People",247.5
"Financial Year","2018/19","Aberdeen City","85+ years","Number of People",1155
"Financial Year","2018/19","Aberdeen City","85+ years","Number of Hours",347110
"Financial Year","2018/19","Aberdeen City","Unknown","Rate per 1,000 People",0
"Financial Year","2018/19","Aberdeen City","Unknown","Number of People",0
"Financial Year","2018/19","Aberdeen City","Unknown","Number of Hours",0
"Financial Year","2018/19","Aberdeenshire","All Ages","Rate per 1,000 People",11.1
"Financial Year","2018/19","Aberdeenshire","All Ages","Number of People",2900
"Financial Year","2018/19","Aberdeenshire","All Ages","Number of Hours",867230
"Financial Year","2018/19","Aberdeenshire","0-17 years","Rate per 1,000 People",0
"Financial Year","2018/19","Aberdeenshire","0-17 years","Number of People",0
"Financial Year","2018/19","Aberdeenshire","0-17 years","Number of Hours",195
"Financial Year","2018/19","Aberdeenshire","18-64 years","Rate per 1,000 People",2.2
"Financial Year","2018/19","Aberdeenshire","18-64 years","Number of People",340
"Financial Year","2018/19","Aberdeenshire","18-64 years","Number of Hours",147045
"Financial Year","2018/19","Aberdeenshire","65-74 years","Rate per 1,000 People",13.6
"Financial Year","2018/19","Aberdeenshire","65-74 years","Number of People",395
"Financial Year","2018/19","Aberdeenshire","65-74 years","Number of Hours",128565
"Financial Year","2018/19","Aberdeenshire","75-84 years","Rate per 1,000 People",64.1
"Financial Year","2018/19","Aberdeenshire","75-84 years","Number of People",995
"Financial Year","2018/19","Aberdeenshire","75-84 years","Number of Hours",258670
"Financial Year","2018/19","Aberdeenshire","85+ years","Rate per 1,000 People",206.4
"Financial Year","2018/19","Aberdeenshire","85+ years","Number of People",1170
"Financial Year","2018/19","Aberdeenshire","85+ years","Number of Hours",332755
"Financial Year","2018/19","Aberdeenshire","Unknown","Rate per 1,000 People",0
"Financial Year","2018/19","Aberdeenshire","Unknown","Number of People",0
"Financial Year","2018/19","Aberdeenshire","Unknown","Number of Hours",0
"Financial Year","2018/19","Angus","All Ages","Rate per 1,000 People",16.9
"Financial Year","2018/19","Angus","All Ages","Number of People",1955
"Financial Year","2018/19","Angus","All Ages","Number of Hours",238010
"Financial Year","2018/19","Angus","0-17 years","Rate per 1,000 People",0.2
"Financial Year","2018/19","Angus","0-17 years","Number of People",5
"Financial Year","2018/19","Angus","0-17 years","Number of Hours",685
"Financial Year","2018/19","Angus","18-64 years","Rate per 1,000 People",5.1
"Financial Year","2018/19","Angus","18-64 years","Number of People",340
"Financial Year","2018/19","Angus","18-64 years","Number of Hours",72155
"Financial Year","2018/19","Angus","65-74 years","Rate per 1,000 People",18.8
"Financial Year","2018/19","Angus","65-74 years","Number of People",285
"Financial Year","2018/19","Angus","65-74 years","Number of Hours",37800
"Financial Year","2018/19","Angus","75-84 years","Rate per 1,000 People",66.7
"Financial Year","2018/19","Angus","75-84 years","Number of People",575
"Financial Year","2018/19","Angus","75-84 years","Number of Hours",51850
"Financial Year","2018/19","Angus","85+ years","Rate per 1,000 People",219.9
"Financial Year","2018/19","Angus","85+ years","Number of People",750
"Financial Year","2018/19","Angus","85+ years","Number of Hours",75520
"Financial Year","2018/19","Angus","Unknown","Rate per 1,000 People",0
"Financial Year","2018/19","Angus","Unknown","Number of People",0
"Financial Year","2018/19","Angus","Unknown","Number of Hours",0
"Financial Year","2018/19","Argyll and Bute","All Ages","Rate per 1,000 People",23.9
"Financial Year","2018/19","Argyll and Bute","All Ages","Number of People",2095
"Financial Year","2018/19","Argyll and Bute","All Ages","Number of Hours",1160510
"Financial Year","2018/19","Argyll and Bute","0-17 years","Rate per 1,000 People",0
"Financial Year","2018/19","Argyll and Bute","0-17 years","Number of People",0
"Financial Year","2018/19","Argyll and Bute","0-17 years","Number of Hours",0
"Financial Year","2018/19","Argyll and Bute","18-64 years","Rate per 1,000 People",7.4
"Financial Year","2018/19","Argyll and Bute","18-64 years","Number of People",375
"Financial Year","2018/19","Argyll and Bute","18-64 years","Number of Hours",481855
"Financial Year","2018/19","Argyll and Bute","65-74 years","Rate per 1,000 People",23.2
"Financial Year","2018/19","Argyll and Bute","65-74 years","Number of People",290
