"nhs_trust22_code_all","nhs_trust22_code_acute","proportion_attendances_attributed_to_acute_trust"
"RC9","RC9",1
"RGT","RGT",1
"NQ108","RDE",1
"RWH","RWH",1
"RDE","RDE",1
"NQ106","RDE",1
"RY4","RQW",1
"DT301","RWH",1
"RGP","RGP",1
"RAJ","RAJ",1
"RD8","RD8",1
"RM1","RM1",1
"RGN","RGN",1
"Y02428","UNK",1
"RQW","RQW",1
"RCX","RCX",1
"RWG","RWG",1
"RGR","RGR",1
"RF4","RF4",1
"R1H","R1H",1
"AD913","RJZ",0.38
"AD913","RJ2",0.37
"AD913","RJ6",0.25
"RYX","UNK",0.52
"RYX","RRV",0.27
"RYX","RKE",0.21
"RQM","RQM",1
"RJ6","RJ6",1
"RVR","RVR",1
"RJ1","RJ1",1
"RQX","RQX",1
"RY9","RAX",1
"RYJ","RYJ",1
"RJZ","RJZ",1
"RAX","RAX",1
"RJ2","RJ2",1
"R1K","R1K",1
"RP6","RP6",1
"RAT","RF4",0.52
"RAT","RAJ",0.48
"RAP","RAP",1
"RAL","RAL",1
"RJ7","RJ7",1
"RAS","RAS",1
"Y03218","R1K",1
"RRV","RRV",1
"Y02147","RJZ",1
"RKE","RKE",1
"NL7","RRK",1
"8J094","RRK",1
"RQ3","RQ3",1
"RFS","RFS",1
"Y03571","UNK",1
"RY8","RTG",0.52
"RY8","RFS",0.48
"NNJ","RTG",0.61
"NNJ","RFS",0.39
"Y03007","RRK",1
"RLT","RLT",1
"RNQ","RNQ",1
"C82038","RWE",1
"RY5","RWD",1
"NNJ0H","RWE",1
"NNJ07","RWE",1
"C82009","RWE",1
"NNJ12","RWE",1
"NNJ13","RWE",1
"RNS","RNS",1
"NR3","UNK",1
"RX1","RX1",1
"NNJ14","RWE",1
"C82010","RWE",1
"NNJ15","RWE",1
"RXK","RXK",1
"RK5","RK5",1
"RXW","RXW",1
"R1D","RXW",1
"C83023","RWD",1
"Y02615","RRK",0.713
"Y02615","RQ3",0.287
"RJC","RJC",1
"NQTE4","RXK",1
"RNA","RNA",1
"RL4","RL4",1
"RWD","RWD",1
"RRK","RRK",1
"RKB","RKB",1
"RTG","RTG",1
"RWE","RWE",1
"RJE","RJE",1
"RBK","RBK",1
"RWP","RWP",1
"RLQ","RLQ",1
"RCF","RCF",1
"RFF","RFF",1
"RAE","RAE",1
"NNF09","RWA",1
"RWY","RWY",1
"RXP","RXP",1
"RP5","RP5",1
"NNF94","RWA",1
"RR7","RR7",1
"NNFA7","RJL",1
"RCD","RCD",1
"RWA","RWA",1
"RV9","RCB",0.5
"RV9","RTR",0.5
"ARN02","RR8",1
"RR8","RR8",1
"ARN03","RWY",1
"RXF","RXF",1
"RNN","RNN",1
"RVW","RVW",1
"RJL","RJL",1
"RTF","RTF",1
"RCU","RCU",1
"RHQ","RHQ",1
"RTR","RTR",1
"R0B","R0B",1
"RTD","RTD",1
"RFR","RFR",1
"NNF76","RWA",1
"AJN","RNN",1
"RCB","RCB",1
"RBS","RBS",1
"RXL","RXL",1
"RMC","RMC",1
"RY2","RBN",0.5
"RY2","RWW",0.5
"RJR","RJR",1
"RJN","RJN",1
"RXR","RXR",1
"RXN","RXN",1
"REM","REM",1
"REP","REP",1
"R0A","R0A",1
"RW4","REM",0.381958407079646
"RW4","RBS",0.375884955752212
"RW4","RBN",0.242156637168142
"RBT","RBT",1
"Y02532","RBL",1
"RM3","RM3",1
"NV693","RM3",1
"NQT5F","RVY",1
"RVY","RVY",1
"RBN","RBN",1
"RWJ","RWJ",1
"RMP","RMP",1
"RTX","RTX",1
"RWW","RWW",1
"RY7","RBL",1
"RBL","RBL",1
"RRF","RRF",1
"RTK","RTK",1
"NTV0B","RTK",1
"NQT10","RHW",1
"RWX","RHW",1
"Y04538","UNK",1
"Y02676","RYR",1
"RXQ","RXQ",1
"RN7","RN7",1
"Y00751","UNK",1
"RVV","RVV",1
"RXC","RXC",1
"Y02816","RXC",1
"NDJ","RTP",1
"RDU","RDU",1
"RN5","RN5",1
"NDA57","RA2",1
"R1F","R1F",1
"RYY","RVV",0.53694359344026
"RYY","RPA",0.46305640655974
"RWF","RWF",1
"RPA","RPA",1
"RNU","RTH",0.828
"RNU","RHW",0.172
"RTH","RTH",1
"AQN04","RHM",1
"RHU","RHU",1
"RPC","RTP",1
"RHW","RHW",1
"RA2","RA2",1
"NTP11","RHM",1
"RW1","UNK",1
"NTPAD","UNK",1
"NQT51","RXC",1
"RTP","RTP",1
"RDR","RTP",0.664194323177087
"RDR","RYR",0.256876992099579
"RDR","RWF",0.0789286847233342
"RHM","RHM",1
"RYR","RYR",1
"ACH01","RVV",1
"NTV0W","RTK",1
"RBD","RBD",1
"DD401","RH8",1
"RTQ","RTE",1
"RTE","RTE",1
"RN3","RN3",1
"RVJ","RVJ",1
"L83087","RH8",1
"NQT5H","RD1",1
"RK9","RK9",1
"REF","REF",1
"RH8","RH8",1
"RD1","RD1",1
"RNZ","RNZ",1
"NLX","RA7",0.7
"NLX","RVJ",0.3
"RH5","RH5",1
"RYF","RH8",1
"AAH","RTE",1
"RA9","RA9",1
"RA7","RA7",1
"R0D","R0D",1
"AXG","RD1",0.6
"AXG","RN3",0.4
"RA4","RA4",1
