"stp20_nhs_code","date","year","month","completed","incomplete","new"
"QE1",2020-04-01,2020,"Apr",14922,134220,14582
"QF7",2020-04-01,2020,"Apr",20076,121868,15117
"QGH",2020-04-01,2020,"Apr",4861,64389,8540
"QH8",2020-04-01,2020,"Apr",14793,119470,8941
"QHG",2020-04-01,2020,"Apr",5996,76845,7578
"QHL",2020-04-01,2020,"Apr",11183,145018,13186
"QHM",2020-04-01,2020,"Apr",38576,264118,27545
"QJ2",2020-04-01,2020,"Apr",7791,85230,7006
"QJG",2020-04-01,2020,"Apr",6290,85379,6022
"QJK",2020-04-01,2020,"Apr",13408,120932,16407
"QJM",2020-04-01,2020,"Apr",5129,44164,5205
"QK1",2020-04-01,2020,"Apr",7710,84044,8599
"QKK",2020-04-01,2020,"Apr",28413,212772,27995
"QKS",2020-04-01,2020,"Apr",15789,140899,13030
"QM7",2020-04-01,2020,"Apr",13844,100687,11087
"QMF",2020-04-01,2020,"Apr",13778,170095,13029
"QMJ",2020-04-01,2020,"Apr",13885,127734,12814
"QMM",2020-04-01,2020,"Apr",7315,91890,5838
"QNC",2020-04-01,2020,"Apr",7083,57836,4643
"QNQ",2020-04-01,2020,"Apr",3955,42899,2405
"QNX",2020-04-01,2020,"Apr",22048,146361,16154
"QOC",2020-04-01,2020,"Apr",4297,47964,7150
"QOP",2020-04-01,2020,"Apr",34557,335130,35016
"QOQ",2020-04-01,2020,"Apr",21285,142200,14761
"QOX",2020-04-01,2020,"Apr",7437,79038,8050
"QPM",2020-04-01,2020,"Apr",5725,49257,5089
"QR1",2020-04-01,2020,"Apr",3924,64248,5946
"QRL",2020-04-01,2020,"Apr",18428,154867,14728
"QRV",2020-04-01,2020,"Apr",35567,198935,19785
"QSL",2020-04-01,2020,"Apr",3876,40349,3298
"QT1",2020-04-01,2020,"Apr",14209,86826,14754
"QT6",2020-04-01,2020,"Apr",4873,34626,3723
"QU9",2020-04-01,2020,"Apr",13784,135893,13388
"QUA",2020-04-01,2020,"Apr",15406,128894,15879
"QUE",2020-04-01,2020,"Apr",6577,49416,5758
"QUY",2020-04-01,2020,"Apr",11182,91481,9746
"QVV",2020-04-01,2020,"Apr",6464,70303,5115
"QWE",2020-04-01,2020,"Apr",18002,128840,14560
"QWO",2020-04-01,2020,"Apr",19070,161126,14053
"QWU",2020-04-01,2020,"Apr",7623,75279,5264
"QXU",2020-04-01,2020,"Apr",15005,83316,9966
"QYG",2020-04-01,2020,"Apr",28083,235024,24268
"QE1",2020-07-01,2020,"Jul",24705,138849,35365
"QF7",2020-07-01,2020,"Jul",24071,120578,31030
"QGH",2020-07-01,2020,"Jul",8104,70250,13010
"QH8",2020-07-01,2020,"Jul",19961,117834,26952
"QHG",2020-07-01,2020,"Jul",12638,78294,18446
"QHL",2020-07-01,2020,"Jul",21028,146476,29827
"QHM",2020-07-01,2020,"Jul",56903,257588,78146
"QJ2",2020-07-01,2020,"Jul",14190,88160,18279
"QJG",2020-07-01,2020,"Jul",11498,91242,16132
"QJK",2020-07-01,2020,"Jul",21306,127424,32201
"QJM",2020-07-01,2020,"Jul",7032,49486,10242
"QK1",2020-07-01,2020,"Jul",14440,89185,17178
"QKK",2020-07-01,2020,"Jul",43989,200203,52106
"QKS",2020-07-01,2020,"Jul",24676,144419,30412
"QM7",2020-07-01,2020,"Jul",18653,96541,28075
"QMF",2020-07-01,2020,"Jul",20632,175897,33717
"QMJ",2020-07-01,2020,"Jul",20538,127119,25973
"QMM",2020-07-01,2020,"Jul",13552,98615,22626
"QNC",2020-07-01,2020,"Jul",12092,56894,13587
"QNQ",2020-07-01,2020,"Jul",6852,45161,9472
"QNX",2020-07-01,2020,"Jul",29884,154105,37912
"QOC",2020-07-01,2020,"Jul",7259,51552,10166
"QOP",2020-07-01,2020,"Jul",48424,359913,72661
"QOQ",2020-07-01,2020,"Jul",28905,155931,38132
"QOX",2020-07-01,2020,"Jul",14948,78204,19614
"QPM",2020-07-01,2020,"Jul",7411,48007,12397
"QR1",2020-07-01,2020,"Jul",7360,67312,14443
"QRL",2020-07-01,2020,"Jul",29270,155986,34271
"QRV",2020-07-01,2020,"Jul",34908,177528,46649
"QSL",2020-07-01,2020,"Jul",5622,41129,7896
"QT1",2020-07-01,2020,"Jul",19606,92214,25070
"QT6",2020-07-01,2020,"Jul",8383,36559,10396
