"nhs_region20_name","date","year","month","treatment","waits_over_18_weeks","waits_over_52_weeks"
"East of England",2019-12-01,2019,"Dec","Cardiology",4115,16
"East of England",2019-12-01,2019,"Dec","Cardiothoracic Surgery",483,0
"East of England",2019-12-01,2019,"Dec","Dermatology",9419,3
"East of England",2019-12-01,2019,"Dec","Ear, Nose & Throat (ENT)",8919,35
"East of England",2019-12-01,2019,"Dec","Gastroenterology",4651,20
"East of England",2019-12-01,2019,"Dec","General Medicine",922,9
"East of England",2019-12-01,2019,"Dec","General Surgery",11721,60
"East of England",2019-12-01,2019,"Dec","Geriatric Medicine",144,0
"East of England",2019-12-01,2019,"Dec","Gynaecology",8501,30
"East of England",2019-12-01,2019,"Dec","Neurology",3444,5
"East of England",2019-12-01,2019,"Dec","Neurosurgery",220,0
"East of England",2019-12-01,2019,"Dec","Ophthalmology",13558,14
"East of England",2019-12-01,2019,"Dec","Oral Surgery",7404,67
"East of England",2019-12-01,2019,"Dec","Other",16698,43
"East of England",2019-12-01,2019,"Dec","Plastic Surgery",1894,1
"East of England",2019-12-01,2019,"Dec","Rheumatology",1890,0
"East of England",2019-12-01,2019,"Dec","Thoracic Medicine",2051,4
"East of England",2019-12-01,2019,"Dec","Total",130739,580
"East of England",2019-12-01,2019,"Dec","Trauma & Orthopaedics",24947,179
"East of England",2019-12-01,2019,"Dec","Urology",9758,94
"London",2019-12-01,2019,"Dec","Cardiology",8252,28
"London",2019-12-01,2019,"Dec","Cardiothoracic Surgery",376,3
"London",2019-12-01,2019,"Dec","Dermatology",7803,17
"London",2019-12-01,2019,"Dec","Ear, Nose & Throat (ENT)",17489,43
"London",2019-12-01,2019,"Dec","Gastroenterology",7664,46
"London",2019-12-01,2019,"Dec","General Medicine",646,3
"London",2019-12-01,2019,"Dec","General Surgery",18534,138
"London",2019-12-01,2019,"Dec","Geriatric Medicine",221,3
"London",2019-12-01,2019,"Dec","Gynaecology",14993,79
"London",2019-12-01,2019,"Dec","Neurology",6830,10
"London",2019-12-01,2019,"Dec","Neurosurgery",3115,12
"London",2019-12-01,2019,"Dec","Ophthalmology",14054,64
"London",2019-12-01,2019,"Dec","Oral Surgery",9309,37
"London",2019-12-01,2019,"Dec","Other",55468,384
"London",2019-12-01,2019,"Dec","Plastic Surgery",3160,14
"London",2019-12-01,2019,"Dec","Rheumatology",3538,6
