"nhs_trust22_code","date","name","value"
"R0B","January 2022","Count_ReferralsReceived","940"
"R0B","January 2022","Count_AccessingServices","730"
"R0B","January 2022","Percentage_AccessingServices6WeeksFinishedCourseTreatment","98"
"R0B","January 2022","Percentage_AccessingServices18WeeksFinishedCourseTreatment","100"
"R0B","January 2022","Count_EndedReferrals","835"
"R0B","January 2022","Count_FinishedCourseTreatment","445"
"R0B","January 2022","Percentage_Deterioration","5"
"R0B","January 2022","Percentage_Improvement","75"
"R0B","January 2022","Count_Deterioration","20"
"R0B","January 2022","Percentage_Recovery","62"
"R0B","January 2022","Percentage_ReliableRecovery","60"
"R1A","January 2022","Count_ReferralsReceived","1450"
"R1A","January 2022","Count_AccessingServices","800"
"R1A","January 2022","Percentage_AccessingServices6WeeksFinishedCourseTreatment","78"
"R1A","January 2022","Percentage_AccessingServices18WeeksFinishedCourseTreatment","96"
"R1A","January 2022","Count_EndedReferrals","1210"
"R1A","January 2022","Count_FinishedCourseTreatment","375"
"R1A","January 2022","Percentage_Deterioration","7"
"R1A","January 2022","Percentage_Improvement","67"
"R1A","January 2022","Count_Deterioration","25"
"R1A","January 2022","Percentage_Recovery","50"
"R1A","January 2022","Percentage_ReliableRecovery","47"
"R1C","January 2022","Count_ReferralsReceived","870"
"R1C","January 2022","Count_AccessingServices","405"
"R1C","January 2022","Percentage_AccessingServices6WeeksFinishedCourseTreatment","95"
"R1C","January 2022","Percentage_AccessingServices18WeeksFinishedCourseTreatment","100"
"R1C","January 2022","Count_EndedReferrals","730"
"R1C","January 2022","Count_FinishedCourseTreatment","260"
"R1C","January 2022","Percentage_Deterioration","3"
"R1C","January 2022","Percentage_Improvement","74"
"R1C","January 2022","Count_Deterioration","10"
"R1C","January 2022","Percentage_Recovery","65"
"R1C","January 2022","Percentage_ReliableRecovery","59"
"R1F","January 2022","Count_ReferralsReceived","320"
"R1F","January 2022","Count_AccessingServices","175"
"R1F","January 2022","Percentage_AccessingServices6WeeksFinishedCourseTreatment","88"
"R1F","January 2022","Percentage_AccessingServices18WeeksFinishedCourseTreatment","99"
"R1F","January 2022","Count_EndedReferrals","280"
"R1F","January 2022","Count_FinishedCourseTreatment","130"
"R1F","January 2022","Percentage_Deterioration","8"
"R1F","January 2022","Percentage_Improvement","58"
"R1F","January 2022","Count_Deterioration","10"
"R1F","January 2022","Percentage_Recovery","45"
"R1F","January 2022","Percentage_ReliableRecovery","41"
"R1L","January 2022","Count_ReferralsReceived","2070"
"R1L","January 2022","Count_AccessingServices","1475"
"R1L","January 2022","Percentage_AccessingServices6WeeksFinishedCourseTreatment","95"
"R1L","January 2022","Percentage_AccessingServices18WeeksFinishedCourseTreatment","100"
"R1L","January 2022","Count_EndedReferrals","1655"
"R1L","January 2022","Count_FinishedCourseTreatment","675"
"R1L","January 2022","Percentage_Deterioration","5"
"R1L","January 2022","Percentage_Improvement","65"
"R1L","January 2022","Count_Deterioration","35"
"R1L","January 2022","Percentage_Recovery","54"
"R1L","January 2022","Percentage_ReliableRecovery","51"
"RAT","January 2022","Count_ReferralsReceived","2800"
"RAT","January 2022","Count_AccessingServices","1740"
"RAT","January 2022","Percentage_AccessingServices6WeeksFinishedCourseTreatment","99"
"RAT","January 2022","Percentage_AccessingServices18WeeksFinishedCourseTreatment","100"
"RAT","January 2022","Count_EndedReferrals","2365"
"RAT","January 2022","Count_FinishedCourseTreatment","1020"
"RAT","January 2022","Percentage_Deterioration","6"
"RAT","January 2022","Percentage_Improvement","70"
"RAT","January 2022","Count_Deterioration","60"
"RAT","January 2022","Percentage_Recovery","53"
"RAT","January 2022","Percentage_ReliableRecovery","50"
"RDR","January 2022","Count_ReferralsReceived","1845"
"RDR","January 2022","Count_AccessingServices","1345"
"RDR","January 2022","Percentage_AccessingServices6WeeksFinishedCourseTreatment","99"
"RDR","January 2022","Percentage_AccessingServices18WeeksFinishedCourseTreatment","100"
"RDR","January 2022","Count_EndedReferrals","1615"
"RDR","January 2022","Count_FinishedCourseTreatment","585"
"RDR","January 2022","Percentage_Deterioration","3"
"RDR","January 2022","Percentage_Improvement","78"
"RDR","January 2022","Count_Deterioration","20"
"RDR","January 2022","Percentage_Recovery","61"
"RDR","January 2022","Percentage_ReliableRecovery","57"
"RH5","January 2022","Count_ReferralsReceived","1230"
"RH5","January 2022","Count_AccessingServices","750"
"RH5","January 2022","Percentage_AccessingServices6WeeksFinishedCourseTreatment","77"
"RH5","January 2022","Percentage_AccessingServices18WeeksFinishedCourseTreatment","99"
"RH5","January 2022","Count_EndedReferrals","1095"
"RH5","January 2022","Count_FinishedCourseTreatment","395"
"RH5","January 2022","Percentage_Deterioration","5"
"RH5","January 2022","Percentage_Improvement","73"
"RH5","January 2022","Count_Deterioration","20"
"RH5","January 2022","Percentage_Recovery","57"
"RH5","January 2022","Percentage_ReliableRecovery","54"
"RHA","January 2022","Count_ReferralsReceived","950"
"RHA","January 2022","Count_AccessingServices","640"
"RHA","January 2022","Percentage_AccessingServices6WeeksFinishedCourseTreatment","98"
"RHA","January 2022","Percentage_AccessingServices18WeeksFinishedCourseTreatment","100"
"RHA","January 2022","Count_EndedReferrals","660"
"RHA","January 2022","Count_FinishedCourseTreatment","380"
"RHA","January 2022","Percentage_Deterioration","8"
"RHA","January 2022","Percentage_Improvement","61"
"RHA","January 2022","Count_Deterioration","30"
"RHA","January 2022","Percentage_Recovery","50"
"RHA","January 2022","Percentage_ReliableRecovery","47"
"RJ8","January 2022","Count_ReferralsReceived","1225"
"RJ8","January 2022","Count_AccessingServices","965"
"RJ8","January 2022","Percentage_AccessingServices6WeeksFinishedCourseTreatment","74"
"RJ8","January 2022","Percentage_AccessingServices18WeeksFinishedCourseTreatment","98"
"RJ8","January 2022","Count_EndedReferrals","1040"
"RJ8","January 2022","Count_FinishedCourseTreatment","510"
"RJ8","January 2022","Percentage_Deterioration","7"
"RJ8","January 2022","Percentage_Improvement","63"
"RJ8","January 2022","Count_Deterioration","35"
"RJ8","January 2022","Percentage_Recovery","41"
"RJ8","January 2022","Percentage_ReliableRecovery","39"
"RKE","January 2022","Count_ReferralsReceived","910"
"RKE","January 2022","Count_AccessingServices","650"
"RKE","January 2022","Percentage_AccessingServices6WeeksFinishedCourseTreatment","89"
"RKE","January 2022","Percentage_AccessingServices18WeeksFinishedCourseTreatment","99"
"RKE","January 2022","Count_EndedReferrals","720"
"RKE","January 2022","Count_FinishedCourseTreatment","255"
"RKE","January 2022","Percentage_Deterioration","6"
"RKE","January 2022","Percentage_Improvement","76"
"RKE","January 2022","Count_Deterioration","15"
"RKE","January 2022","Percentage_Recovery","57"
"RKE","January 2022","Percentage_ReliableRecovery","53"
"RMY","January 2022","Count_ReferralsReceived","5670"
"RMY","January 2022","Count_AccessingServices","4010"
"RMY","January 2022","Percentage_AccessingServices6WeeksFinishedCourseTreatment","95"
"RMY","January 2022","Percentage_AccessingServices18WeeksFinishedCourseTreatment","100"
"RMY","January 2022","Count_EndedReferrals","4690"
"RMY","January 2022","Count_FinishedCourseTreatment","1290"
"RMY","January 2022","Percentage_Deterioration","5"
"RMY","January 2022","Percentage_Improvement","69"
"RMY","January 2022","Count_Deterioration","65"
"RMY","January 2022","Percentage_Recovery","54"
"RMY","January 2022","Percentage_ReliableRecovery","51"
"RP1","January 2022","Count_ReferralsReceived","1805"
"RP1","January 2022","Count_AccessingServices","1085"
"RP1","January 2022","Percentage_AccessingServices6WeeksFinishedCourseTreatment","97"
"RP1","January 2022","Percentage_AccessingServices18WeeksFinishedCourseTreatment","100"
"RP1","January 2022","Count_EndedReferrals","1370"
"RP1","January 2022","Count_FinishedCourseTreatment","475"
"RP1","January 2022","Percentage_Deterioration","8"
"RP1","January 2022","Percentage_Improvement","69"
"RP1","January 2022","Count_Deterioration","40"
"RP1","January 2022","Percentage_Recovery","51"
"RP1","January 2022","Percentage_ReliableRecovery","48"
"RP7","January 2022","Count_ReferralsReceived","2065"
"RP7","January 2022","Count_AccessingServices","1140"
"RP7","January 2022","Percentage_AccessingServices6WeeksFinishedCourseTreatment","96"
"RP7","January 2022","Percentage_AccessingServices18WeeksFinishedCourseTreatment","100"
"RP7","January 2022","Count_EndedReferrals","1895"
"RP7","January 2022","Count_FinishedCourseTreatment","675"
"RP7","January 2022","Percentage_Deterioration","7"
"RP7","January 2022","Percentage_Improvement","69"
"RP7","January 2022","Count_Deterioration","45"
"RP7","January 2022","Percentage_Recovery","49"
"RP7","January 2022","Percentage_ReliableRecovery","47"
"RPG","January 2022","Count_ReferralsReceived","590"
"RPG","January 2022","Count_AccessingServices","390"
"RPG","January 2022","Percentage_AccessingServices6WeeksFinishedCourseTreatment","77"
"RPG","January 2022","Percentage_AccessingServices18WeeksFinishedCourseTreatment","100"
"RPG","January 2022","Count_EndedReferrals","490"
"RPG","January 2022","Count_FinishedCourseTreatment","210"
