"hsct22_name","date","year","month","specialty","waits_over_18_weeks","waits_over_52_weeks"
"Belfast",2019-12-01,2019,"Dec","Anaesthetics",0,0
"Belfast",2019-12-01,2019,"Dec","Audiological",0,0
"Belfast",2019-12-01,2019,"Dec","Cardiac Surgery",5,0
"Belfast",2019-12-01,2019,"Dec","Cardiology",30,250
"Belfast",2019-12-01,2019,"Dec","Chemical Pathology",0,1
"Belfast",2019-12-01,2019,"Dec","Clinical Genetics",0,21
"Belfast",2019-12-01,2019,"Dec","Clinical Oncology",0,0
"Belfast",2019-12-01,2019,"Dec","Dental Medicine Specialties",0,0
"Belfast",2019-12-01,2019,"Dec","Dermatology",5,2992
"Belfast",2019-12-01,2019,"Dec","ENT",158,6567
"Belfast",2019-12-01,2019,"Dec","Endocrinology",3,90
"Belfast",2019-12-01,2019,"Dec","Gastroenterology",198,1204
"Belfast",2019-12-01,2019,"Dec","General Medicine",0,2819
"Belfast",2019-12-01,2019,"Dec","General Surgery",253,4023
"Belfast",2019-12-01,2019,"Dec","Geriatric Medicine",0,4
"Belfast",2019-12-01,2019,"Dec","Gynaecology",98,2347
"Belfast",2019-12-01,2019,"Dec","Haematology (Clinical)",0,31
"Belfast",2019-12-01,2019,"Dec","Infectious Diseases",0,33
"Belfast",2019-12-01,2019,"Dec","Learning Disability",0,0
"Belfast",2019-12-01,2019,"Dec","Medical Oncology",0,0
"Belfast",2019-12-01,2019,"Dec","Nephrology",1,1
"Belfast",2019-12-01,2019,"Dec","Neurology",10,2645
"Belfast",2019-12-01,2019,"Dec","Neurosurgery",23,132
"Belfast",2019-12-01,2019,"Dec","Old Age Psychiatry",0,0
"Belfast",2019-12-01,2019,"Dec","Ophthalmology",199,14015
"Belfast",2019-12-01,2019,"Dec","Oral Surgery",7,6
"Belfast",2019-12-01,2019,"Dec","Orthodontics",0,0
"Belfast",2019-12-01,2019,"Dec","Paediatric Dentistry",9,40
"Belfast",2019-12-01,2019,"Dec","Paediatric Neurology",3,1
"Belfast",2019-12-01,2019,"Dec","Paediatric Surgery",39,159
"Belfast",2019-12-01,2019,"Dec","Paediatrics",19,1503
"Belfast",2019-12-01,2019,"Dec","Pain Management",0,768
"Belfast",2019-12-01,2019,"Dec","Palliative Medicine",0,0
"Belfast",2019-12-01,2019,"Dec","Plastic Surgery",72,653
"Belfast",2019-12-01,2019,"Dec","Radiology",1,17
"Belfast",2019-12-01,2019,"Dec","Rehabilitation",0,17
"Belfast",2019-12-01,2019,"Dec","Restorative Dentistry",1,6
"Belfast",2019-12-01,2019,"Dec","Rheumatology",0,3512
"Belfast",2019-12-01,2019,"Dec","T & O Surgery",630,8944
"Belfast",2019-12-01,2019,"Dec","Thoracic Medicine",0,116
"Belfast",2019-12-01,2019,"Dec","Thoracic Surgery",14,152
"Belfast",2019-12-01,2019,"Dec","Urology",93,2325
"Belfast",2019-06-01,2019,"Jun","Anaesthetics",1,15
"Belfast",2019-06-01,2019,"Jun","Audiological",0,0
"Belfast",2019-06-01,2019,"Jun","Cardiac Surgery",4,0
"Belfast",2019-06-01,2019,"Jun","Cardiology",46,228
"Belfast",2019-06-01,2019,"Jun","Chemical Pathology",0,0
"Belfast",2019-06-01,2019,"Jun","Clinical Genetics",0,0
"Belfast",2019-06-01,2019,"Jun","Clinical Oncology",0,0
"Belfast",2019-06-01,2019,"Jun","Dental Medicine Specialties",0,0
"Belfast",2019-06-01,2019,"Jun","Dermatology",1,2337
"Belfast",2019-06-01,2019,"Jun","ENT",170,5478
"Belfast",2019-06-01,2019,"Jun","Endocrinology",10,83
"Belfast",2019-06-01,2019,"Jun","Gastroenterology",272,752
"Belfast",2019-06-01,2019,"Jun","General Medicine",1,2744
"Belfast",2019-06-01,2019,"Jun","General Surgery",289,3942
"Belfast",2019-06-01,2019,"Jun","Geriatric Medicine",0,5
"Belfast",2019-06-01,2019,"Jun","Gynaecology",112,1802
"Belfast",2019-06-01,2019,"Jun","Haematology (Clinical)",0,15
"Belfast",2019-06-01,2019,"Jun","Infectious Diseases",0,23
"Belfast",2019-06-01,2019,"Jun","Learning Disability",0,0
"Belfast",2019-06-01,2019,"Jun","Medical Oncology",0,0
"Belfast",2019-06-01,2019,"Jun","Nephrology",2,1
"Belfast",2019-06-01,2019,"Jun","Neurology",26,3069
"Belfast",2019-06-01,2019,"Jun","Neurosurgery",23,95
"Belfast",2019-06-01,2019,"Jun","Old Age Psychiatry",0,0
"Belfast",2019-06-01,2019,"Jun","Ophthalmology",354,10988
"Belfast",2019-06-01,2019,"Jun","Oral Surgery",8,28
"Belfast",2019-06-01,2019,"Jun","Orthodontics",0,0
"Belfast",2019-06-01,2019,"Jun","Paediatric Dentistry",19,105
"Belfast",2019-06-01,2019,"Jun","Paediatric Neurology",7,0
"Belfast",2019-06-01,2019,"Jun","Paediatric Surgery",49,170
"Belfast",2019-06-01,2019,"Jun","Paediatrics",22,1182
"Belfast",2019-06-01,2019,"Jun","Pain Management",6,694
"Belfast",2019-06-01,2019,"Jun","Palliative Medicine",0,0
"Belfast",2019-06-01,2019,"Jun","Plastic Surgery",51,567
"Belfast",2019-06-01,2019,"Jun","Radiology",2,18
"Belfast",2019-06-01,2019,"Jun","Rehabilitation",0,9
"Belfast",2019-06-01,2019,"Jun","Restorative Dentistry",0,2
"Belfast",2019-06-01,2019,"Jun","Rheumatology",0,2957
"Belfast",2019-06-01,2019,"Jun","T & O Surgery",776,9753
"Belfast",2019-06-01,2019,"Jun","Thoracic Medicine",2,87
"Belfast",2019-06-01,2019,"Jun","Thoracic Surgery",14,112
"Belfast",2019-06-01,2019,"Jun","Urology",163,1855
"Belfast",2019-03-01,2019,"Mar","Anaesthetics",2,0
"Belfast",2019-03-01,2019,"Mar","Audiological",0,0
"Belfast",2019-03-01,2019,"Mar","Cardiac Surgery",8,0
"Belfast",2019-03-01,2019,"Mar","Cardiology",50,101
"Belfast",2019-03-01,2019,"Mar","Chemical Pathology",0,0
"Belfast",2019-03-01,2019,"Mar","Clinical Genetics",0,0
"Belfast",2019-03-01,2019,"Mar","Clinical Oncology",0,0
"Belfast",2019-03-01,2019,"Mar","Dental Medicine Specialties",0,0
"Belfast",2019-03-01,2019,"Mar","Dermatology",0,1939
"Belfast",2019-03-01,2019,"Mar","ENT",203,5060
"Belfast",2019-03-01,2019,"Mar","Endocrinology",1,62
"Belfast",2019-03-01,2019,"Mar","Gastroenterology",197,554
"Belfast",2019-03-01,2019,"Mar","General Medicine",0,2827
"Belfast",2019-03-01,2019,"Mar","General Surgery",320,3553
"Belfast",2019-03-01,2019,"Mar","Geriatric Medicine",0,4
"Belfast",2019-03-01,2019,"Mar","Gynaecology",132,1638
"Belfast",2019-03-01,2019,"Mar","Haematology (Clinical)",0,2
"Belfast",2019-03-01,2019,"Mar","Infectious Diseases",0,18
