"ltla21_name","ltla21_code","variable","value"
"Antrim and Newtownabbey","N09000001","total_5_and_over",137340
"Antrim and Newtownabbey","N09000001","count_5_and_over_0_hours",119543
"Antrim and Newtownabbey","N09000001","count_5_and_over_1to19_hours",8378
"Antrim and Newtownabbey","N09000001","count_5_and_over_20to34_hours",1880
"Antrim and Newtownabbey","N09000001","count_5_and_over_35to49_hours",2065
"Antrim and Newtownabbey","N09000001","count_5_and_over_50plus_hours",5474
"Antrim and Newtownabbey","N09000001","total_5to14_years",19155
"Antrim and Newtownabbey","N09000001","count_5to14_years_0_hours",18967
"Antrim and Newtownabbey","N09000001","count_5to14_years_1to19_hours",134
"Antrim and Newtownabbey","N09000001","count_5to14_years_20to34_hours",14
"Antrim and Newtownabbey","N09000001","count_5to14_years_35to49_hours",8
"Antrim and Newtownabbey","N09000001","count_5to14_years_50plus_hours",32
"Antrim and Newtownabbey","N09000001","total_15to39_years",44720
"Antrim and Newtownabbey","N09000001","count_15to39_years_0_hours",40511
"Antrim and Newtownabbey","N09000001","count_15to39_years_1to19_hours",2029
"Antrim and Newtownabbey","N09000001","count_15to39_years_20to34_hours",487
"Antrim and Newtownabbey","N09000001","count_15to39_years_35to49_hours",727
"Antrim and Newtownabbey","N09000001","count_15to39_years_50plus_hours",966
"Antrim and Newtownabbey","N09000001","total_40to64_years",48367
"Antrim and Newtownabbey","N09000001","count_40to64_years_0_hours",38125
"Antrim and Newtownabbey","N09000001","count_40to64_years_1to19_hours",5345
"Antrim and Newtownabbey","N09000001","count_40to64_years_20to34_hours",1096
"Antrim and Newtownabbey","N09000001","count_40to64_years_35to49_hours",1097
"Antrim and Newtownabbey","N09000001","count_40to64_years_50plus_hours",2704
"Antrim and Newtownabbey","N09000001","total_65_and_over",25098
"Antrim and Newtownabbey","N09000001","count_65_and_over_0_hours",21940
"Antrim and Newtownabbey","N09000001","count_65_and_over_1to19_hours",870
"Antrim and Newtownabbey","N09000001","count_65_and_over_20to34_hours",283
"Antrim and Newtownabbey","N09000001","count_65_and_over_35to49_hours",233
"Antrim and Newtownabbey","N09000001","count_65_and_over_50plus_hours",1772
"Antrim and Newtownabbey","N09000001","percent_5_and_over_0_hours",0.870416484636668
"Antrim and Newtownabbey","N09000001","percent_5_and_over_1to19_hours",0.0610018931119849
"Antrim and Newtownabbey","N09000001","percent_5_and_over_20to34_hours",0.0136886558904908
"Antrim and Newtownabbey","N09000001","percent_5_and_over_35to49_hours",0.0150356778797146
"Antrim and Newtownabbey","N09000001","percent_5_and_over_50plus_hours",0.0398572884811417
"Antrim and Newtownabbey","N09000001","percent_5to14_years_0_hours",0.990185330200992
"Antrim and Newtownabbey","N09000001","percent_5to14_years_1to19_hours",0.00699556251631428
"Antrim and Newtownabbey","N09000001","percent_5to14_years_20to34_hours",0.000730879665883581
"Antrim and Newtownabbey","N09000001","percent_5to14_years_35to49_hours",0.000417645523362046
"Antrim and Newtownabbey","N09000001","percent_5to14_years_50plus_hours",0.00167058209344819
"Antrim and Newtownabbey","N09000001","percent_15to39_years_0_hours",0.905881037567084
"Antrim and Newtownabbey","N09000001","percent_15to39_years_1to19_hours",0.045371198568873
"Antrim and Newtownabbey","N09000001","percent_15to39_years_20to34_hours",0.0108899821109123
"Antrim and Newtownabbey","N09000001","percent_15to39_years_35to49_hours",0.0162567084078712
