"date","year","month","waits_over_18_weeks_count","waits_over_18_weeks_percent"
2011-01-01,2011,"Jan",16857,0.178916756
2011-02-01,2011,"Feb",14874,0.1628332147
2011-03-01,2011,"Mar",15795,0.1482945423
2011-04-01,2011,"Apr",11994,0.1463378924
2011-05-01,2011,"May",11658,0.1186758149
2011-06-01,2011,"Jun",10477,0.1034040327
2011-07-01,2011,"Jul",8775,0.105992342
2011-08-01,2011,"Aug",10601,0.1034617374
2011-09-01,2011,"Sep",9910,0.10266983
2011-10-01,2011,"Oct",10017,0.1053988363
2011-11-01,2011,"Nov",11100,0.1041891549
2011-12-01,2011,"Dec",7770,0.0798988154
2012-01-01,2012,"Jan",8950,0.0858513189
2012-02-01,2012,"Feb",9238,0.0863913515
2012-03-01,2012,"Mar",9421,0.0846702077
2012-04-01,2012,"Apr",7626,0.0796873531
2012-05-01,2012,"May",8484,0.0759548067
2012-06-01,2012,"Jun",7588,0.0757996524000001
2012-07-01,2012,"Jul",8240,0.083444728
2012-08-01,2012,"Aug",9732,0.0861818568
2012-09-01,2012,"Sep",9114,0.0917575282
2012-10-01,2012,"Oct",10295,0.0921063226
2012-11-01,2012,"Nov",10868,0.0958740969
2012-12-01,2012,"Dec",8218,0.0907264297
2013-01-01,2013,"Jan",9951,0.0948391707999999
2013-02-01,2013,"Feb",9571,0.0960847304000001
2013-03-01,2013,"Mar",9206,0.0936501801
2013-04-01,2013,"Apr",10373,0.1000192845
2013-05-01,2013,"May",10186,0.093527624
2013-06-01,2013,"Jun",8342,0.0843589147
2013-07-01,2013,"Jul",8749,0.0843008971
2013-08-01,2013,"Aug",9333,0.0885425067
2013-09-01,2013,"Sep",9317,0.0912652933
2013-10-01,2013,"Oct",10114,0.0939683366
2013-11-01,2013,"Nov",10514,0.1001734027
2013-12-01,2013,"Dec",8801,0.0923630715999999
2014-01-01,2014,"Jan",10867,0.1017947805
2014-02-01,2014,"Feb",10366,0.1048638368
2014-03-01,2014,"Mar",11232,0.1084295478
2014-04-01,2014,"Apr",10680,0.1069936585
2014-05-01,2014,"May",10455,0.0994435724999999
2014-06-01,2014,"Jun",10327,0.0962666045
2014-07-01,2014,"Jul",10317,0.1005751609
2014-08-01,2014,"Aug",10700,0.1054779531
2014-09-01,2014,"Sep",11465,0.1056857359
2014-10-01,2014,"Oct",11795,0.1092159967
2014-11-01,2014,"Nov",12807,0.1229078695
2014-12-01,2014,"Dec",11299,0.1140771553
2015-01-01,2015,"Jan",12819,0.1261154016
2015-02-01,2015,"Feb",12500,0.1268288723
2015-03-01,2015,"Mar",13418,0.1222396327
2015-04-01,2015,"Apr",12303,0.1242338258
2015-05-01,2015,"May",11650,0.1154379707
2015-06-01,2015,"Jun",12839,0.1174023171
2015-07-01,2015,"Jul",12314,0.11996337
2015-08-01,2015,"Aug",12621,0.1207808986
2015-09-01,2015,"Sep",14167,0.1275387108
2015-10-01,2015,"Oct",14360,0.1351440376
2015-11-01,2015,"Nov",15365,0.1372524498
2015-12-01,2015,"Dec",13248,0.128881625
2016-01-01,2016,"Jan",13011,0.1327951173
2016-02-01,2016,"Feb",14704,0.137994463
2016-03-01,2016,"Mar",14869,0.1339923762
2016-04-01,2016,"Apr",14330,0.1393521535
2016-05-01,2016,"May",14007,0.1277486433
2016-06-01,2016,"Jun",14555,0.1302822259
2016-07-01,2016,"Jul",12370,0.1340572642
2016-08-01,2016,"Aug",16188,0.1404476835
2016-09-01,2016,"Sep",16635,0.1534990588
2016-10-01,2016,"Oct",15995,0.1582817108
2016-11-01,2016,"Nov",18735,0.1632281448
2016-12-01,2016,"Dec",15485,0.1618060417
2017-01-01,2017,"Jan",17613,0.1684310182
2017-02-01,2017,"Feb",17151,0.1701808873
2017-03-01,2017,"Mar",19448,0.1678823925
2017-04-01,2017,"Apr",14389,0.1653622939
2017-05-01,2017,"May",16699,0.1529800839
2017-06-01,2017,"Jun",15945,0.1524393159
2017-07-01,2017,"Jul",13713,0.1682638625
2017-08-01,2017,"Aug",17290,0.1762235767
2017-09-01,2017,"Sep",16528,0.185795544
2017-10-01,2017,"Oct",17599,0.1866713337
2017-11-01,2017,"Nov",19120,0.1853287841
2017-12-01,2017,"Dec",13991,0.1749115503
2018-01-01,2018,"Jan",19354,0.1903684614
2018-02-01,2018,"Feb",17680,0.1903592924
2018-03-01,2018,"Mar",18133,0.1882715729
2018-04-01,2018,"Apr",17197,0.1905526992
2018-05-01,2018,"May",18324,0.1738190097
2018-06-01,2018,"Jun",16795,0.1715561094
2018-07-01,2018,"Jul",15279,0.1695387313
2018-08-01,2018,"Aug",17945,0.1750424316
2018-09-01,2018,"Sep",17538,0.1882163554
2018-10-01,2018,"Oct",21897,0.2100109336
2018-11-01,2018,"Nov",22831,0.2138074413
2018-12-01,2018,"Dec",17516,0.2053602833
2019-01-01,2019,"Jan",22782,0.2209720754
2019-02-01,2019,"Feb",21180,0.2208182159
2019-03-01,2019,"Mar",23326,0.2273400647
2019-04-01,2019,"Apr",20194,0.214953271
2019-05-01,2019,"May",20452,0.2080209933
2019-06-01,2019,"Jun",19053,0.2081248771
2019-07-01,2019,"Jul",19061,0.2075977216
2019-08-01,2019,"Aug",21072,0.2212841031
2019-09-01,2019,"Sep",21922,0.2309012966
2019-10-01,2019,"Oct",21862,0.2223849777
2019-11-01,2019,"Nov",22353,0.2283131607
2019-12-01,2019,"Dec",17760,0.2109013181
2020-01-01,2020,"Jan",21927,0.2290265302
2020-02-01,2020,"Feb",20329,0.2261365785
2020-03-01,2020,"Mar",13090,0.1975073933
2020-04-01,2020,"Apr",4453,0.1875105272
2020-05-01,2020,"May",5353,0.1928592016
2020-06-01,2020,"Jun",8463,0.2218348624
2020-07-01,2020,"Jul",11874,0.2914651808
2020-08-01,2020,"Aug",14725,0.328375184
2020-09-01,2020,"Sep",17219,0.3196398738
2020-10-01,2020,"Oct",16345,0.2938162862
2020-11-01,2020,"Nov",17456,0.2831422037
2020-12-01,2020,"Dec",14715,0.2600604422
2021-01-01,2021,"Jan",12390,0.2361619396
2021-02-01,2021,"Feb",13113,0.2342862248
2021-03-01,2021,"Mar",16789,0.2450090479
2021-04-01,2021,"Apr",14842,0.2474037772
2021-05-01,2021,"May",16395,0.2530131638
2021-06-01,2021,"Jun",17651,0.2494030209
2021-07-01,2021,"Jul",15104,0.2459574329
2021-08-01,2021,"Aug",16043,0.2406546262
2021-09-01,2021,"Sep",16599,0.2470199562
2021-10-01,2021,"Oct",15841,0.2510976905
2021-11-01,2021,"Nov",20575,0.2704923421
2021-12-01,2021,"Dec",15816,0.251438746
2022-01-01,2022,"Jan",15735,0.2592043489
2022-02-01,2022,"Feb",17743,0.2748040764
2022-03-01,2022,"Mar",20583,0.2775485437
2022-04-01,2022,"Apr",15480,0.2654002435
2022-05-01,2022,"May",18533,0.2576317838
2022-06-01,2022,"Jun",17770,0.261354277
2022-07-01,2022,"Jul",17326,0.2612563708
2022-08-01,2022,"Aug",22646,0.2776231749
2022-09-01,2022,"Sep",22187,0.2881316312
2022-10-01,2022,"Oct",22794,0.3007005
2022-11-01,2022,"Nov",26966,0.3129540654
2022-12-01,2022,"Dec",20448,0.3033017888
