"date","hb_code","hb","red_calls","red_calls_resulting_in_an_emergency_response_at_the_scene","amber_calls","green_calls","red_calls_resulting_in_an_emergency_response_at_the_scene_within_8_minutes","red_calls_percent_of_emergency_responses_arriving_at_the_scene_within_8_minutes"
"January 2021","599","WALES",2457,2447,24757,8995,1458,59.583163
"January 2021","7A1","Betsi Cadwaladr",580,577,6926,2419,319,55.285962
"January 2021","7A2","Hywel Dda",279,278,2981,1124,150,53.956835
"January 2021","7A3","Swansea Bay",295,294,2854,982,198,67.346939
"January 2021","7A4","Cardiff & Vale",353,353,3307,1267,253,71.671388
"January 2021","7A5","Cwm Taf Morgannwg",391,389,3216,1018,207,53.213368
"January 2021","7A6","Aneurin Bevan",469,466,4480,1797,276,59.227468
"January 2021","7A7","Powys",90,90,993,388,55,61.111111
"February 2021","599","WALES",2006,1997,23137,7044,1287,64.44667
"February 2021","7A1","Betsi Cadwaladr",404,402,6192,1762,256,63.681592
"February 2021","7A2","Hywel Dda",219,216,2690,860,133,61.574074
"February 2021","7A3","Swansea Bay",287,287,2840,791,202,70.383275
"February 2021","7A4","Cardiff & Vale",298,298,3053,995,215,72.147651
"February 2021","7A5","Cwm Taf Morgannwg",304,302,3015,737,159,52.649007
"February 2021","7A6","Aneurin Bevan",416,415,4349,1572,268,64.578313
"February 2021","7A7","Powys",78,77,998,327,54,70.12987
"March 2021","599","WALES",2462,2445,26800,8228,1527,62.453988
"March 2021","7A1","Betsi Cadwaladr",473,472,6990,2026,291,61.652542
"March 2021","7A2","Hywel Dda",266,265,3308,914,145,54.716981
"March 2021","7A3","Swansea Bay",321,318,3232,860,232,72.955975
"March 2021","7A4","Cardiff & Vale",385,380,3528,1210,257,67.631579
"March 2021","7A5","Cwm Taf Morgannwg",375,371,3443,911,213,57.412399
"March 2021","7A6","Aneurin Bevan",526,526,5062,1919,324,61.596958
"March 2021","7A7","Powys",116,113,1237,388,65,57.522124
"April 2021","599","WALES",2652,2636,27253,8594,1608,61.001517
"April 2021","7A1","Betsi Cadwaladr",502,500,7004,2055,297,59.4
"April 2021","7A2","Hywel Dda",298,297,3304,988,160,53.872054
"April 2021","7A3","Swansea Bay",374,373,3279,906,269,72.117962
"April 2021","7A4","Cardiff & Vale",417,415,3795,1243,284,68.433735
"April 2021","7A5","Cwm Taf Morgannwg",427,424,3503,906,220,51.886792
"April 2021","7A6","Aneurin Bevan",544,537,5152,2116,324,60.335196
"April 2021","7A7","Powys",90,90,1216,380,54,60
"May 2021","599","WALES",3063,3042,29846,8540,1842,60.552268
"May 2021","7A1","Betsi Cadwaladr",627,622,7675,2061,377,60.610932
"May 2021","7A2","Hywel Dda",358,354,3717,1012,209,59.039548
"May 2021","7A3","Swansea Bay",389,386,3706,971,241,62.435233
"May 2021","7A4","Cardiff & Vale",499,497,3987,1164,341,68.61167
"May 2021","7A5","Cwm Taf Morgannwg",474,471,3865,966,274,58.174098
"May 2021","7A6","Aneurin Bevan",606,602,5575,1993,341,56.644518
"May 2021","7A7","Powys",110,110,1321,373,59,53.636364
"June 2021","599","WALES",3285,3256,29518,8651,1973,60.595823
"June 2021","7A1","Betsi Cadwaladr",667,660,7662,2101,376,56.969697
"June 2021","7A2","Hywel Dda",374,372,3693,1050,192,51.612903
"June 2021","7A3","Swansea Bay",468,462,3559,874,308,66.666667
"June 2021","7A4","Cardiff & Vale",531,528,4127,1339,375,71.022727
"June 2021","7A5","Cwm Taf Morgannwg",485,483,3677,1002,285,59.006211
"June 2021","7A6","Aneurin Bevan",651,643,5503,1934,386,60.031104
"June 2021","7A7","Powys",109,108,1297,351,51,47.222222
"July 2021","599","WALES",3583,3552,31178,9080,2052,57.77027
"July 2021","7A1","Betsi Cadwaladr",793,782,8354,2336,398,50.895141
"July 2021","7A2","Hywel Dda",363,354,3732,1190,177,50
"July 2021","7A3","Swansea Bay",474,472,3662,975,299,63.347458
"July 2021","7A4","Cardiff & Vale",568,563,4438,1264,402,71.403197
"July 2021","7A5","Cwm Taf Morgannwg",497,495,3901,990,265,53.535354
"July 2021","7A6","Aneurin Bevan",772,770,5698,1933,450,58.441558
"July 2021","7A7","Powys",116,116,1393,392,61,52.586207
"August 2021","599","WALES",3375,3334,29920,8267,1921,57.618476
"August 2021","7A1","Betsi Cadwaladr",764,755,7918,1958,373,49.403974
"August 2021","7A2","Hywel Dda",412,403,3803,1013,197,48.883375
"August 2021","7A3","Swansea Bay",491,487,3773,899,289,59.342916
"August 2021","7A4","Cardiff & Vale",504,497,4125,1270,357,71.830986
"August 2021","7A5","Cwm Taf Morgannwg",454,449,3729,963,247,55.011136
"August 2021","7A6","Aneurin Bevan",627,621,5200,1811,400,64.412238
"August 2021","7A7","Powys",123,122,1372,353,58,47.540984
"September 2021","599","WALES",3905,3872,30520,8110,2024,52.272727
"September 2021","7A1","Betsi Cadwaladr",834,830,7766,1846,375,45.180723
"September 2021","7A2","Hywel Dda",440,437,3714,966,214,48.970252
"September 2021","7A3","Swansea Bay",547,541,3770,922,272,50.277264
"September 2021","7A4","Cardiff & Vale",637,628,4172,1090,414,65.923567
"September 2021","7A5","Cwm Taf Morgannwg",525,519,4053,966,241,46.435453
"September 2021","7A6","Aneurin Bevan",771,770,5646,1997,425,55.194805
"September 2021","7A7","Powys",151,147,1399,323,83,56.462585
"October 2021","599","WALES",4107,4056,31433,7886,2026,49.95069
"October 2021","7A1","Betsi Cadwaladr",848,837,7818,1846,396,47.311828
"October 2021","7A2","Hywel Dda",431,424,3909,914,166,39.150943
"October 2021","7A3","Swansea Bay",565,553,4027,862,241,43.58047
"October 2021","7A4","Cardiff & Vale",644,639,4335,1122,418,65.41471
"October 2021","7A5","Cwm Taf Morgannwg",630,623,4181,976,269,43.17817
"October 2021","7A6","Aneurin Bevan",850,843,5828,1851,475,56.346382
"October 2021","7A7","Powys",139,137,1335,315,61,44.525547
"November 2021","599","WALES",3848,3817,27413,7285,2024,53.025937
"November 2021","7A1","Betsi Cadwaladr",790,781,7148,1720,388,49.679898
"November 2021","7A2","Hywel Dda",455,451,3397,861,223,49.445676
"November 2021","7A3","Swansea Bay",478,475,3266,749,247,52
"November 2021","7A4","Cardiff & Vale",606,600,3739,1053,387,64.5
"November 2021","7A5","Cwm Taf Morgannwg",597,593,3558,817,273,46.037099
"November 2021","7A6","Aneurin Bevan",799,795,5050,1745,455,57.232704
"November 2021","7A7","Powys",123,122,1255,340,51,41.803279
"December 2021","599","WALES",3930,3885,28294,7523,1986,51.119691
"December 2021","7A1","Betsi Cadwaladr",779,768,7351,1917,369,48.046875
"December 2021","7A2","Hywel Dda",462,457,3561,900,193,42.231947
"December 2021","7A3","Swansea Bay",544,537,3375,766,249,46.368715
"December 2021","7A4","Cardiff & Vale",634,629,3934,1029,411,65.341812
"December 2021","7A5","Cwm Taf Morgannwg",619,607,3648,863,275,45.304778
"December 2021","7A6","Aneurin Bevan",738,736,5137,1749,424,57.608696
"December 2021","7A7","Powys",154,151,1288,299,65,43.046358
"January 2022","599","WALES",3381,3344,25528,7999,1756,52.511962
"January 2022","7A1","Betsi Cadwaladr",671,660,6565,2095,328,49.69697
"January 2022","7A2","Hywel Dda",412,405,3161,875,182,44.938272
"January 2022","7A3","Swansea Bay",454,452,3083,806,230,50.884956
