"lhb22_code","lhb22_name","date","pathway_stage","waits_over_18_weeks","waits_over_53_weeks"
"W11000023","Betsi Cadwaladr University LHB",2019-01-01,"Waiting for new OP appointment",11753,238
"W11000025","Hywel Dda LHB",2019-01-01,"Waiting for new OP appointment",7204,29
"W11000024","Powys Teaching LHB",2019-01-01,"Waiting for new OP appointment",51,NA
"W11000026","Abertawe Bro Morgannwg University LHB",2019-01-01,"Waiting for new OP appointment",7081,NA
"W11000027","Cwm Taf LHB",2019-01-01,"Waiting for new OP appointment",4460,NA
"W11000028","Aneurin Bevan LHB",2019-01-01,"Waiting for new OP appointment",11300,NA
"W11000029","Cardiff and Vale University LHB",2019-01-01,"Waiting for new OP appointment",13565,NA
"W11000023","Betsi Cadwaladr University LHB",2019-02-01,"Waiting for new OP appointment",11729,325
"W11000025","Hywel Dda LHB",2019-02-01,"Waiting for new OP appointment",7049,7
"W11000026","Abertawe Bro Morgannwg University LHB",2019-02-01,"Waiting for new OP appointment",7717,NA
"W11000029","Cardiff and Vale University LHB",2019-02-01,"Waiting for new OP appointment",13296,NA
"W11000024","Powys Teaching LHB",2019-02-01,"Waiting for new OP appointment",64,NA
"W11000027","Cwm Taf LHB",2019-02-01,"Waiting for new OP appointment",4183,NA
"W11000028","Aneurin Bevan LHB",2019-02-01,"Waiting for new OP appointment",11577,NA
"W11000023","Betsi Cadwaladr University LHB",2019-03-01,"Waiting for new OP appointment",11385,190
"W11000025","Hywel Dda LHB",2019-03-01,"Waiting for new OP appointment",7602,NA
"W11000024","Powys Teaching LHB",2019-03-01,"Waiting for new OP appointment",89,NA
"W11000026","Abertawe Bro Morgannwg University LHB",2019-03-01,"Waiting for new OP appointment",8067,NA
"W11000027","Cwm Taf LHB",2019-03-01,"Waiting for new OP appointment",4030,NA
"W11000028","Aneurin Bevan LHB",2019-03-01,"Waiting for new OP appointment",11736,NA
"W11000029","Cardiff and Vale University LHB",2019-03-01,"Waiting for new OP appointment",13056,NA
"W11000023","Betsi Cadwaladr University LHB",2019-04-01,"Waiting for new OP appointment",12431,163
"W11000025","Hywel Dda LHB",2019-04-01,"Waiting for new OP appointment",7663,NA
"W11000024","Powys Teaching LHB",2019-04-01,"Waiting for new OP appointment",109,NA
"W11000028","Aneurin Bevan LHB",2019-04-01,"Waiting for new OP appointment",12327,NA
"W11000029","Cardiff and Vale University LHB",2019-04-01,"Waiting for new OP appointment",13835,NA
"W11000030","Cwm Taf Morgannwg University Health Board",2019-04-01,"Waiting for new OP appointment",7711,NA
"W11000031","Swansea Bay University Health Board",2019-04-01,"Waiting for new OP appointment",5163,NA
"W11000023","Betsi Cadwaladr University LHB",2019-05-01,"Waiting for new OP appointment",12459,145
"W11000025","Hywel Dda LHB",2019-05-01,"Waiting for new OP appointment",7763,NA
"W11000024","Powys Teaching LHB",2019-05-01,"Waiting for new OP appointment",120,NA
"W11000028","Aneurin Bevan LHB",2019-05-01,"Waiting for new OP appointment",11923,NA
"W11000029","Cardiff and Vale University LHB",2019-05-01,"Waiting for new OP appointment",13938,NA
"W11000030","Cwm Taf Morgannwg University Health Board",2019-05-01,"Waiting for new OP appointment",7592,NA
